Year,Value,UNIT_MEASURE
2022	NUMBER	modrica	F	0-4	463,,
2022	NUMBER	mrkonjic_grad	_T	0-4	508,,
2022	NUMBER	mrkonjic_grad	M	0-4	245,,
2022	NUMBER	mrkonjic_grad	F	0-4	263,,
2022	NUMBER	nevesinje	_T	0-4	460,,
2022	NUMBER	nevesinje	M	0-4	200,,
2022	NUMBER	nevesinje	F	0-4	260,,
2022	NUMBER	novi_grad	_T	0-4	772,,
2022	NUMBER	novi_grad	M	0-4	356,,
2022	NUMBER	novi_grad	F	0-4	416,,
2022	NUMBER	novo_gorazde	_T	0-4	28,,
2022	NUMBER	novo_gorazde	M	0-4	16,,
2022	NUMBER	novo_gorazde	F	0-4	12,,
2022	NUMBER	osmaci	_T	0-4	100,,
2022	NUMBER	osmaci	M	0-4	44,,
2022	NUMBER	osmaci	F	0-4	56,,
2022	NUMBER	ostra_luka	_T	0-4	78,,
2022	NUMBER	ostra_luka	M	0-4	35,,
2022	NUMBER	ostra_luka	F	0-4	43,,
2022	NUMBER	pale	_T	0-4	967,,
2022	NUMBER	pale	M	0-4	478,,
2022	NUMBER	pale	F	0-4	489,,
2022	NUMBER	pelagicevo	_T	0-4	25,,
2022	NUMBER	pelagicevo	M	0-4	12,,
2022	NUMBER	pelagicevo	F	0-4	13,,
2022	NUMBER	petrovac	_T	0-4	29,,
2022	NUMBER	petrovac	M	0-4	13,,
2022	NUMBER	petrovac	F	0-4	16,,
2022	NUMBER	petrovo	_T	0-4	236,,
2022	NUMBER	petrovo	M	0-4	111,,
2022	NUMBER	petrovo	F	0-4	125,,
2022	NUMBER	prnjavor	_T	0-4	1371,,
2022	NUMBER	prnjavor	M	0-4	669,,
2022	NUMBER	prnjavor	F	0-4	702,,
2022	NUMBER	republika_srpska	_T	0-4	46394,,
2022	NUMBER	republika_srpska	M	0-4	22177,,
2022	NUMBER	republika_srpska	F	0-4	24217,,
2022	NUMBER	ribnik	_T	0-4	167,,
2022	NUMBER	ribnik	M	0-4	70,,
2022	NUMBER	ribnik	F	0-4	97,,
2022	NUMBER	rogatica	_T	0-4	432,,
2022	NUMBER	rogatica	M	0-4	223,,
2022	NUMBER	rogatica	F	0-4	209,,
2022	NUMBER	rudo	_T	0-4	103,,
2022	NUMBER	rudo	M	0-4	42,,
2022	NUMBER	rudo	F	0-4	61,,
2022	NUMBER	samac	_T	0-4	277,,
2022	NUMBER	samac	M	0-4	136,,
2022	NUMBER	samac	F	0-4	141,,
2022	NUMBER	sekovici	_T	0-4	169,,
2022	NUMBER	sekovici	M	0-4	75,,
2022	NUMBER	sekovici	F	0-4	94,,
2022	NUMBER	sipovo	_T	0-4	339,,
2022	NUMBER	sipovo	M	0-4	160,,
2022	NUMBER	sipovo	F	0-4	179,,
2022	NUMBER	sokolac	_T	0-4	451,,
2022	NUMBER	sokolac	M	0-4	218,,
2022	NUMBER	sokolac	F	0-4	233,,
2022	NUMBER	srbac	_T	0-4	538,,
2022	NUMBER	srbac	M	0-4	267,,
2022	NUMBER	srbac	F	0-4	271,,
2022	NUMBER	srebrenica	_T	0-4	278,,
2022	NUMBER	srebrenica	M	0-4	137,,
2022	NUMBER	srebrenica	F	0-4	141,,
2022	NUMBER	stanari	_T	0-4	304,,
2022	NUMBER	stanari	M	0-4	144,,
2022	NUMBER	stanari	F	0-4	160,,
2022	NUMBER	teslic	_T	0-4	1588,,
2022	NUMBER	teslic	M	0-4	733,,
2022	NUMBER	teslic	F	0-4	855,,
2022	NUMBER	trnovo	_T	0-4	22,,
2022	NUMBER	trnovo	M	0-4	10,,
2022	NUMBER	trnovo	F	0-4	12,,
2022	NUMBER	ugljevik	_T	0-4	558,,
2022	NUMBER	ugljevik	M	0-4	256,,
2022	NUMBER	ugljevik	F	0-4	302,,
2022	NUMBER	visegrad	_T	0-4	260,,
2022	NUMBER	visegrad	M	0-4	125,,
2022	NUMBER	visegrad	F	0-4	135,,
2022	NUMBER	vlasenica	_T	0-4	336,,
2022	NUMBER	vlasenica	M	0-4	161,,
2022	NUMBER	vlasenica	F	0-4	175,,
2022	NUMBER	vukosavlje	_T	0-4	148,,
2022	NUMBER	vukosavlje	M	0-4	72,,
2022	NUMBER	vukosavlje	F	0-4	76,,
2022	NUMBER	berkovici	_T	10-14	94,,
2022	NUMBER	berkovici	M	10-14	43,,
2022	NUMBER	berkovici	F	10-14	51,,
2022	NUMBER	bileca	_T	10-14	488,,
2022	NUMBER	bileca	M	10-14	223,,
2022	NUMBER	bileca	F	10-14	265,,
2022	NUMBER	bratunac	_T	10-14	929,,
2022	NUMBER	bratunac	M	10-14	428,,
2022	NUMBER	bratunac	F	10-14	501,,
2022	NUMBER	brod	_T	10-14	731,,
2022	NUMBER	brod	M	10-14	342,,
2022	NUMBER	brod	F	10-14	389,,
2022	NUMBER	cajnice	_T	10-14	187,,
2022	NUMBER	cajnice	M	10-14	100,,
2022	NUMBER	cajnice	F	10-14	87,,
2022	NUMBER	celinac	_T	10-14	716,,
2022	NUMBER	celinac	M	10-14	348,,
2022	NUMBER	celinac	F	10-14	368,,
2022	NUMBER	donji_zabar	_T	10-14	159,,
2022	NUMBER	donji_zabar	M	10-14	83,,
2022	NUMBER	donji_zabar	F	10-14	76,,
2022	NUMBER	foca	_T	10-14	631,,
2022	NUMBER	foca	M	10-14	280,,
2022	NUMBER	foca	F	10-14	351,,
2022	NUMBER	gacko	_T	10-14	420,,
2022	NUMBER	gacko	M	10-14	208,,
2022	NUMBER	gacko	F	10-14	212,,
2022	NUMBER	grad_banja_luka	_T	10-14	9476,,
2022	NUMBER	grad_banja_luka	M	10-14	4657,,
2022	NUMBER	grad_banja_luka	F	10-14	4819,,
2022	NUMBER	grad_bijeljina	_T	10-14	5084,,
2022	NUMBER	grad_bijeljina	M	10-14	2418,,
2022	NUMBER	grad_bijeljina	F	10-14	2666,,
2022	NUMBER	grad_derventa	_T	10-14	1160,,
2022	NUMBER	grad_derventa	M	10-14	578,,
2022	NUMBER	grad_derventa	F	10-14	582,,
2022	NUMBER	grad_doboj	_T	10-14	2830,,
2022	NUMBER	grad_doboj	M	10-14	1413,,
2022	NUMBER	grad_doboj	F	10-14	1417,,
2022	NUMBER	grad_gradiska	_T	10-14	2163,,
2022	NUMBER	grad_gradiska	M	10-14	1057,,
2022	NUMBER	grad_gradiska	F	10-14	1106,,
2022	NUMBER	grad_prijedor	_T	10-14	3288,,
2022	NUMBER	grad_prijedor	M	10-14	1577,,
2022	NUMBER	grad_prijedor	F	10-14	1711,,
2022	NUMBER	grad_trebinje	_T	10-14	1458,,
2022	NUMBER	grad_trebinje	M	10-14	681,,
2022	NUMBER	grad_trebinje	F	10-14	777,,
2022	NUMBER	grad_zvornik	_T	10-14	3009,,
2022	NUMBER	grad_zvornik	M	10-14	1482,,
2022	NUMBER	grad_zvornik	F	10-14	1527,,
2022	NUMBER	han_pijesak	_T	10-14	130,,
2022	NUMBER	han_pijesak	M	10-14	63,,
2022	NUMBER	han_pijesak	F	10-14	67,,
2022	NUMBER	istocna_ilidza	_T	10-14	640,,
2022	NUMBER	istocna_ilidza	M	10-14	308,,
2022	NUMBER	istocna_ilidza	F	10-14	332,,
2022	NUMBER	istocni_drvar	_T	10-14	1,,
2022	NUMBER	istocni_drvar	M	10-14	0,,
2022	NUMBER	istocni_drvar	F	10-14	1,,
2022	NUMBER	istocni_mostar	_T	10-14	11,,
2022	NUMBER	istocni_mostar	M	10-14	5,,
2022	NUMBER	istocni_mostar	F	10-14	6,,
2022	NUMBER	istocni_stari_grad	_T	10-14	45,,
2022	NUMBER	istocni_stari_grad	M	10-14	13,,
2022	NUMBER	istocni_stari_grad	F	10-14	32,,
