Year,Value,UNIT_MEASURE
1996,108.0,Број дјечака на 100 дјевојчица
1997,109.0,Број дјечака на 100 дјевојчица
1998,109.9,Број дјечака на 100 дјевојчица
1999,104.1,Број дјечака на 100 дјевојчица
2000,106.5,Број дјечака на 100 дјевојчица
2001,106.1,Број дјечака на 100 дјевојчица
2002,106.6,Број дјечака на 100 дјевојчица
2003,107.1,Број дјечака на 100 дјевојчица
2004,107.9,Број дјечака на 100 дјевојчица
2005,105.6,Број дјечака на 100 дјевојчица
2006,103.4,Број дјечака на 100 дјевојчица
2007,106.0,Број дјечака на 100 дјевојчица
2008,106.6,Број дјечака на 100 дјевојчица
2009,111.0,Број дјечака на 100 дјевојчица
2010,104.5,Број дјечака на 100 дјевојчица
2011,110.0,Број дјечака на 100 дјевојчица
2012,104.1,Број дјечака на 100 дјевојчица
2013,106.6,Број дјечака на 100 дјевојчица
2014,108.0,Број дјечака на 100 дјевојчица
2015,107.2,Број дјечака на 100 дјевојчица
2016,109.1,Број дјечака на 100 дјевојчица
2017,109.7,Број дјечака на 100 дјевојчица
2018,109.5,Број дјечака на 100 дјевојчица
2019,112.4,Број дјечака на 100 дјевојчица
