Year,Value,UNIT_MEASURE
2003,3.5,Број на 1.000 живорођених
2004,3.3,Број на 1.000 живорођених
2005,3.9,Број на 1.000 живорођених
2006,2.6,Број на 1.000 живорођених
2007,3.9,Број на 1.000 живорођених
2008,3.3,Број на 1.000 живорођених
2009,3.0,Број на 1.000 живорођених
2010,4.0,Број на 1.000 живорођених
2011,3.0,Број на 1.000 живорођених
2012,3.8,Број на 1.000 живорођених
2013,3.9,Број на 1.000 живорођених
2014,2.4,Број на 1.000 живорођених
2015,1.8,Број на 1.000 живорођених
2016,1.6,Број на 1.000 живорођених
2017,1.8,Број на 1.000 живорођених
2018,1.9,Број на 1.000 живорођених
2019,1.4,Број на 1.000 живорођених
2020,1.6,Број на 1.000 живорођених
2021,1.9,Број на 1.000 живорођених
