Year,UNIT_MEASURE,Administrativna oblast,Poljoprivredna djelatnost,Value
2013,Broj,Donji Žabar,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,219
2013,Broj,Grad Zvornik,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,770
2013,Broj,Istočna Ilidža,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,51
2013,Broj,Istočni Drvar,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,1
2013,Broj,Istočni Mostar,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,9
2013,Broj,Istočni Stari Grad,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,35
2013,Broj,Istočno Novo Sarajevo,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,43
2013,Broj,Jezero,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,9
2013,Broj,Kalinovik,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,93
2013,Broj,Kneževo,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,305
2013,Broj,Kozarska Dubica,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,860
2013,Broj,Kostajnica,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,193
2013,Broj,Kotor Varoš,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,139
2013,Broj,Krupa Na Uni,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,288
2013,Broj,Kupres,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,72
2013,Broj,Laktaši,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,662
2013,Broj,Lopare,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,668
2013,Broj,Ljubinje,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,269
2013,Broj,Milići,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,185
2013,Broj,Modriča,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,420
2013,Broj,Mrkonjić Grad,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,257
2013,Broj,Nevesinje,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,702
2013,Broj,Novi Grad,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,499
2013,Broj,Novo Goražde,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,87
2013,Broj,Osmaci,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,159
2013,Broj,Oštra Luka,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,57
2013,Broj,Pale,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,99
2013,Broj,Pelagićevo,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,256
2013,Broj,Petrovac,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,12
2013,Broj,Petrovo,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,61
2013,Broj,Grad Prijedor,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,798
2013,Broj,Prnjavor,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,986
2013,Broj,Ribnik,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,93
2013,Broj,Rogatica,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,265
2013,Broj,Rudo,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,244
2013,Broj,Sokolac,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,292
2013,Broj,Srbac,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,594
2013,Broj,Srebrenica,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,469
2013,Broj,Teslić,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,576
2013,Broj,Grad Trebinje,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,327
2013,Broj,Trnovo,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,17
2013,Broj,Ugljevik,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,632
2013,Broj,Foča,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,262
2013,Broj,Han Pijesak,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,75
2013,Broj,Čajniče,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,131
2013,Broj,Čelinac,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,191
2013,Broj,Šamac,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,616
2013,Broj,Šekovići,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,81
2013,Broj,Šipovo,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na tržištu,247
