Year,UNIT_MEASURE,End of the school year,Type_of_school,Sex,Value
2017,Number,2017/2018,Vocational schools,M,5068
2018,Number,2018/2019,Vocational schools,M,4947
2019,Number,2019/2020,Vocational schools,M,5195
2010,Number,2010/2011,High schools for children with special needs,M,65
2011,Number,2011/2012,High schools for children with special needs,M,60
2012,Number,2012/2013,High schools for children with special needs,M,78
2013,Number,2013/2014,High schools for children with special needs,M,132
2014,Number,2014/2015,High schools for children with special needs,M,79
2015,Number,2015/2016,High schools for children with special needs,M,72
2016,Number,2016/2017,High schools for children with special needs,M,67
2017,Number,2017/2018,High schools for children with special needs,M,82
2018,Number,2018/2019,High schools for children with special needs,M,82
2019,Number,2019/2020,High schools for children with special needs,M,66
2010,Number,2010/2011,Total,F,17327
2011,Number,2011/2012,Total,F,16638
2012,Number,2012/2013,Total,F,19735
2013,Number,2013/2014,Total,F,21402
2014,Number,2014/2015,Total,F,21088
2015,Number,2015/2016,Total,F,17433
2016,Number,2016/2017,Total,F,15454
2017,Number,2017/2018,Total,F,16383
2018,Number,2018/2019,Total,F,16021
2019,Number,2019/2020,Total,F,15158
2010,Number,2010/2011,Gymnasium,F,5617
2011,Number,2011/2012,Gymnasium,F,5080
2012,Number,2012/2013,Gymnasium,F,6090
2013,Number,2013/2014,Gymnasium,F,6909
2014,Number,2014/2015,Gymnasium,F,7492
2015,Number,2015/2016,Gymnasium,F,5798
2016,Number,2016/2017,Gymnasium,F,4998
2017,Number,2017/2018,Gymnasium,F,4930
2018,Number,2018/2019,Gymnasium,F,4643
2019,Number,2019/2020,Gymnasium,F,4472
2010,Number,2010/2011,Technical schools,F,8716
2011,Number,2011/2012,Technical schools,F,8220
2012,Number,2012/2013,Technical schools,F,9944
2013,Number,2013/2014,Technical schools,F,10730
2014,Number,2014/2015,Technical schools,F,10515
2015,Number,2015/2016,Technical schools,F,9037
2016,Number,2016/2017,Technical schools,F,7933
2017,Number,2017/2018,Technical schools,F,8788
2018,Number,2018/2019,Technical schools,F,8783
2019,Number,2019/2020,Technical schools,F,8272
2010,Number,2010/2011,Art schools,F,163
2011,Number,2011/2012,Art schools,F,173
2012,Number,2012/2013,Art schools,F,179
2013,Number,2013/2014,Art schools,F,185
2014,Number,2014/2015,Art schools,F,196
2015,Number,2015/2016,Art schools,F,177
2016,Number,2016/2017,Art schools,F,134
2017,Number,2017/2018,Art schools,F,194
2018,Number,2018/2019,Art schools,F,170
2019,Number,2019/2020,Art schools,F,161
2010,Number,2010/2011,Religion schools,F,219
2011,Number,2011/2012,Religion schools,F,180
2012,Number,2012/2013,Religion schools,F,251
2013,Number,2013/2014,Religion schools,F,257
2014,Number,2014/2015,Religion schools,F,306
2015,Number,2015/2016,Religion schools,F,261
2016,Number,2016/2017,Religion schools,F,235
2017,Number,2017/2018,Religion schools,F,277
2018,Number,2018/2019,Religion schools,F,302
2019,Number,2019/2020,Religion schools,F,259
2010,Number,2010/2011,Vocational schools,F,2578
2011,Number,2011/2012,Vocational schools,F,2943
2012,Number,2012/2013,Vocational schools,F,3237
2013,Number,2013/2014,Vocational schools,F,3257
2014,Number,2014/2015,Vocational schools,F,2535
2015,Number,2015/2016,Vocational schools,F,2114
2016,Number,2016/2017,Vocational schools,F,2118
2017,Number,2017/2018,Vocational schools,F,2156
2018,Number,2018/2019,Vocational schools,F,2071
2019,Number,2019/2020,Vocational schools,F,1954
2010,Number,2010/2011,High schools for children with special needs,F,34
2011,Number,2011/2012,High schools for children with special needs,F,42
2012,Number,2012/2013,High schools for children with special needs,F,34
2013,Number,2013/2014,High schools for children with special needs,F,64
2014,Number,2014/2015,High schools for children with special needs,F,44
2015,Number,2015/2016,High schools for children with special needs,F,46
2016,Number,2016/2017,High schools for children with special needs,F,36
2017,Number,2017/2018,High schools for children with special needs,F,38
2018,Number,2018/2019,High schools for children with special needs,F,52
2019,Number,2019/2020,High schools for children with special needs,F,40
