Year,UNIT_MEASURE,Sex,Value
2001,Number,M,98.0
2002,Number,M,77.0
2003,Number,M,91.0
2004,Number,M,94.0
2005,Number,M,85.0
2006,Number,M,83.0
2007,Number,M,98.0
2008,Number,M,102.0
2009,Number,M,80.0
2010,Number,M,83.0
2011,Number,M,57.0
2012,Number,M,64.0
2013,Number,M,45.0
2014,Number,M,45.0
2015,Number,M,56.0
2016,Number,M,54.0
2017,Number,M,51.0
2018,Number,M,49.0
2019,Number,M,40.0
2001,Number,F,95.0
2002,Number,F,61.0
2003,Number,F,59.0
2004,Number,F,74.0
2005,Number,F,62.0
2006,Number,F,54.0
2007,Number,F,76.0
2008,Number,F,69.0
2009,Number,F,56.0
2010,Number,F,60.0
2011,Number,F,61.0
2012,Number,F,56.0
2013,Number,F,57.0
2014,Number,F,32.0
2015,Number,F,58.0
2016,Number,F,56.0
2017,Number,F,52.0
2018,Number,F,39.0
2019,Number,F,42.0
1996,Number,Total,271.0
1997,Number,Total,240.0
1998,Number,Total,202.0
1999,Number,Total,224.0
2000,Number,Total,159.0
2001,Number,Total,193.0
2002,Number,Total,138.0
2003,Number,Total,150.0
2004,Number,Total,168.0
2005,Number,Total,147.0
2006,Number,Total,137.0
2007,Number,Total,174.0
2008,Number,Total,171.0
2009,Number,Total,136.0
2010,Number,Total,143.0
2011,Number,Total,118.0
2012,Number,Total,120.0
2013,Number,Total,102.0
2014,Number,Total,77.0
2015,Number,Total,114.0
2016,Number,Total,110.0
2017,Number,Total,103.0
2018,Number,Total,88.0
2019,Number,Total,82.0
