Year,UNIT_MEASURE,City/minicipality,Number of children,Value
2013,Number,Srebrenica,2 children,1722
2013,Number,Teslic,2 children,5747
2013,Number,City of Trebinje,2 children,4888
2013,Number,Trnovo,2 children,376
2013,Number,Ugljevik,2 children,2613
2013,Number,Foca,2 children,2985
2013,Number,Han Pijesak,2 children,636
2013,Number,Cajnice,2 children,677
2013,Number,Celinac,2 children,2447
2013,Number,Samac,2 children,3141
2013,Number,Sekovici,2 children,982
2013,Number,Sipovo,2 children,1538
2013,Number,Republika Srpska,3 children,75481
2013,Number,City of Banja Luka,3 children,8070
2013,Number,Berkovici,3 children,217
2013,Number,City of Bijeljina,3 children,5831
2013,Number,Bileca,3 children,977
2013,Number,Bratunac,3 children,1431
2013,Number,Brod,3 children,1080
2013,Number,Visegrad,3 children,712
2013,Number,Vlasenica,3 children,713
2013,Number,Vukosavlje,3 children,347
2013,Number,Gacko,3 children,776
2013,Number,City of Gradiska,3 children,3006
2013,Number,City of Derventa,3 children,1724
2013,Number,City of Doboj,3 children,4326
2013,Number,Donji Zabar,3 children,250
2013,Number,City of Zvornik,3 children,4031
2013,Number,East Ilidza,3 children,680
2013,Number,East Drvar,3 children,3
2013,Number,East Mostar,3 children,15
2013,Number,East Stari Grad,3 children,83
2013,Number,East Novo Sarajevo,3 children,443
2013,Number,Jezero,3 children,77
2013,Number,Kalinovik,3 children,171
2013,Number,Knezevo,3 children,808
2013,Number,Kozarska Dubica,3 children,1200
2013,Number,Kostajnica,3 children,277
2013,Number,Kotor Varos,3 children,1502
2013,Number,Krupa Na Uni,3 children,142
2013,Number,Kupres,3 children,27
2013,Number,Laktasi,3 children,2018
2013,Number,Lopare,3 children,1040
2013,Number,Ljubinje,3 children,328
2013,Number,Milici,3 children,838
2013,Number,Modrica,3 children,1652
2013,Number,Mrkonjic Grad,3 children,1314
2013,Number,Nevesinje,3 children,1064
2013,Number,Novi Grad,3 children,1483
2013,Number,Novo Gorazde,3 children,192
2013,Number,Osmaci,3 children,427
2013,Number,Ostra Luka,3 children,266
2013,Number,Pale,3 children,1048
2013,Number,Pelagicevo,3 children,364
2013,Number,Petrovac,3 children,19
2013,Number,Petrovo,3 children,379
2013,Number,City of Prijedor,3 children,5168
2013,Number,Prnjavor,3 children,2451
2013,Number,Ribnik,3 children,572
2013,Number,Rogatica,3 children,824
2013,Number,Rudo,3 children,604
2013,Number,Sokolac,3 children,768
2013,Number,Srbac,3 children,1137
2013,Number,Srebrenica,3 children,914
2013,Number,Teslic,3 children,2955
2013,Number,City of Trebinje,3 children,2131
2013,Number,Trnovo,3 children,136
2013,Number,Ugljevik,3 children,1018
2013,Number,Foca,3 children,1283
2013,Number,Han Pijesak,3 children,282
2013,Number,Cajnice,3 children,408
2013,Number,Celinac,3 children,1172
2013,Number,Samac,3 children,962
2013,Number,Sekovici,3 children,558
2013,Number,Sipovo,3 children,787
2013,Number,Republika Srpska,4 children,22659
2013,Number,City of Banja Luka,4 children,2049
2013,Number,Berkovici,4 children,76
2013,Number,City of Bijeljina,4 children,1410
2013,Number,Bileca,4 children,351
2013,Number,Bratunac,4 children,492
2013,Number,Brod,4 children,303
2013,Number,Visegrad,4 children,194
2013,Number,Vlasenica,4 children,266
2013,Number,Vukosavlje,4 children,148
2013,Number,Gacko,4 children,273
2013,Number,City of Gradiska,4 children,817
2013,Number,City of Derventa,4 children,506
2013,Number,City of Doboj,4 children,1337
2013,Number,Donji Zabar,4 children,69
2013,Number,City of Zvornik,4 children,1267
2013,Number,East Ilidza,4 children,111
2013,Number,East Drvar,4 children,0
2013,Number,East Mostar,4 children,5
2013,Number,East Stari Grad,4 children,23
2013,Number,East Novo Sarajevo,4 children,82
2013,Number,Jezero,4 children,34
2013,Number,Kalinovik,4 children,53
2013,Number,Knezevo,4 children,317
2013,Number,Kozarska Dubica,4 children,294
2013,Number,Kostajnica,4 children,70
2013,Number,Kotor Varos,4 children,635
2013,Number,Krupa Na Uni,4 children,61
2013,Number,Kupres,4 children,13
2013,Number,Laktasi,4 children,549
2013,Number,Lopare,4 children,301
2013,Number,Ljubinje,4 children,74
2013,Number,Milici,4 children,277
2013,Number,Modrica,4 children,548
2013,Number,Mrkonjic Grad,4 children,393
2013,Number,Nevesinje,4 children,395
2013,Number,Novi Grad,4 children,583
2013,Number,Novo Gorazde,4 children,55
2013,Number,Osmaci,4 children,171
2013,Number,Ostra Luka,4 children,105
2013,Number,Pale,4 children,235
2013,Number,Pelagicevo,4 children,133
2013,Number,Petrovac,4 children,2
2013,Number,Petrovo,4 children,91
2013,Number,City of Prijedor,4 children,1761
2013,Number,Prnjavor,4 children,769
2013,Number,Ribnik,4 children,198
2013,Number,Rogatica,4 children,259
2013,Number,Rudo,4 children,201
2013,Number,Sokolac,4 children,206
2013,Number,Srbac,4 children,306
2013,Number,Srebrenica,4 children,358
2013,Number,Teslic,4 children,1010
2013,Number,City of Trebinje,4 children,463
2013,Number,Trnovo,4 children,45
2013,Number,Ugljevik,4 children,264
2013,Number,Foca,4 children,348
2013,Number,Han Pijesak,4 children,75
2013,Number,Cajnice,4 children,140
2013,Number,Celinac,4 children,385
2013,Number,Samac,4 children,235
2013,Number,Sekovici,4 children,193
2013,Number,Sipovo,4 children,275
2013,Number,Republika Srpska,5+ children,17275
2013,Number,City of Banja Luka,5+ children,1552
2013,Number,Berkovici,5+ children,37
2013,Number,City of Bijeljina,5+ children,882
2013,Number,Bileca,5+ children,169
2013,Number,Bratunac,5+ children,489
2013,Number,Brod,5+ children,224
2013,Number,Visegrad,5+ children,123
2013,Number,Vlasenica,5+ children,254
2013,Number,Vukosavlje,5+ children,140
2013,Number,Gacko,5+ children,133
2013,Number,City of Gradiska,5+ children,677
2013,Number,City of Derventa,5+ children,372
2013,Number,City of Doboj,5+ children,1006
2013,Number,Donji Zabar,5+ children,50
2013,Number,City of Zvornik,5+ children,1008
2013,Number,East Ilidza,5+ children,54
2013,Number,East Drvar,5+ children,0
2013,Number,East Mostar,5+ children,7
2013,Number,East Stari Grad,5+ children,7
2013,Number,East Novo Sarajevo,5+ children,30
2013,Number,Jezero,5+ children,26
2013,Number,Kalinovik,5+ children,43
2013,Number,Knezevo,5+ children,365
2013,Number,Kozarska Dubica,5+ children,165
2013,Number,Kostajnica,5+ children,47
2013,Number,Kotor Varos,5+ children,617
2013,Number,Krupa Na Uni,5+ children,65
2013,Number,Kupres,5+ children,10
2013,Number,Laktasi,5+ children,306
2013,Number,Lopare,5+ children,209
2013,Number,Ljubinje,5+ children,41
2013,Number,Milici,5+ children,239
2013,Number,Modrica,5+ children,366
2013,Number,Mrkonjic Grad,5+ children,295
2013,Number,Nevesinje,5+ children,204
2013,Number,Novi Grad,5+ children,543
2013,Number,Novo Gorazde,5+ children,42
2013,Number,Osmaci,5+ children,175
2013,Number,Ostra Luka,5+ children,102
2013,Number,Pale,5+ children,95
2013,Number,Pelagicevo,5+ children,109
2013,Number,Petrovac,5+ children,0
2013,Number,Petrovo,5+ children,65
2013,Number,City of Prijedor,5+ children,1535
2013,Number,Prnjavor,5+ children,610
2013,Number,Ribnik,5+ children,162
2013,Number,Rogatica,5+ children,143
2013,Number,Rudo,5+ children,92
2013,Number,Sokolac,5+ children,104
2013,Number,Srbac,5+ children,217
2013,Number,Srebrenica,5+ children,362
2013,Number,Teslic,5+ children,1100
2013,Number,City of Trebinje,5+ children,145
2013,Number,Trnovo,5+ children,22
2013,Number,Ugljevik,5+ children,161
2013,Number,Foca,5+ children,218
2013,Number,Han Pijesak,5+ children,47
2013,Number,Cajnice,5+ children,72
2013,Number,Celinac,5+ children,311
2013,Number,Samac,5+ children,151
2013,Number,Sekovici,5+ children,174
2013,Number,Sipovo,5+ children,306
