Year,UNIT_MEASURE,Sex,Value
2016,Number,Total,10861
2016,Number,M,5651
2016,Number,F,5210
2017,Number,Total,10642
2017,Number,M,5418
2017,Number,F,5224
2018,Number,Total,10440
2018,Number,M,5284
2018,Number,F,5156
2019,Number,Total,10471
2019,Number,M,5344
2019,Number,F,5127
2020,Number,Total,9888
2020,Number,M,5116
2020,Number,F,4772
2021,Number,Total,9832
2021,Number,M,5047
2021,Number,F,4785
2022,Number,Total,9368
2022,Number,M,4835
2022,Number,F,4533
2023,Number,Total,9432
2023,Number,M,4769
2023,Number,F,4663
