Year,UNIT_MEASURE,Sex,Value
2015,Number,Total,37390
2015,Number,M,16408
2015,Number,F,20982
2016,Number,Total,34792
2016,Number,M,15115
2016,Number,F,19677
2017,Number,Total,31850
2017,Number,M,13740
2017,Number,F,18110
2018,Number,Total,29006
2018,Number,M,12235
2018,Number,F,16771
2019,Number,Total,26980
2019,Number,M,11102
2019,Number,F,15878
2020,Number,Total,25735
2020,Number,M,10677
2020,Number,F,15058
2021,Number,Total,24807
2021,Number,M,9952
2021,Number,F,14855
2022,Number,Total,24267
2022,Number,M,9478
2022,Number,F,14789
