Year,UNIT_MEASURE,Administrative area,Sex,Vital statistics,Value
2013,Number,Milici,F,Did not give birth,1235
2013,Number,Modrica,F,Did not give birth,2736
2013,Number,Mrkonjic Grad,F,Did not give birth,1571
2013,Number,Nevesinje,F,Did not give birth,1490
2013,Number,Novi Grad,F,Did not give birth,2605
2013,Number,Novo Gorazde,F,Did not give birth,405
2013,Number,Osmaci,F,Did not give birth,570
2013,Number,Ostra Luka,F,Did not give birth,235
2013,Number,Pale,F,Did not give birth,2843
2013,Number,Pelagicevo,F,Did not give birth,467
2013,Number,Petrovac,F,Did not give birth,34
2013,Number,Petrovo,F,Did not give birth,581
2013,Number,City of Prijedor,F,Did not give birth,9358
2013,Number,Prnjavor,F,Did not give birth,3458
2013,Number,Ribnik,F,Did not give birth,493
2013,Number,Rogatica,F,Did not give birth,1126
2013,Number,Rudo,F,Did not give birth,769
2013,Number,Sokolac,F,Did not give birth,1278
2013,Number,Srbac,F,Did not give birth,1710
2013,Number,Srebrenica,F,Did not give birth,1385
2013,Number,Teslic,F,Did not give birth,3716
2013,Number,City of Trebinje,F,Did not give birth,3394
2013,Number,Trnovo,F,Did not give birth,243
2013,Number,Ugljevik,F,Did not give birth,1598
2013,Number,Foca,F,Did not give birth,2037
2013,Number,Han Pijesak,F,Did not give birth,391
2013,Number,Cajnice,F,Did not give birth,525
2013,Number,Celinac,F,Did not give birth,1600
2013,Number,Samac,F,Did not give birth,1848
2013,Number,Sekovici,F,Did not give birth,667
2013,Number,Sipovo,F,Did not give birth,974
2013,Number,Republika Srpska,F,One child,69805
2013,Number,City of Banja Luka,F,One child,13545
2013,Number,Berkovici,F,One child,72
2013,Number,City of Bijeljina,F,One child,6922
2013,Number,Bileca,F,One child,374
2013,Number,Bratunac,F,One child,856
2013,Number,Brod,F,One child,987
2013,Number,Visegrad,F,One child,536
2013,Number,Vlasenica,F,One child,547
2013,Number,Vukosavlje,F,One child,236
2013,Number,Gacko,F,One child,325
2013,Number,City of Gradiska,F,One child,3293
2013,Number,City of Derventa,F,One child,1633
2013,Number,City of Doboj,F,One child,4512
2013,Number,Donji Zabar,F,One child,205
2013,Number,City of Zvornik,F,One child,2647
2013,Number,East Ilidza,F,One child,1017
2013,Number,East Drvar,F,One child,4
2013,Number,East Mostar,F,One child,8
2013,Number,East Stari Grad,F,One child,53
2013,Number,East Novo Sarajevo,F,One child,832
2013,Number,Jezero,F,One child,41
2013,Number,Kalinovik,F,One child,62
2013,Number,Knezevo,F,One child,329
2013,Number,Kozarska Dubica,F,One child,1478
2013,Number,Kostajnica,F,One child,460
2013,Number,Kotor Varos,F,One child,706
2013,Number,Krupa Na Uni,F,One child,58
2013,Number,Kupres,F,One child,13
2013,Number,Laktasi,F,One child,2036
2013,Number,Lopare,F,One child,737
2013,Number,Ljubinje,F,One child,102
2013,Number,Milici,F,One child,405
2013,Number,Modrica,F,One child,1389
2013,Number,Mrkonjic Grad,F,One child,720
2013,Number,Nevesinje,F,One child,478
2013,Number,Novi Grad,F,One child,1568
2013,Number,Novo Gorazde,F,One child,147
2013,Number,Osmaci,F,One child,227
2013,Number,Ostra Luka,F,One child,79
2013,Number,Pale,F,One child,1269
2013,Number,Pelagicevo,F,One child,240
2013,Number,Petrovac,F,One child,23
2013,Number,Petrovo,F,One child,407
2013,Number,City of Prijedor,F,One child,5181
2013,Number,Prnjavor,F,One child,1922
2013,Number,Ribnik,F,One child,226
2013,Number,Rogatica,F,One child,505
2013,Number,Rudo,F,One child,299
2013,Number,Sokolac,F,One child,646
2013,Number,Srbac,F,One child,1066
2013,Number,Srebrenica,F,One child,519
2013,Number,Teslic,F,One child,1963
2013,Number,City of Trebinje,F,One child,1415
2013,Number,Trnovo,F,One child,114
2013,Number,Ugljevik,F,One child,797
2013,Number,Foca,F,One child,829
2013,Number,Han Pijesak,F,One child,200
2013,Number,Cajnice,F,One child,203
2013,Number,Celinac,F,One child,640
2013,Number,Samac,F,One child,1094
2013,Number,Sekovici,F,One child,241
2013,Number,Sipovo,F,One child,367
2013,Number,Republika Srpska,F,Two children,201271
2013,Number,City of Banja Luka,F,Two children,32459
2013,Number,Berkovici,F,Two children,239
2013,Number,City of Bijeljina,F,Two children,19232
2013,Number,Bileca,F,Two children,1326
2013,Number,Bratunac,F,Two children,2792
2013,Number,Brod,F,Two children,2580
2013,Number,Visegrad,F,Two children,1848
2013,Number,Vlasenica,F,Two children,1665
2013,Number,Vukosavlje,F,Two children,559
2013,Number,Gacko,F,Two children,1059
2013,Number,City of Gradiska,F,Two children,8900
2013,Number,City of Derventa,F,Two children,4439
2013,Number,City of Doboj,F,Two children,12173
2013,Number,Donji Zabar,F,Two children,593
2013,Number,City of Zvornik,F,Two children,8830
2013,Number,East Ilidza,F,Two children,2779
2013,Number,East Drvar,F,Two children,10
2013,Number,East Mostar,F,Two children,33
2013,Number,East Stari Grad,F,Two children,228
2013,Number,East Novo Sarajevo,F,Two children,1900
2013,Number,Jezero,F,Two children,148
2013,Number,Kalinovik,F,Two children,319
2013,Number,Knezevo,F,Two children,1392
2013,Number,Kozarska Dubica,F,Two children,4143
2013,Number,Kostajnica,F,Two children,1052
2013,Number,Kotor Varos,F,Two children,2402
2013,Number,Krupa Na Uni,F,Two children,192
2013,Number,Kupres,F,Two children,40
2013,Number,Laktasi,F,Two children,6184
2013,Number,Lopare,F,Two children,2505
2013,Number,Ljubinje,F,Two children,553
2013,Number,Milici,F,Two children,1495
2013,Number,Modrica,F,Two children,4165
2013,Number,Mrkonjic Grad,F,Two children,2860
2013,Number,Nevesinje,F,Two children,1754
2013,Number,Novi Grad,F,Two children,4409
2013,Number,Novo Gorazde,F,Two children,422
2013,Number,Osmaci,F,Two children,797
2013,Number,Ostra Luka,F,Two children,344
2013,Number,Pale,F,Two children,3827
2013,Number,Pelagicevo,F,Two children,665
2013,Number,Petrovac,F,Two children,82
2013,Number,Petrovo,F,Two children,1379
2013,Number,City of Prijedor,F,Two children,13567
2013,Number,Prnjavor,F,Two children,6044
2013,Number,Ribnik,F,Two children,909
2013,Number,Rogatica,F,Two children,1710
2013,Number,Rudo,F,Two children,1350
2013,Number,Sokolac,F,Two children,2140
2013,Number,Srbac,F,Two children,3026
2013,Number,Srebrenica,F,Two children,1722
2013,Number,Teslic,F,Two children,5747
2013,Number,City of Trebinje,F,Two children,4888
2013,Number,Trnovo,F,Two children,376
2013,Number,Ugljevik,F,Two children,2613
2013,Number,Foca,F,Two children,2985
2013,Number,Han Pijesak,F,Two children,636
2013,Number,Cajnice,F,Two children,677
2013,Number,Celinac,F,Two children,2447
2013,Number,Samac,F,Two children,3141
2013,Number,Sekovici,F,Two children,982
2013,Number,Sipovo,F,Two children,1538
2013,Number,Republika Srpska,F,Three children,75481
2013,Number,City of Banja Luka,F,Three children,8070
2013,Number,Berkovici,F,Three children,217
2013,Number,City of Bijeljina,F,Three children,5831
2013,Number,Bileca,F,Three children,977
2013,Number,Bratunac,F,Three children,1431
2013,Number,Brod,F,Three children,1080
2013,Number,Visegrad,F,Three children,712
2013,Number,Vlasenica,F,Three children,713
2013,Number,Vukosavlje,F,Three children,347
2013,Number,Gacko,F,Three children,776
2013,Number,City of Gradiska,F,Three children,3006
2013,Number,City of Derventa,F,Three children,1724
2013,Number,City of Doboj,F,Three children,4326
2013,Number,Donji Zabar,F,Three children,250
2013,Number,City of Zvornik,F,Three children,4031
2013,Number,East Ilidza,F,Three children,680
2013,Number,East Drvar,F,Three children,3
2013,Number,East Mostar,F,Three children,15
2013,Number,East Stari Grad,F,Three children,83
2013,Number,East Novo Sarajevo,F,Three children,443
2013,Number,Jezero,F,Three children,77
2013,Number,Kalinovik,F,Three children,171
2013,Number,Knezevo,F,Three children,808
2013,Number,Kozarska Dubica,F,Three children,1200
2013,Number,Kostajnica,F,Three children,277
2013,Number,Kotor Varos,F,Three children,1502
2013,Number,Krupa Na Uni,F,Three children,142
2013,Number,Kupres,F,Three children,27
2013,Number,Laktasi,F,Three children,2018
2013,Number,Lopare,F,Three children,1040
2013,Number,Ljubinje,F,Three children,328
2013,Number,Milici,F,Three children,838
2013,Number,Modrica,F,Three children,1652
2013,Number,Mrkonjic Grad,F,Three children,1314
2013,Number,Nevesinje,F,Three children,1064
2013,Number,Novi Grad,F,Three children,1483
2013,Number,Novo Gorazde,F,Three children,192
2013,Number,Osmaci,F,Three children,427
2013,Number,Ostra Luka,F,Three children,266
2013,Number,Pale,F,Three children,1048
2013,Number,Pelagicevo,F,Three children,364
2013,Number,Petrovac,F,Three children,19
2013,Number,Petrovo,F,Three children,379
2013,Number,City of Prijedor,F,Three children,5168
2013,Number,Prnjavor,F,Three children,2451
2013,Number,Ribnik,F,Three children,572
2013,Number,Rogatica,F,Three children,824
2013,Number,Rudo,F,Three children,604
2013,Number,Sokolac,F,Three children,768
2013,Number,Srbac,F,Three children,1137
2013,Number,Srebrenica,F,Three children,914
2013,Number,Teslic,F,Three children,2955
2013,Number,City of Trebinje,F,Three children,2131
2013,Number,Trnovo,F,Three children,136
2013,Number,Ugljevik,F,Three children,1018
2013,Number,Foca,F,Three children,1283
2013,Number,Han Pijesak,F,Three children,282
2013,Number,Cajnice,F,Three children,408
2013,Number,Celinac,F,Three children,1172
2013,Number,Samac,F,Three children,962
2013,Number,Sekovici,F,Three children,558
2013,Number,Sipovo,F,Three children,787
2013,Number,Republika Srpska,F,Four children,22659
2013,Number,City of Banja Luka,F,Four children,2049
2013,Number,Berkovici,F,Four children,76
2013,Number,City of Bijeljina,F,Four children,1410
2013,Number,Bileca,F,Four children,351
2013,Number,Bratunac,F,Four children,492
2013,Number,Brod,F,Four children,303
2013,Number,Visegrad,F,Four children,194
2013,Number,Vlasenica,F,Four children,266
2013,Number,Vukosavlje,F,Four children,148
2013,Number,Gacko,F,Four children,273
2013,Number,City of Gradiska,F,Four children,817
2013,Number,City of Derventa,F,Four children,506
2013,Number,City of Doboj,F,Four children,1337
2013,Number,Donji Zabar,F,Four children,69
2013,Number,City of Zvornik,F,Four children,1267
2013,Number,East Ilidza,F,Four children,111
2013,Number,East Drvar,F,Four children,0
2013,Number,East Mostar,F,Four children,5
2013,Number,East Stari Grad,F,Four children,23
2013,Number,East Novo Sarajevo,F,Four children,82
2013,Number,Jezero,F,Four children,34
2013,Number,Kalinovik,F,Four children,53
2013,Number,Knezevo,F,Four children,317
2013,Number,Kozarska Dubica,F,Four children,294
2013,Number,Kostajnica,F,Four children,70
2013,Number,Kotor Varos,F,Four children,635
2013,Number,Krupa Na Uni,F,Four children,61
2013,Number,Kupres,F,Four children,13
2013,Number,Laktasi,F,Four children,549
2013,Number,Lopare,F,Four children,301
2013,Number,Ljubinje,F,Four children,74
2013,Number,Milici,F,Four children,277
2013,Number,Modrica,F,Four children,548
2013,Number,Mrkonjic Grad,F,Four children,393
2013,Number,Nevesinje,F,Four children,395
2013,Number,Novi Grad,F,Four children,583
2013,Number,Novo Gorazde,F,Four children,55
2013,Number,Osmaci,F,Four children,171
2013,Number,Ostra Luka,F,Four children,105
2013,Number,Pale,F,Four children,235
2013,Number,Pelagicevo,F,Four children,133
2013,Number,Petrovac,F,Four children,2
2013,Number,Petrovo,F,Four children,91
2013,Number,City of Prijedor,F,Four children,1761
2013,Number,Prnjavor,F,Four children,769
2013,Number,Ribnik,F,Four children,198
2013,Number,Rogatica,F,Four children,259
2013,Number,Rudo,F,Four children,201
2013,Number,Sokolac,F,Four children,206
2013,Number,Srbac,F,Four children,306
2013,Number,Srebrenica,F,Four children,358
2013,Number,Teslic,F,Four children,1010
2013,Number,City of Trebinje,F,Four children,463
2013,Number,Trnovo,F,Four children,45
