Year,UNIT_MEASURE,Value
2005,Number,421
2006,Number,409
2007,Number,405
2008,Number,417
2009,Number,406
2010,Number,395
2011,Number,390
2012,Number,397
2013,Number,377
2014,Number,379
2015,Number,371
2016,Number,371
2017,Number,363
2018,Number,371
2019,Number,358
2020,Number,354
2021,Number,351
2022,Number,261
2023,Number,355
2024,Number,332
