Year,UNIT_MEASURE,Sex,Value
2016,Number,Total,11931
2016,Number,M,6085
2016,Number,F,5846
2017,Number,Total,10384
2017,Number,M,5321
2017,Number,F,5063
2018,Number,Total,10201
2018,Number,M,5194
2018,Number,F,5007
2019,Number,Total,10300
2019,Number,M,5238
2019,Number,F,5062
2020,Number,Total,9904
2020,Number,M,5039
2020,Number,F,4865
2021,Number,Total,9592
2021,Number,M,4902
2021,Number,F,4690
2022,Number,Total,9375
2022,Number,M,4702
2022,Number,F,4673
2023,Number,Total,9733
2023,Number,M,4963
2023,Number,F,4770
