Year,UNIT_MEASURE,ADMIN_AREA,Sex,Literacy,Value
2013,Number,petrovac,Both sexes,illiterate,6.0
2013,Number,petrovac,M,illiterate,0.0
2013,Number,petrovac,F,illiterate,6.0
2013,Number,petrovo,Both sexes,illiterate,245.0
2013,Number,petrovo,M,illiterate,28.0
2013,Number,petrovo,F,illiterate,217.0
2013,Number,grad_prijedor,Both sexes,illiterate,2172.0
2013,Number,grad_prijedor,M,illiterate,422.0
2013,Number,grad_prijedor,F,illiterate,1750.0
2013,Number,prnjavor,Both sexes,illiterate,1408.0
2013,Number,prnjavor,M,illiterate,203.0
2013,Number,prnjavor,F,illiterate,1205.0
2013,Number,ribnik,Both sexes,illiterate,456.0
2013,Number,ribnik,M,illiterate,69.0
2013,Number,ribnik,F,illiterate,387.0
2013,Number,rogatica,Both sexes,illiterate,351.0
2013,Number,rogatica,M,illiterate,38.0
2013,Number,rogatica,F,illiterate,313.0
2013,Number,rudo,Both sexes,illiterate,155.0
2013,Number,rudo,M,illiterate,27.0
2013,Number,rudo,F,illiterate,128.0
2013,Number,sokolac,Both sexes,illiterate,231.0
2013,Number,sokolac,M,illiterate,25.0
2013,Number,sokolac,F,illiterate,206.0
2013,Number,srbac,Both sexes,illiterate,539.0
2013,Number,srbac,M,illiterate,102.0
2013,Number,srbac,F,illiterate,437.0
2013,Number,srebrenica,Both sexes,illiterate,627.0
2013,Number,srebrenica,M,illiterate,64.0
2013,Number,srebrenica,F,illiterate,563.0
2013,Number,teslic,Both sexes,illiterate,1980.0
2013,Number,teslic,M,illiterate,227.0
2013,Number,teslic,F,illiterate,1753.0
2013,Number,grad_trebinje,Both sexes,illiterate,237.0
2013,Number,grad_trebinje,M,illiterate,31.0
2013,Number,grad_trebinje,F,illiterate,206.0
2013,Number,trnovo,Both sexes,illiterate,76.0
2013,Number,trnovo,M,illiterate,10.0
2013,Number,trnovo,F,illiterate,66.0
2013,Number,ugljevik,Both sexes,illiterate,451.0
2013,Number,ugljevik,M,illiterate,68.0
2013,Number,ugljevik,F,illiterate,383.0
2013,Number,foca,Both sexes,illiterate,391.0
2013,Number,foca,M,illiterate,51.0
2013,Number,foca,F,illiterate,340.0
2013,Number,han_pijesak,Both sexes,illiterate,88.0
2013,Number,han_pijesak,M,illiterate,10.0
2013,Number,han_pijesak,F,illiterate,78.0
2013,Number,cajnice,Both sexes,illiterate,140.0
2013,Number,cajnice,M,illiterate,22.0
2013,Number,cajnice,F,illiterate,118.0
2013,Number,celinac,Both sexes,illiterate,472.0
2013,Number,celinac,M,illiterate,56.0
2013,Number,celinac,F,illiterate,416.0
2013,Number,samac,Both sexes,illiterate,300.0
2013,Number,samac,M,illiterate,55.0
2013,Number,samac,F,illiterate,245.0
2013,Number,sekovici,Both sexes,illiterate,427.0
2013,Number,sekovici,M,illiterate,83.0
2013,Number,sekovici,F,illiterate,344.0
2013,Number,sipovo,Both sexes,illiterate,431.0
2013,Number,sipovo,M,illiterate,49.0
2013,Number,sipovo,F,illiterate,382.0
2013,_%,republika_srpska,Both sexes,illiterate,3.29
2013,_%,republika_srpska,M,illiterate,0.97
2013,_%,republika_srpska,F,illiterate,5.48
2013,_%,grad_banja_luka,Both sexes,illiterate,2.16
2013,_%,grad_banja_luka,M,illiterate,0.66
2013,_%,grad_banja_luka,F,illiterate,3.53
2013,_%,berkovici,Both sexes,illiterate,2.58
2013,_%,berkovici,M,illiterate,0.11
2013,_%,berkovici,F,illiterate,5.07
2013,_%,grad_bijeljina,Both sexes,illiterate,2.7
2013,_%,grad_bijeljina,M,illiterate,0.9
2013,_%,grad_bijeljina,F,illiterate,4.4
2013,_%,bileca,Both sexes,illiterate,1.49
2013,_%,bileca,M,illiterate,0.64
2013,_%,bileca,F,illiterate,2.35
2013,_%,bratunac,Both sexes,illiterate,5.16
2013,_%,bratunac,M,illiterate,1.0
2013,_%,bratunac,F,illiterate,9.17
2013,_%,brod,Both sexes,illiterate,2.31
2013,_%,brod,M,illiterate,0.77
2013,_%,brod,F,illiterate,3.76
2013,_%,visegrad,Both sexes,illiterate,3.82
2013,_%,visegrad,M,illiterate,0.78
2013,_%,visegrad,F,illiterate,6.59
2013,_%,vlasenica,Both sexes,illiterate,3.63
2013,_%,vlasenica,M,illiterate,1.05
2013,_%,vlasenica,F,illiterate,6.04
2013,_%,vukosavlje,Both sexes,illiterate,4.96
2013,_%,vukosavlje,M,illiterate,1.57
2013,_%,vukosavlje,F,illiterate,8.35
2013,_%,gacko,Both sexes,illiterate,1.4
2013,_%,gacko,M,illiterate,0.25
2013,_%,gacko,F,illiterate,2.58
2013,_%,grad_gradiska,Both sexes,illiterate,3.39
2013,_%,grad_gradiska,M,illiterate,0.94
2013,_%,grad_gradiska,F,illiterate,5.71
2013,_%,grad_derventa,Both sexes,illiterate,3.44
2013,_%,grad_derventa,M,illiterate,1.05
2013,_%,grad_derventa,F,illiterate,5.69
2013,_%,grad_doboj,Both sexes,illiterate,3.19
2013,_%,grad_doboj,M,illiterate,0.9
2013,_%,grad_doboj,F,illiterate,5.33
2013,_%,donji_zabar,Both sexes,illiterate,3.82
2013,_%,donji_zabar,M,illiterate,1.54
2013,_%,donji_zabar,F,illiterate,6.12
2013,_%,grad_zvornik,Both sexes,illiterate,4.23
2013,_%,grad_zvornik,M,illiterate,1.03
2013,_%,grad_zvornik,F,illiterate,7.32
2013,_%,istocna_ilidza,Both sexes,illiterate,1.3
2013,_%,istocna_ilidza,M,illiterate,0.35
2013,_%,istocna_ilidza,F,illiterate,2.17
2013,_%,istocni_drvar,Both sexes,illiterate,3.08
2013,_%,istocni_drvar,M,illiterate,0.0
2013,_%,istocni_drvar,F,illiterate,9.09
2013,_%,istocni_mostar,Both sexes,illiterate,8.41
2013,_%,istocni_mostar,M,illiterate,0.78
2013,_%,istocni_mostar,F,illiterate,18.37
2013,_%,istocni_stari_grad,Both sexes,illiterate,3.87
2013,_%,istocni_stari_grad,M,illiterate,0.59
2013,_%,istocni_stari_grad,F,illiterate,7.01
2013,_%,istocno_novo_sarajevo,Both sexes,illiterate,0.86
2013,_%,istocno_novo_sarajevo,M,illiterate,0.32
2013,_%,istocno_novo_sarajevo,F,illiterate,1.35
2013,_%,jezero,Both sexes,illiterate,4.52
2013,_%,jezero,M,illiterate,1.42
2013,_%,jezero,F,illiterate,7.84
2013,_%,kalinovik,Both sexes,illiterate,4.66
2013,_%,kalinovik,M,illiterate,0.56
2013,_%,kalinovik,F,illiterate,8.53
2013,_%,knezevo,Both sexes,illiterate,11.35
2013,_%,knezevo,M,illiterate,3.47
2013,_%,knezevo,F,illiterate,18.97
2013,_%,kozarska_dubica,Both sexes,illiterate,3.09
2013,_%,kozarska_dubica,M,illiterate,0.83
2013,_%,kozarska_dubica,F,illiterate,5.24
2013,_%,kostajnica,Both sexes,illiterate,2.21
2013,_%,kostajnica,M,illiterate,0.55
2013,_%,kostajnica,F,illiterate,3.81
2013,_%,kotor_varos,Both sexes,illiterate,6.3
2013,_%,kotor_varos,M,illiterate,1.83
2013,_%,kotor_varos,F,illiterate,10.56
2013,_%,krupa_na_uni,Both sexes,illiterate,9.96
2013,_%,krupa_na_uni,M,illiterate,2.67
2013,_%,krupa_na_uni,F,illiterate,18.51
2013,_%,kupres,Both sexes,illiterate,28.93
2013,_%,kupres,M,illiterate,18.37
2013,_%,kupres,F,illiterate,40.6
2013,_%,laktasi,Both sexes,illiterate,2.45
2013,_%,laktasi,M,illiterate,0.77
2013,_%,laktasi,F,illiterate,4.08
2013,_%,lopare,Both sexes,illiterate,5.0
2013,_%,lopare,M,illiterate,1.8
2013,_%,lopare,F,illiterate,8.23
2013,_%,ljubinje,Both sexes,illiterate,1.61
2013,_%,ljubinje,M,illiterate,0.33
2013,_%,ljubinje,F,illiterate,2.85
2013,_%,milici,Both sexes,illiterate,4.21
2013,_%,milici,M,illiterate,1.07
2013,_%,milici,F,illiterate,7.36
2013,_%,modrica,Both sexes,illiterate,3.28
2013,_%,modrica,M,illiterate,1.09
2013,_%,modrica,F,illiterate,5.36
2013,_%,mrkonjic_grad,Both sexes,illiterate,5.65
2013,_%,mrkonjic_grad,M,illiterate,1.37
2013,_%,mrkonjic_grad,F,illiterate,9.56
2013,_%,nevesinje,Both sexes,illiterate,2.69
2013,_%,nevesinje,M,illiterate,0.57
2013,_%,nevesinje,F,illiterate,4.76
2013,_%,novi_grad,Both sexes,illiterate,2.86
2013,_%,novi_grad,M,illiterate,0.92
2013,_%,novi_grad,F,illiterate,4.78
2013,_%,novo_gorazde,Both sexes,illiterate,2.8
2013,_%,novo_gorazde,M,illiterate,0.36
2013,_%,novo_gorazde,F,illiterate,5.42
2013,_%,osmaci,Both sexes,illiterate,5.26
2013,_%,osmaci,M,illiterate,1.16
2013,_%,osmaci,F,illiterate,9.31
2013,_%,ostra_luka,Both sexes,illiterate,7.94
2013,_%,ostra_luka,M,illiterate,2.53
2013,_%,ostra_luka,F,illiterate,13.62
2013,_%,pale,Both sexes,illiterate,1.58
2013,_%,pale,M,illiterate,0.45
2013,_%,pale,F,illiterate,2.59
2013,_%,pelagicevo,Both sexes,illiterate,4.39
2013,_%,pelagicevo,M,illiterate,1.44
2013,_%,pelagicevo,F,illiterate,7.26
2013,_%,petrovac,Both sexes,illiterate,1.86
2013,_%,petrovac,M,illiterate,0.0
2013,_%,petrovac,F,illiterate,3.49
2013,_%,petrovo,Both sexes,illiterate,4.2
2013,_%,petrovo,M,illiterate,1.0
2013,_%,petrovo,F,illiterate,7.14
2013,_%,grad_prijedor,Both sexes,illiterate,2.92
2013,_%,grad_prijedor,M,illiterate,1.17
2013,_%,grad_prijedor,F,illiterate,4.56
2013,_%,prnjavor,Both sexes,illiterate,4.51
2013,_%,prnjavor,M,illiterate,1.35
2013,_%,prnjavor,F,illiterate,7.46
2013,_%,ribnik,Both sexes,illiterate,8.5
2013,_%,ribnik,M,illiterate,2.6
2013,_%,ribnik,F,illiterate,14.25
2013,_%,rogatica,Both sexes,illiterate,3.76
2013,_%,rogatica,M,illiterate,0.83
2013,_%,rogatica,F,illiterate,6.56
2013,_%,rudo,Both sexes,illiterate,2.22
2013,_%,rudo,M,illiterate,0.77
2013,_%,rudo,F,illiterate,3.7
2013,_%,sokolac,Both sexes,illiterate,2.18
2013,_%,sokolac,M,illiterate,0.48
2013,_%,sokolac,F,illiterate,3.82
2013,_%,srbac,Both sexes,illiterate,3.5
2013,_%,srbac,M,illiterate,1.35
2013,_%,srbac,F,illiterate,5.55
2013,_%,srebrenica,Both sexes,illiterate,5.85
2013,_%,srebrenica,M,illiterate,1.22
2013,_%,srebrenica,F,illiterate,10.26
2013,_%,teslic,Both sexes,illiterate,5.93
2013,_%,teslic,M,illiterate,1.43
2013,_%,teslic,F,illiterate,10.0
2013,_%,grad_trebinje,Both sexes,illiterate,0.93
2013,_%,grad_trebinje,M,illiterate,0.25
