Year,UNIT_MEASURE,Sex,Value
2016,Number,Total,92683
2016,Number,M,47466
2016,Number,F,45217
2017,Number,Total,91370
2017,Number,M,46939
2017,Number,F,44431
2018,Number,Total,90003
2018,Number,M,46086
2018,Number,F,43917
2019,Number,Total,88331
2019,Number,M,45304
2019,Number,F,43027
2020,Number,Total,86774
2020,Number,M,44415
2020,Number,F,42359
2021,Number,Total,85533
2021,Number,M,44245
2021,Number,F,41288
2022,Number,Total,84643
2022,Number,M,43637
2022,Number,F,41006
2023,Number,Total,83708
2023,Number,M,43143
2023,Number,F,40565
