Year,UNIT_MEASURE,Sex,Value
2016,Number,Total,95
2016,Number,M,49
2016,Number,F,46
2017,Number,Total,130
2017,Number,M,70
2017,Number,F,60
2018,Number,Total,119
2018,Number,M,56
2018,Number,F,63
2019,Number,Total,165
2019,Number,M,71
2019,Number,F,94
2020,Number,Total,184
2020,Number,M,79
2020,Number,F,105
2021,Number,Total,285
2021,Number,M,118
2021,Number,F,167
2022,Number,Total,235
2022,Number,M,101
2022,Number,F,134
2023,Number,Total,258
2023,Number,M,122
2023,Number,F,136
2024,Number,Total,295
2024,Number,M,156
2024,Number,F,139
