Year,UNIT_MEASURE,Sex,Age,Value
2013,Number,Both sexes,Total,1170342
2013,Number,Both sexes,0,10089
2013,Number,Both sexes,1,10442
2013,Number,Both sexes,2,10534
2013,Number,Both sexes,3,11066
2013,Number,Both sexes,4,11274
2013,Number,Both sexes,5,11077
2013,Number,Both sexes,6,10671
2013,Number,Both sexes,7,10633
2013,Number,Both sexes,8,10851
2013,Number,Both sexes,9,10844
2013,Number,Both sexes,10,10926
2013,Number,Both sexes,11,11066
2013,Number,Both sexes,12,11776
2013,Number,Both sexes,13,11732
2013,Number,Both sexes,14,11826
2013,Number,Both sexes,15,13345
2013,Number,Both sexes,16,14990
2013,Number,Both sexes,17,14239
2013,Number,Both sexes,18,14376
2013,Number,Both sexes,19,13865
2013,Number,Both sexes,20,11430
2013,Number,Both sexes,21,12311
2013,Number,Both sexes,22,13731
2013,Number,Both sexes,23,13757
2013,Number,Both sexes,24,14134
2013,Number,Both sexes,25,14918
2013,Number,Both sexes,26,14929
2013,Number,Both sexes,27,15102
2013,Number,Both sexes,28,15505
2013,Number,Both sexes,29,16299
2013,Number,Both sexes,30,16049
2013,Number,Both sexes,31,16274
2013,Number,Both sexes,32,16078
2013,Number,Both sexes,33,16134
2013,Number,Both sexes,34,15937
2013,Number,Both sexes,35,16090
2013,Number,Both sexes,36,16223
2013,Number,Both sexes,37,16713
2013,Number,Both sexes,38,16000
2013,Number,Both sexes,39,15562
2013,Number,Both sexes,40,15478
2013,Number,Both sexes,41,15702
2013,Number,Both sexes,42,15096
2013,Number,Both sexes,43,14324
2013,Number,Both sexes,44,15083
2013,Number,Both sexes,45,15473
2013,Number,Both sexes,46,16484
2013,Number,Both sexes,47,16760
2013,Number,Both sexes,48,17206
2013,Number,Both sexes,49,16887
2013,Number,Both sexes,50,17318
2013,Number,Both sexes,51,18447
2013,Number,Both sexes,52,18388
2013,Number,Both sexes,53,18473
2013,Number,Both sexes,54,19374
2013,Number,Both sexes,55,18079
2013,Number,Both sexes,56,17697
2013,Number,Both sexes,57,18915
2013,Number,Both sexes,58,19477
2013,Number,Both sexes,59,19290
2013,Number,Both sexes,60,19555
2013,Number,Both sexes,61,18341
2013,Number,Both sexes,62,16472
2013,Number,Both sexes,63,16560
2013,Number,Both sexes,64,16276
2013,Number,Both sexes,65,14108
2013,Number,Both sexes,66,14936
2013,Number,Both sexes,67,11677
2013,Number,Both sexes,68,9659
2013,Number,Both sexes,69,9693
2013,Number,Both sexes,70,9614
2013,Number,Both sexes,71,10112
2013,Number,Both sexes,72,11718
2013,Number,Both sexes,73,12226
2013,Number,Both sexes,74,11478
2013,Number,Both sexes,75,11208
2013,Number,Both sexes,76,10446
2013,Number,Both sexes,77,9853
2013,Number,Both sexes,78,8546
2013,Number,Both sexes,79,7984
2013,Number,Both sexes,80,6632
2013,Number,Both sexes,81,5944
2013,Number,Both sexes,82,4871
2013,Number,Both sexes,83,4589
