Year,UNIT_MEASURE,Administrative area,Sex,Education,Value
2013,Number,East Novo Sarajevo,F,No education,166
2013,Number,Jezero,Both sexes,No education,79
2013,Number,Jezero,M,No education,14
2013,Number,Jezero,F,No education,65
2013,Number,Kalinovik,Both sexes,No education,158
2013,Number,Kalinovik,M,No education,11
2013,Number,Kalinovik,F,No education,147
2013,Number,Knezevo,Both sexes,No education,1390
2013,Number,Knezevo,M,No education,311
2013,Number,Knezevo,F,No education,1079
2013,Number,Kozarska Dubica,Both sexes,No education,984
2013,Number,Kozarska Dubica,M,No education,154
2013,Number,Kozarska Dubica,F,No education,830
2013,Number,Kostajnica,Both sexes,No education,163
2013,Number,Kostajnica,M,No education,28
2013,Number,Kostajnica,F,No education,135
2013,Number,Kotor Varos,Both sexes,No education,1503
2013,Number,Kotor Varos,M,No education,282
2013,Number,Kotor Varos,F,No education,1221
2013,Number,Krupa Na Uni,Both sexes,No education,157
2013,Number,Krupa Na Uni,M,No education,19
2013,Number,Krupa Na Uni,F,No education,138
2013,Number,Kupres,Both sexes,No education,103
2013,Number,Kupres,M,No education,33
2013,Number,Kupres,F,No education,70
2013,Number,Laktasi,Both sexes,No education,1363
2013,Number,Laktasi,M,No education,229
2013,Number,Laktasi,F,No education,1134
2013,Number,Lopare,Both sexes,No education,1235
2013,Number,Lopare,M,No education,243
2013,Number,Lopare,F,No education,992
2013,Number,Ljubinje,Both sexes,No education,110
2013,Number,Ljubinje,M,No education,12
2013,Number,Ljubinje,F,No education,98
2013,Number,Milici,Both sexes,No education,643
2013,Number,Milici,M,No education,96
2013,Number,Milici,F,No education,547
2013,Number,Modrica,Both sexes,No education,1278
2013,Number,Modrica,M,No education,241
2013,Number,Modrica,F,No education,1037
2013,Number,Mrkonjic Grad,Both sexes,No education,1462
2013,Number,Mrkonjic Grad,M,No education,213
2013,Number,Mrkonjic Grad,F,No education,1249
2013,Number,Nevesinje,Both sexes,No education,545
2013,Number,Nevesinje,M,No education,56
2013,Number,Nevesinje,F,No education,489
2013,Number,Novi Grad,Both sexes,No education,1036
2013,Number,Novi Grad,M,No education,171
2013,Number,Novi Grad,F,No education,865
2013,Number,Novo Gorazde,Both sexes,No education,127
2013,Number,Novo Gorazde,M,No education,21
2013,Number,Novo Gorazde,F,No education,106
2013,Number,Osmaci,Both sexes,No education,397
2013,Number,Osmaci,M,No education,62
2013,Number,Osmaci,F,No education,335
2013,Number,Ostra Luka,Both sexes,No education,247
2013,Number,Ostra Luka,M,No education,43
2013,Number,Ostra Luka,F,No education,204
2013,Number,Pale,Both sexes,No education,606
2013,Number,Pale,M,No education,80
2013,Number,Pale,F,No education,526
2013,Number,Pelagicevo,Both sexes,No education,290
2013,Number,Pelagicevo,M,No education,46
2013,Number,Pelagicevo,F,No education,244
2013,Number,Petrovac,Both sexes,No education,11
2013,Number,Petrovac,M,No education,0
2013,Number,Petrovac,F,No education,11
2013,Number,Petrovo,Both sexes,No education,403
2013,Number,Petrovo,M,No education,48
2013,Number,Petrovo,F,No education,355
2013,Number,City of Prijedor,Both sexes,No education,3918
2013,Number,City of Prijedor,M,No education,760
2013,Number,City of Prijedor,F,No education,3158
2013,Number,Prnjavor,Both sexes,No education,2654
2013,Number,Prnjavor,M,No education,391
2013,Number,Prnjavor,F,No education,2263
2013,Number,Ribnik,Both sexes,No education,680
2013,Number,Ribnik,M,No education,118
2013,Number,Ribnik,F,No education,562
2013,Number,Rogatica,Both sexes,No education,633
2013,Number,Rogatica,M,No education,89
2013,Number,Rogatica,F,No education,544
2013,Number,Rudo,Both sexes,No education,279
2013,Number,Rudo,M,No education,38
2013,Number,Rudo,F,No education,241
2013,Number,Sokolac,Both sexes,No education,392
2013,Number,Sokolac,M,No education,52
2013,Number,Sokolac,F,No education,340
2013,Number,Srbac,Both sexes,No education,1115
2013,Number,Srbac,M,No education,235
2013,Number,Srbac,F,No education,880
2013,Number,Srebrenica,Both sexes,No education,852
2013,Number,Srebrenica,M,No education,105
2013,Number,Srebrenica,F,No education,747
2013,Number,Teslic,Both sexes,No education,3299
2013,Number,Teslic,M,No education,471
2013,Number,Teslic,F,No education,2828
2013,Number,City of Trebinje,Both sexes,No education,382
2013,Number,City of Trebinje,M,No education,44
2013,Number,City of Trebinje,F,No education,338
2013,Number,Trnovo,Both sexes,No education,143
2013,Number,Trnovo,M,No education,14
2013,Number,Trnovo,F,No education,129
2013,Number,Ugljevik,Both sexes,No education,856
2013,Number,Ugljevik,M,No education,135
2013,Number,Ugljevik,F,No education,721
2013,Number,Foca,Both sexes,No education,775
2013,Number,Foca,M,No education,92
2013,Number,Foca,F,No education,683
2013,Number,Han Pijesak,Both sexes,No education,198
2013,Number,Han Pijesak,M,No education,22
2013,Number,Han Pijesak,F,No education,176
2013,Number,Cajnice,Both sexes,No education,224
2013,Number,Cajnice,M,No education,31
2013,Number,Cajnice,F,No education,193
2013,Number,Celinac,Both sexes,No education,832
2013,Number,Celinac,M,No education,109
2013,Number,Celinac,F,No education,723
2013,Number,Samac,Both sexes,No education,627
2013,Number,Samac,M,No education,90
2013,Number,Samac,F,No education,537
2013,Number,Sekovici,Both sexes,No education,655
2013,Number,Sekovici,M,No education,120
2013,Number,Sekovici,F,No education,535
2013,Number,Sipovo,Both sexes,No education,732
2013,Number,Sipovo,M,No education,120
2013,Number,Sipovo,F,No education,612
2013,Number,Republika Srpska,Both sexes,Incomplete primary school,97022
2013,Number,Republika Srpska,M,Incomplete primary school,33465
2013,Number,Republika Srpska,F,Incomplete primary school,63557
2013,Number,City of Banja Luka,Both sexes,Incomplete primary school,6483
2013,Number,City of Banja Luka,M,Incomplete primary school,2117
2013,Number,City of Banja Luka,F,Incomplete primary school,4366
2013,Number,Berkovici,Both sexes,Incomplete primary school,229
2013,Number,Berkovici,M,Incomplete primary school,74
2013,Number,Berkovici,F,Incomplete primary school,155
2013,Number,City of Bijeljina,Both sexes,Incomplete primary school,10740
2013,Number,City of Bijeljina,M,Incomplete primary school,3999
2013,Number,City of Bijeljina,F,Incomplete primary school,6741
2013,Number,Bileca,Both sexes,Incomplete primary school,747
2013,Number,Bileca,M,Incomplete primary school,187
2013,Number,Bileca,F,Incomplete primary school,560
2013,Number,Bratunac,Both sexes,Incomplete primary school,1364
2013,Number,Bratunac,M,Incomplete primary school,395
2013,Number,Bratunac,F,Incomplete primary school,969
2013,Number,Brod,Both sexes,Incomplete primary school,1241
2013,Number,Brod,M,Incomplete primary school,328
2013,Number,Brod,F,Incomplete primary school,913
2013,Number,Visegrad,Both sexes,Incomplete primary school,783
2013,Number,Visegrad,M,Incomplete primary school,203
2013,Number,Visegrad,F,Incomplete primary school,580
2013,Number,Vlasenica,Both sexes,Incomplete primary school,758
2013,Number,Vlasenica,M,Incomplete primary school,243
2013,Number,Vlasenica,F,Incomplete primary school,515
2013,Number,Vukosavlje,Both sexes,Incomplete primary school,719
2013,Number,Vukosavlje,M,Incomplete primary school,300
2013,Number,Vukosavlje,F,Incomplete primary school,419
2013,Number,Gacko,Both sexes,Incomplete primary school,496
2013,Number,Gacko,M,Incomplete primary school,135
2013,Number,Gacko,F,Incomplete primary school,361
2013,Number,City of Gradiska,Both sexes,Incomplete primary school,4821
2013,Number,City of Gradiska,M,Incomplete primary school,1832
2013,Number,City of Gradiska,F,Incomplete primary school,2989
2013,Number,City of Derventa,Both sexes,Incomplete primary school,2759
2013,Number,City of Derventa,M,Incomplete primary school,1030
2013,Number,City of Derventa,F,Incomplete primary school,1729
2013,Number,City of Doboj,Both sexes,Incomplete primary school,6019
2013,Number,City of Doboj,M,Incomplete primary school,1823
2013,Number,City of Doboj,F,Incomplete primary school,4196
2013,Number,Donji Zabar,Both sexes,Incomplete primary school,707
2013,Number,Donji Zabar,M,Incomplete primary school,304
2013,Number,Donji Zabar,F,Incomplete primary school,403
2013,Number,City of Zvornik,Both sexes,Incomplete primary school,4702
2013,Number,City of Zvornik,M,Incomplete primary school,1472
2013,Number,City of Zvornik,F,Incomplete primary school,3230
2013,Number,East Ilidza,Both sexes,Incomplete primary school,550
2013,Number,East Ilidza,M,Incomplete primary school,65
2013,Number,East Ilidza,F,Incomplete primary school,485
2013,Number,East Drvar,Both sexes,Incomplete primary school,6
2013,Number,East Drvar,M,Incomplete primary school,4
2013,Number,East Drvar,F,Incomplete primary school,2
2013,Number,East Mostar,Both sexes,Incomplete primary school,41
2013,Number,East Mostar,M,Incomplete primary school,21
2013,Number,East Mostar,F,Incomplete primary school,20
2013,Number,East Stari Grad,Both sexes,Incomplete primary school,133
2013,Number,East Stari Grad,M,Incomplete primary school,29
2013,Number,East Stari Grad,F,Incomplete primary school,104
2013,Number,East Novo Sarajevo,Both sexes,Incomplete primary school,454
2013,Number,East Novo Sarajevo,M,Incomplete primary school,89
2013,Number,East Novo Sarajevo,F,Incomplete primary school,365
2013,Number,Jezero,Both sexes,Incomplete primary school,105
2013,Number,Jezero,M,Incomplete primary school,39
2013,Number,Jezero,F,Incomplete primary school,66
2013,Number,Kalinovik,Both sexes,Incomplete primary school,175
2013,Number,Kalinovik,M,Incomplete primary school,48
2013,Number,Kalinovik,F,Incomplete primary school,127
2013,Number,Knezevo,Both sexes,Incomplete primary school,752
2013,Number,Knezevo,M,Incomplete primary school,318
2013,Number,Knezevo,F,Incomplete primary school,434
2013,Number,Kozarska Dubica,Both sexes,Incomplete primary school,1894
2013,Number,Kozarska Dubica,M,Incomplete primary school,683
2013,Number,Kozarska Dubica,F,Incomplete primary school,1211
2013,Number,Kostajnica,Both sexes,Incomplete primary school,387
2013,Number,Kostajnica,M,Incomplete primary school,132
2013,Number,Kostajnica,F,Incomplete primary school,255
2013,Number,Kotor Varos,Both sexes,Incomplete primary school,1183
2013,Number,Kotor Varos,M,Incomplete primary school,391
2013,Number,Kotor Varos,F,Incomplete primary school,792
2013,Number,Krupa Na Uni,Both sexes,Incomplete primary school,316
2013,Number,Krupa Na Uni,M,Incomplete primary school,165
2013,Number,Krupa Na Uni,F,Incomplete primary school,151
2013,Number,Kupres,Both sexes,Incomplete primary school,19
2013,Number,Kupres,M,Incomplete primary school,9
2013,Number,Kupres,F,Incomplete primary school,10
2013,Number,Laktasi,Both sexes,Incomplete primary school,2504
2013,Number,Laktasi,M,Incomplete primary school,946
2013,Number,Laktasi,F,Incomplete primary school,1558
2013,Number,Lopare,Both sexes,Incomplete primary school,2118
2013,Number,Lopare,M,Incomplete primary school,943
2013,Number,Lopare,F,Incomplete primary school,1175
2013,Number,Ljubinje,Both sexes,Incomplete primary school,275
2013,Number,Ljubinje,M,Incomplete primary school,64
2013,Number,Ljubinje,F,Incomplete primary school,211
2013,Number,Milici,Both sexes,Incomplete primary school,729
2013,Number,Milici,M,Incomplete primary school,217
2013,Number,Milici,F,Incomplete primary school,512
2013,Number,Modrica,Both sexes,Incomplete primary school,2912
2013,Number,Modrica,M,Incomplete primary school,1049
2013,Number,Modrica,F,Incomplete primary school,1863
2013,Number,Mrkonjic Grad,Both sexes,Incomplete primary school,1769
2013,Number,Mrkonjic Grad,M,Incomplete primary school,777
2013,Number,Mrkonjic Grad,F,Incomplete primary school,992
2013,Number,Nevesinje,Both sexes,Incomplete primary school,1048
2013,Number,Nevesinje,M,Incomplete primary school,265
2013,Number,Nevesinje,F,Incomplete primary school,783
2013,Number,Novi Grad,Both sexes,Incomplete primary school,2172
2013,Number,Novi Grad,M,Incomplete primary school,757
2013,Number,Novi Grad,F,Incomplete primary school,1415
2013,Number,Novo Gorazde,Both sexes,Incomplete primary school,162
2013,Number,Novo Gorazde,M,Incomplete primary school,52
2013,Number,Novo Gorazde,F,Incomplete primary school,110
2013,Number,Osmaci,Both sexes,Incomplete primary school,552
2013,Number,Osmaci,M,Incomplete primary school,172
2013,Number,Osmaci,F,Incomplete primary school,380
2013,Number,Ostra Luka,Both sexes,Incomplete primary school,352
2013,Number,Ostra Luka,M,Incomplete primary school,154
2013,Number,Ostra Luka,F,Incomplete primary school,198
2013,Number,Pale,Both sexes,Incomplete primary school,986
2013,Number,Pale,M,Incomplete primary school,214
2013,Number,Pale,F,Incomplete primary school,772
2013,Number,Pelagicevo,Both sexes,Incomplete primary school,1081
2013,Number,Pelagicevo,M,Incomplete primary school,459
2013,Number,Pelagicevo,F,Incomplete primary school,622
2013,Number,Petrovac,Both sexes,Incomplete primary school,28
2013,Number,Petrovac,M,Incomplete primary school,4
2013,Number,Petrovac,F,Incomplete primary school,24
2013,Number,Petrovo,Both sexes,Incomplete primary school,733
2013,Number,Petrovo,M,Incomplete primary school,180
2013,Number,Petrovo,F,Incomplete primary school,553
2013,Number,City of Prijedor,Both sexes,Incomplete primary school,6219
2013,Number,City of Prijedor,M,Incomplete primary school,1948
2013,Number,City of Prijedor,F,Incomplete primary school,4271
2013,Number,Prnjavor,Both sexes,Incomplete primary school,4458
2013,Number,Prnjavor,M,Incomplete primary school,1948
2013,Number,Prnjavor,F,Incomplete primary school,2510
2013,Number,Ribnik,Both sexes,Incomplete primary school,641
2013,Number,Ribnik,M,Incomplete primary school,249
2013,Number,Ribnik,F,Incomplete primary school,392
2013,Number,Rogatica,Both sexes,Incomplete primary school,799
2013,Number,Rogatica,M,Incomplete primary school,239
2013,Number,Rogatica,F,Incomplete primary school,560
2013,Number,Rudo,Both sexes,Incomplete primary school,719
2013,Number,Rudo,M,Incomplete primary school,197
2013,Number,Rudo,F,Incomplete primary school,522
2013,Number,Sokolac,Both sexes,Incomplete primary school,747
2013,Number,Sokolac,M,Incomplete primary school,207
2013,Number,Sokolac,F,Incomplete primary school,540
2013,Number,Srbac,Both sexes,Incomplete primary school,2023
2013,Number,Srbac,M,Incomplete primary school,857
2013,Number,Srbac,F,Incomplete primary school,1166
2013,Number,Srebrenica,Both sexes,Incomplete primary school,1086
2013,Number,Srebrenica,M,Incomplete primary school,308
2013,Number,Srebrenica,F,Incomplete primary school,778
2013,Number,Teslic,Both sexes,Incomplete primary school,4433
2013,Number,Teslic,M,Incomplete primary school,1551
2013,Number,Teslic,F,Incomplete primary school,2882
2013,Number,City of Trebinje,Both sexes,Incomplete primary school,1156
2013,Number,City of Trebinje,M,Incomplete primary school,210
2013,Number,City of Trebinje,F,Incomplete primary school,946
2013,Number,Trnovo,Both sexes,Incomplete primary school,151
2013,Number,Trnovo,M,Incomplete primary school,36
2013,Number,Trnovo,F,Incomplete primary school,115
2013,Number,Ugljevik,Both sexes,Incomplete primary school,1829
2013,Number,Ugljevik,M,Incomplete primary school,734
2013,Number,Ugljevik,F,Incomplete primary school,1095
2013,Number,Foca,Both sexes,Incomplete primary school,1301
2013,Number,Foca,M,Incomplete primary school,346
2013,Number,Foca,F,Incomplete primary school,955
2013,Number,Han Pijesak,Both sexes,Incomplete primary school,258
2013,Number,Han Pijesak,M,Incomplete primary school,61
2013,Number,Han Pijesak,F,Incomplete primary school,197
2013,Number,Cajnice,Both sexes,Incomplete primary school,474
2013,Number,Cajnice,M,Incomplete primary school,149
2013,Number,Cajnice,F,Incomplete primary school,325
2013,Number,Celinac,Both sexes,Incomplete primary school,1317
2013,Number,Celinac,M,Incomplete primary school,474
2013,Number,Celinac,F,Incomplete primary school,843
2013,Number,Samac,Both sexes,Incomplete primary school,2046
2013,Number,Samac,M,Incomplete primary school,731
2013,Number,Samac,F,Incomplete primary school,1315
2013,Number,Sekovici,Both sexes,Incomplete primary school,453
2013,Number,Sekovici,M,Incomplete primary school,181
2013,Number,Sekovici,F,Incomplete primary school,272
2013,Number,Sipovo,Both sexes,Incomplete primary school,908
2013,Number,Sipovo,M,Incomplete primary school,351
2013,Number,Sipovo,F,Incomplete primary school,557
2013,Number,Republika Srpska,Both sexes,Primary school,212834
2013,Number,Republika Srpska,M,Primary school,95682
2013,Number,Republika Srpska,F,Primary school,117152
2013,Number,City of Banja Luka,Both sexes,Primary school,23011
2013,Number,City of Banja Luka,M,Primary school,9927
2013,Number,City of Banja Luka,F,Primary school,13084
2013,Number,Berkovici,Both sexes,Primary school,430
2013,Number,Berkovici,M,Primary school,221
2013,Number,Berkovici,F,Primary school,209
2013,Number,City of Bijeljina,Both sexes,Primary school,18771
2013,Number,City of Bijeljina,M,Primary school,8590
2013,Number,City of Bijeljina,F,Primary school,10181
2013,Number,Bileca,Both sexes,Primary school,1951
2013,Number,Bileca,M,Primary school,867
2013,Number,Bileca,F,Primary school,1084
2013,Number,Bratunac,Both sexes,Primary school,3893
2013,Number,Bratunac,M,Primary school,1769
2013,Number,Bratunac,F,Primary school,2124
2013,Number,Brod,Both sexes,Primary school,2986
2013,Number,Brod,M,Primary school,1248
2013,Number,Brod,F,Primary school,1738
2013,Number,Visegrad,Both sexes,Primary school,1626
2013,Number,Visegrad,M,Primary school,593
2013,Number,Visegrad,F,Primary school,1033
2013,Number,Vlasenica,Both sexes,Primary school,2268
2013,Number,Vlasenica,M,Primary school,993
2013,Number,Vlasenica,F,Primary school,1275
2013,Number,Vukosavlje,Both sexes,Primary school,999
2013,Number,Vukosavlje,M,Primary school,472
2013,Number,Vukosavlje,F,Primary school,527
2013,Number,Gacko,Both sexes,Primary school,1356
2013,Number,Gacko,M,Primary school,530
2013,Number,Gacko,F,Primary school,826
2013,Number,City of Gradiska,Both sexes,Primary school,9626
2013,Number,City of Gradiska,M,Primary school,4493
2013,Number,City of Gradiska,F,Primary school,5133
2013,Number,City of Derventa,Both sexes,Primary school,5260
2013,Number,City of Derventa,M,Primary school,2463
2013,Number,City of Derventa,F,Primary school,2797
2013,Number,City of Doboj,Both sexes,Primary school,13403
2013,Number,City of Doboj,M,Primary school,5750
2013,Number,City of Doboj,F,Primary school,7653
2013,Number,Donji Zabar,Both sexes,Primary school,815
2013,Number,Donji Zabar,M,Primary school,408
2013,Number,Donji Zabar,F,Primary school,407
2013,Number,City of Zvornik,Both sexes,Primary school,11440
2013,Number,City of Zvornik,M,Primary school,5163
2013,Number,City of Zvornik,F,Primary school,6277
2013,Number,East Ilidza,Both sexes,Primary school,1676
2013,Number,East Ilidza,M,Primary school,519
2013,Number,East Ilidza,F,Primary school,1157
2013,Number,East Drvar,Both sexes,Primary school,9
2013,Number,East Drvar,M,Primary school,2
2013,Number,East Drvar,F,Primary school,7
2013,Number,East Mostar,Both sexes,Primary school,38
2013,Number,East Mostar,M,Primary school,24
2013,Number,East Mostar,F,Primary school,14
2013,Number,East Stari Grad,Both sexes,Primary school,166
2013,Number,East Stari Grad,M,Primary school,75
2013,Number,East Stari Grad,F,Primary school,91
2013,Number,East Novo Sarajevo,Both sexes,Primary school,1087
2013,Number,East Novo Sarajevo,M,Primary school,356
2013,Number,East Novo Sarajevo,F,Primary school,731
2013,Number,Jezero,Both sexes,Primary school,236
2013,Number,Jezero,M,Primary school,109
2013,Number,Jezero,F,Primary school,127
2013,Number,Kalinovik,Both sexes,Primary school,334
2013,Number,Kalinovik,M,Primary school,122
2013,Number,Kalinovik,F,Primary school,212
2013,Number,Knezevo,Both sexes,Primary school,1918
2013,Number,Knezevo,M,Primary school,990
2013,Number,Knezevo,F,Primary school,928
2013,Number,Kozarska Dubica,Both sexes,Primary school,3921
2013,Number,Kozarska Dubica,M,Primary school,1839
2013,Number,Kozarska Dubica,F,Primary school,2082
2013,Number,Kostajnica,Both sexes,Primary school,1117
2013,Number,Kostajnica,M,Primary school,486
2013,Number,Kostajnica,F,Primary school,631
2013,Number,Kotor Varos,Both sexes,Primary school,3809
2013,Number,Kotor Varos,M,Primary school,1797
2013,Number,Kotor Varos,F,Primary school,2012
2013,Number,Krupa Na Uni,Both sexes,Primary school,524
2013,Number,Krupa Na Uni,M,Primary school,317
2013,Number,Krupa Na Uni,F,Primary school,207
2013,Number,Kupres,Both sexes,Primary school,53
2013,Number,Kupres,M,Primary school,33
2013,Number,Kupres,F,Primary school,20
2013,Number,Laktasi,Both sexes,Primary school,6602
2013,Number,Laktasi,M,Primary school,3078
2013,Number,Laktasi,F,Primary school,3524
2013,Number,Lopare,Both sexes,Primary school,3267
2013,Number,Lopare,M,Primary school,1670
2013,Number,Lopare,F,Primary school,1597
2013,Number,Ljubinje,Both sexes,Primary school,619
2013,Number,Ljubinje,M,Primary school,261
2013,Number,Ljubinje,F,Primary school,358
2013,Number,Milici,Both sexes,Primary school,2387
2013,Number,Milici,M,Primary school,1038
2013,Number,Milici,F,Primary school,1349
2013,Number,Modrica,Both sexes,Primary school,5255
2013,Number,Modrica,M,Primary school,2469
2013,Number,Modrica,F,Primary school,2786
2013,Number,Mrkonjic Grad,Both sexes,Primary school,2720
2013,Number,Mrkonjic Grad,M,Primary school,1373
2013,Number,Mrkonjic Grad,F,Primary school,1347
2013,Number,Nevesinje,Both sexes,Primary school,2193
2013,Number,Nevesinje,M,Primary school,961
2013,Number,Nevesinje,F,Primary school,1232
2013,Number,Novi Grad,Both sexes,Primary school,5660
2013,Number,Novi Grad,M,Primary school,2691
2013,Number,Novi Grad,F,Primary school,2969
2013,Number,Novo Gorazde,Both sexes,Primary school,612
2013,Number,Novo Gorazde,M,Primary school,229
2013,Number,Novo Gorazde,F,Primary school,383
2013,Number,Osmaci,Both sexes,Primary school,1146
2013,Number,Osmaci,M,Primary school,495
2013,Number,Osmaci,F,Primary school,651
2013,Number,Ostra Luka,Both sexes,Primary school,648
2013,Number,Ostra Luka,M,Primary school,348
2013,Number,Ostra Luka,F,Primary school,300
2013,Number,Pale,Both sexes,Primary school,2570
2013,Number,Pale,M,Primary school,935
2013,Number,Pale,F,Primary school,1635
2013,Number,Pelagicevo,Both sexes,Primary school,1081
2013,Number,Pelagicevo,M,Primary school,586
2013,Number,Pelagicevo,F,Primary school,495
2013,Number,Petrovac,Both sexes,Primary school,57
2013,Number,Petrovac,M,Primary school,23
2013,Number,Petrovac,F,Primary school,34
2013,Number,Petrovo,Both sexes,Primary school,1114
2013,Number,Petrovo,M,Primary school,464
2013,Number,Petrovo,F,Primary school,650
2013,Number,City of Prijedor,Both sexes,Primary school,15121
2013,Number,City of Prijedor,M,Primary school,6682
2013,Number,City of Prijedor,F,Primary school,8439
2013,Number,Prnjavor,Both sexes,Primary school,7504
2013,Number,Prnjavor,M,Primary school,3697
2013,Number,Prnjavor,F,Primary school,3807
2013,Number,Ribnik,Both sexes,Primary school,1275
2013,Number,Ribnik,M,Primary school,651
2013,Number,Ribnik,F,Primary school,624
2013,Number,Rogatica,Both sexes,Primary school,1761
2013,Number,Rogatica,M,Primary school,717
2013,Number,Rogatica,F,Primary school,1044
2013,Number,Rudo,Both sexes,Primary school,1332
2013,Number,Rudo,M,Primary school,514
2013,Number,Rudo,F,Primary school,818
2013,Number,Sokolac,Both sexes,Primary school,1790
2013,Number,Sokolac,M,Primary school,720
2013,Number,Sokolac,F,Primary school,1070
2013,Number,Srbac,Both sexes,Primary school,3740
2013,Number,Srbac,M,Primary school,1843
2013,Number,Srbac,F,Primary school,1897
2013,Number,Srebrenica,Both sexes,Primary school,2494
2013,Number,Srebrenica,M,Primary school,1115
2013,Number,Srebrenica,F,Primary school,1379
2013,Number,Teslic,Both sexes,Primary school,7412
2013,Number,Teslic,M,Primary school,3540
2013,Number,Teslic,F,Primary school,3872
2013,Number,City of Trebinje,Both sexes,Primary school,3757
2013,Number,City of Trebinje,M,Primary school,1267
2013,Number,City of Trebinje,F,Primary school,2490
2013,Number,Trnovo,Both sexes,Primary school,342
2013,Number,Trnovo,M,Primary school,106
2013,Number,Trnovo,F,Primary school,236
2013,Number,Ugljevik,Both sexes,Primary school,2942
2013,Number,Ugljevik,M,Primary school,1398
2013,Number,Ugljevik,F,Primary school,1544
2013,Number,Foca,Both sexes,Primary school,2975
2013,Number,Foca,M,Primary school,1305
2013,Number,Foca,F,Primary school,1670
2013,Number,Han Pijesak,Both sexes,Primary school,686
2013,Number,Han Pijesak,M,Primary school,275
2013,Number,Han Pijesak,F,Primary school,411
2013,Number,Cajnice,Both sexes,Primary school,981
2013,Number,Cajnice,M,Primary school,436
2013,Number,Cajnice,F,Primary school,545
2013,Number,Celinac,Both sexes,Primary school,3312
2013,Number,Celinac,M,Primary school,1626
2013,Number,Celinac,F,Primary school,1686
2013,Number,Samac,Both sexes,Primary school,3511
2013,Number,Samac,M,Primary school,1521
2013,Number,Samac,F,Primary school,1990
2013,Number,Sekovici,Both sexes,Primary school,1397
2013,Number,Sekovici,M,Primary school,610
2013,Number,Sekovici,F,Primary school,787
2013,Number,Sipovo,Both sexes,Primary school,1848
2013,Number,Sipovo,M,Primary school,882
2013,Number,Sipovo,F,Primary school,966
2013,Number,Republika Srpska,Both sexes,Secondary school,508414
2013,Number,Republika Srpska,M,Secondary school,280747
2013,Number,Republika Srpska,F,Secondary school,227667
2013,Number,City of Banja Luka,Both sexes,Secondary school,83044
2013,Number,City of Banja Luka,M,Secondary school,42327
2013,Number,City of Banja Luka,F,Secondary school,40717
2013,Number,Berkovici,Both sexes,Secondary school,771
2013,Number,Berkovici,M,Secondary school,446
2013,Number,Berkovici,F,Secondary school,325
2013,Number,City of Bijeljina,Both sexes,Secondary school,43231
2013,Number,City of Bijeljina,M,Secondary school,23560
