Year,UNIT_MEASURE,Sex,Value
2016,Number,Total,8179
2016,Number,M,2431
2016,Number,F,5748
2017,Number,Total,8194
2017,Number,M,2383
2017,Number,F,5811
2018,Number,Total,8217
2018,Number,M,2344
2018,Number,F,5873
2019,Number,Total,8212
2019,Number,M,2303
2019,Number,F,5909
2020,Number,Total,8199
2020,Number,M,2256
2020,Number,F,5943
2021,Number,Total,8177
2021,Number,M,2207
2021,Number,F,5970
2022,Number,Total,7724
2022,Number,M,2114
2022,Number,F,5610
2023,Number,Total,7878
2023,Number,M,2119
2023,Number,F,5759
