Year,UNIT_MEASURE,Administrative area,Sex,Ethnicity/nationality,Value
2013,Number,Jezero,F,Serb,369
2013,Number,Kalinovik,Total,Serb,1895
2013,Number,Kalinovik,M,Serb,920
2013,Number,Kalinovik,F,Serb,975
2013,Number,Knezevo,Total,Serb,8886
2013,Number,Knezevo,M,Serb,4414
2013,Number,Knezevo,F,Serb,4472
2013,Number,Kozarska Dubica,Total,Serb,18144
2013,Number,Kozarska Dubica,M,Serb,8939
2013,Number,Kozarska Dubica,F,Serb,9205
2013,Number,Kostajnica,Total,Serb,4177
2013,Number,Kostajnica,M,Serb,2077
2013,Number,Kostajnica,F,Serb,2100
2013,Number,Kotor Varos,Total,Serb,12730
2013,Number,Kotor Varos,M,Serb,6305
2013,Number,Kotor Varos,F,Serb,6425
2013,Number,Krupa Na Uni,Total,Serb,1555
2013,Number,Krupa Na Uni,M,Serb,840
2013,Number,Krupa Na Uni,F,Serb,715
2013,Number,Kupres,Total,Serb,292
2013,Number,Kupres,M,Serb,156
2013,Number,Kupres,F,Serb,136
2013,Number,Laktasi,Total,Serb,32761
2013,Number,Laktasi,M,Serb,16275
2013,Number,Laktasi,F,Serb,16486
2013,Number,Lopare,Total,Serb,13267
2013,Number,Lopare,M,Serb,6695
2013,Number,Lopare,F,Serb,6572
2013,Number,Ljubinje,Total,Serb,3280
2013,Number,Ljubinje,M,Serb,1615
2013,Number,Ljubinje,F,Serb,1665
2013,Number,Milici,Total,Serb,6857
2013,Number,Milici,M,Serb,3486
2013,Number,Milici,F,Serb,3371
2013,Number,Modrica,Total,Serb,19530
2013,Number,Modrica,M,Serb,9611
2013,Number,Modrica,F,Serb,9919
2013,Number,Mrkonjic Grad,Total,Serb,15340
2013,Number,Mrkonjic Grad,M,Serb,7388
2013,Number,Mrkonjic Grad,F,Serb,7952
2013,Number,Nevesinje,Total,Serb,11964
2013,Number,Nevesinje,M,Serb,5951
2013,Number,Nevesinje,F,Serb,6013
2013,Number,Novi Grad,Total,Serb,19491
2013,Number,Novi Grad,M,Serb,9747
2013,Number,Novi Grad,F,Serb,9744
2013,Number,Novo Gorazde,Total,Serb,1561
2013,Number,Novo Gorazde,M,Serb,821
2013,Number,Novo Gorazde,F,Serb,740
2013,Number,Osmaci,Total,Serb,2852
2013,Number,Osmaci,M,Serb,1450
2013,Number,Osmaci,F,Serb,1402
2013,Number,Ostra Luka,Total,Serb,2510
2013,Number,Ostra Luka,M,Serb,1296
2013,Number,Ostra Luka,F,Serb,1214
2013,Number,Pale,Total,Serb,19932
2013,Number,Pale,M,Serb,9561
2013,Number,Pale,F,Serb,10371
2013,Number,Pelagicevo,Total,Serb,3146
2013,Number,Pelagicevo,M,Serb,1563
2013,Number,Pelagicevo,F,Serb,1583
2013,Number,Petrovac,Total,Serb,351
2013,Number,Petrovac,M,Serb,168
2013,Number,Petrovac,F,Serb,183
2013,Number,Petrovo,Total,Serb,6222
2013,Number,Petrovo,M,Serb,3002
2013,Number,Petrovo,F,Serb,3220
2013,Number,City of Prijedor,Total,Serb,54365
2013,Number,City of Prijedor,M,Serb,26834
2013,Number,City of Prijedor,F,Serb,27531
2013,Number,Prnjavor,Total,Serb,29478
2013,Number,Prnjavor,M,Serb,14352
2013,Number,Prnjavor,F,Serb,15126
2013,Number,Ribnik,Total,Serb,5825
2013,Number,Ribnik,M,Serb,2891
2013,Number,Ribnik,F,Serb,2934
2013,Number,Rogatica,Total,Serb,9217
2013,Number,Rogatica,M,Serb,4502
2013,Number,Rogatica,F,Serb,4715
2013,Number,Rudo,Total,Serb,6963
2013,Number,Rudo,M,Serb,3517
2013,Number,Rudo,F,Serb,3446
2013,Number,Sokolac,Total,Serb,10894
2013,Number,Sokolac,M,Serb,5357
2013,Number,Sokolac,F,Serb,5537
2013,Number,Srbac,Total,Serb,16013
2013,Number,Srbac,M,Serb,7888
2013,Number,Srbac,F,Serb,8125
2013,Number,Srebrenica,Total,Serb,5467
2013,Number,Srebrenica,M,Serb,2743
2013,Number,Srebrenica,F,Serb,2724
2013,Number,Teslic,Total,Serb,28166
2013,Number,Teslic,M,Serb,13545
2013,Number,Teslic,F,Serb,14621
2013,Number,City of Trebinje,Total,Serb,26484
2013,Number,City of Trebinje,M,Serb,12943
2013,Number,City of Trebinje,F,Serb,13541
2013,Number,Trnovo,Total,Serb,1131
2013,Number,Trnovo,M,Serb,534
2013,Number,Trnovo,F,Serb,597
2013,Number,Ugljevik,Total,Serb,13007
2013,Number,Ugljevik,M,Serb,6606
2013,Number,Ugljevik,F,Serb,6401
2013,Number,Foca,Total,Serb,16157
2013,Number,Foca,M,Serb,8133
2013,Number,Foca,F,Serb,8024
2013,Number,Han Pijesak,Total,Serb,2994
2013,Number,Han Pijesak,M,Serb,1412
2013,Number,Han Pijesak,F,Serb,1582
2013,Number,Cajnice,Total,Serb,3806
2013,Number,Cajnice,M,Serb,1891
2013,Number,Cajnice,F,Serb,1915
2013,Number,Celinac,Total,Serb,14508
2013,Number,Celinac,M,Serb,7194
2013,Number,Celinac,F,Serb,7314
2013,Number,Samac,Total,Serb,12832
2013,Number,Samac,M,Serb,6277
2013,Number,Samac,F,Serb,6555
2013,Number,Sekovici,Total,Serb,6187
2013,Number,Sekovici,M,Serb,3038
2013,Number,Sekovici,F,Serb,3149
2013,Number,Sipovo,Total,Serb,9302
2013,Number,Sipovo,M,Serb,4716
2013,Number,Sipovo,F,Serb,4586
2013,Number,Republika Srpska,Total,Other ethnicity/nationality,14641
2013,Number,Republika Srpska,M,Other ethnicity/nationality,7207
2013,Number,Republika Srpska,F,Other ethnicity/nationality,7434
2013,Number,City of Banja Luka,Total,Other ethnicity/nationality,3324
2013,Number,City of Banja Luka,M,Other ethnicity/nationality,1617
2013,Number,City of Banja Luka,F,Other ethnicity/nationality,1707
2013,Number,Berkovici,Total,Other ethnicity/nationality,1
2013,Number,Berkovici,M,Other ethnicity/nationality,1
2013,Number,Berkovici,F,Other ethnicity/nationality,0
2013,Number,City of Bijeljina,Total,Other ethnicity/nationality,1478
2013,Number,City of Bijeljina,M,Other ethnicity/nationality,717
2013,Number,City of Bijeljina,F,Other ethnicity/nationality,761
2013,Number,Bileca,Total,Other ethnicity/nationality,72
2013,Number,Bileca,M,Other ethnicity/nationality,38
2013,Number,Bileca,F,Other ethnicity/nationality,34
2013,Number,Bratunac,Total,Other ethnicity/nationality,79
2013,Number,Bratunac,M,Other ethnicity/nationality,45
2013,Number,Bratunac,F,Other ethnicity/nationality,34
2013,Number,Brod,Total,Other ethnicity/nationality,151
2013,Number,Brod,M,Other ethnicity/nationality,69
2013,Number,Brod,F,Other ethnicity/nationality,82
2013,Number,Visegrad,Total,Other ethnicity/nationality,53
2013,Number,Visegrad,M,Other ethnicity/nationality,26
2013,Number,Visegrad,F,Other ethnicity/nationality,27
2013,Number,Vlasenica,Total,Other ethnicity/nationality,29
2013,Number,Vlasenica,M,Other ethnicity/nationality,13
2013,Number,Vlasenica,F,Other ethnicity/nationality,16
2013,Number,Vukosavlje,Total,Other ethnicity/nationality,146
2013,Number,Vukosavlje,M,Other ethnicity/nationality,81
2013,Number,Vukosavlje,F,Other ethnicity/nationality,65
2013,Number,Gacko,Total,Other ethnicity/nationality,40
2013,Number,Gacko,M,Other ethnicity/nationality,27
2013,Number,Gacko,F,Other ethnicity/nationality,13
2013,Number,City of Gradiska,Total,Other ethnicity/nationality,970
2013,Number,City of Gradiska,M,Other ethnicity/nationality,468
2013,Number,City of Gradiska,F,Other ethnicity/nationality,502
2013,Number,City of Derventa,Total,Other ethnicity/nationality,264
2013,Number,City of Derventa,M,Other ethnicity/nationality,116
2013,Number,City of Derventa,F,Other ethnicity/nationality,148
2013,Number,City of Doboj,Total,Other ethnicity/nationality,949
2013,Number,City of Doboj,M,Other ethnicity/nationality,486
2013,Number,City of Doboj,F,Other ethnicity/nationality,463
2013,Number,Donji Zabar,Total,Other ethnicity/nationality,9
2013,Number,Donji Zabar,M,Other ethnicity/nationality,1
2013,Number,Donji Zabar,F,Other ethnicity/nationality,8
2013,Number,City of Zvornik,Total,Other ethnicity/nationality,120
2013,Number,City of Zvornik,M,Other ethnicity/nationality,55
2013,Number,City of Zvornik,F,Other ethnicity/nationality,65
2013,Number,East Ilidza,Total,Other ethnicity/nationality,96
2013,Number,East Ilidza,M,Other ethnicity/nationality,44
2013,Number,East Ilidza,F,Other ethnicity/nationality,52
2013,Number,East Drvar,Total,Other ethnicity/nationality,0
2013,Number,East Drvar,M,Other ethnicity/nationality,0
2013,Number,East Drvar,F,Other ethnicity/nationality,0
2013,Number,East Mostar,Total,Other ethnicity/nationality,0
2013,Number,East Mostar,M,Other ethnicity/nationality,0
2013,Number,East Mostar,F,Other ethnicity/nationality,0
2013,Number,East Stari Grad,Total,Other ethnicity/nationality,7
2013,Number,East Stari Grad,M,Other ethnicity/nationality,5
2013,Number,East Stari Grad,F,Other ethnicity/nationality,2
2013,Number,East Novo Sarajevo,Total,Other ethnicity/nationality,163
2013,Number,East Novo Sarajevo,M,Other ethnicity/nationality,72
2013,Number,East Novo Sarajevo,F,Other ethnicity/nationality,91
2013,Number,Jezero,Total,Other ethnicity/nationality,1
2013,Number,Jezero,M,Other ethnicity/nationality,1
2013,Number,Jezero,F,Other ethnicity/nationality,0
2013,Number,Kalinovik,Total,Other ethnicity/nationality,15
2013,Number,Kalinovik,M,Other ethnicity/nationality,8
2013,Number,Kalinovik,F,Other ethnicity/nationality,7
2013,Number,Knezevo,Total,Other ethnicity/nationality,37
2013,Number,Knezevo,M,Other ethnicity/nationality,21
2013,Number,Knezevo,F,Other ethnicity/nationality,16
2013,Number,Kozarska Dubica,Total,Other ethnicity/nationality,219
2013,Number,Kozarska Dubica,M,Other ethnicity/nationality,102
2013,Number,Kozarska Dubica,F,Other ethnicity/nationality,117
2013,Number,Kostajnica,Total,Other ethnicity/nationality,42
2013,Number,Kostajnica,M,Other ethnicity/nationality,20
2013,Number,Kostajnica,F,Other ethnicity/nationality,22
2013,Number,Kotor Varos,Total,Other ethnicity/nationality,129
2013,Number,Kotor Varos,M,Other ethnicity/nationality,63
2013,Number,Kotor Varos,F,Other ethnicity/nationality,66
2013,Number,Krupa Na Uni,Total,Other ethnicity/nationality,0
2013,Number,Krupa Na Uni,M,Other ethnicity/nationality,0
2013,Number,Krupa Na Uni,F,Other ethnicity/nationality,0
2013,Number,Kupres,Total,Other ethnicity/nationality,0
2013,Number,Kupres,M,Other ethnicity/nationality,0
2013,Number,Kupres,F,Other ethnicity/nationality,0
2013,Number,Laktasi,Total,Other ethnicity/nationality,562
2013,Number,Laktasi,M,Other ethnicity/nationality,285
2013,Number,Laktasi,F,Other ethnicity/nationality,277
2013,Number,Lopare,Total,Other ethnicity/nationality,31
2013,Number,Lopare,M,Other ethnicity/nationality,16
2013,Number,Lopare,F,Other ethnicity/nationality,15
2013,Number,Ljubinje,Total,Other ethnicity/nationality,13
2013,Number,Ljubinje,M,Other ethnicity/nationality,7
2013,Number,Ljubinje,F,Other ethnicity/nationality,6
2013,Number,Milici,Total,Other ethnicity/nationality,19
2013,Number,Milici,M,Other ethnicity/nationality,7
2013,Number,Milici,F,Other ethnicity/nationality,12
2013,Number,Modrica,Total,Other ethnicity/nationality,412
2013,Number,Modrica,M,Other ethnicity/nationality,207
2013,Number,Modrica,F,Other ethnicity/nationality,205
2013,Number,Mrkonjic Grad,Total,Other ethnicity/nationality,37
2013,Number,Mrkonjic Grad,M,Other ethnicity/nationality,17
2013,Number,Mrkonjic Grad,F,Other ethnicity/nationality,20
2013,Number,Nevesinje,Total,Other ethnicity/nationality,18
2013,Number,Nevesinje,M,Other ethnicity/nationality,5
2013,Number,Nevesinje,F,Other ethnicity/nationality,13
2013,Number,Novi Grad,Total,Other ethnicity/nationality,200
2013,Number,Novi Grad,M,Other ethnicity/nationality,100
2013,Number,Novi Grad,F,Other ethnicity/nationality,100
2013,Number,Novo Gorazde,Total,Other ethnicity/nationality,22
2013,Number,Novo Gorazde,M,Other ethnicity/nationality,11
2013,Number,Novo Gorazde,F,Other ethnicity/nationality,11
2013,Number,Osmaci,Total,Other ethnicity/nationality,5
2013,Number,Osmaci,M,Other ethnicity/nationality,2
2013,Number,Osmaci,F,Other ethnicity/nationality,3
2013,Number,Ostra Luka,Total,Other ethnicity/nationality,8
2013,Number,Ostra Luka,M,Other ethnicity/nationality,3
2013,Number,Ostra Luka,F,Other ethnicity/nationality,5
2013,Number,Pale,Total,Other ethnicity/nationality,70
2013,Number,Pale,M,Other ethnicity/nationality,31
2013,Number,Pale,F,Other ethnicity/nationality,39
2013,Number,Pelagicevo,Total,Other ethnicity/nationality,9
2013,Number,Pelagicevo,M,Other ethnicity/nationality,4
2013,Number,Pelagicevo,F,Other ethnicity/nationality,5
2013,Number,Petrovac,Total,Other ethnicity/nationality,3
2013,Number,Petrovac,M,Other ethnicity/nationality,1
2013,Number,Petrovac,F,Other ethnicity/nationality,2
2013,Number,Petrovo,Total,Other ethnicity/nationality,30
2013,Number,Petrovo,M,Other ethnicity/nationality,19
2013,Number,Petrovo,F,Other ethnicity/nationality,11
2013,Number,City of Prijedor,Total,Other ethnicity/nationality,1495
2013,Number,City of Prijedor,M,Other ethnicity/nationality,712
2013,Number,City of Prijedor,F,Other ethnicity/nationality,783
2013,Number,Prnjavor,Total,Other ethnicity/nationality,1452
2013,Number,Prnjavor,M,Other ethnicity/nationality,738
2013,Number,Prnjavor,F,Other ethnicity/nationality,714
2013,Number,Ribnik,Total,Other ethnicity/nationality,11
2013,Number,Ribnik,M,Other ethnicity/nationality,3
2013,Number,Ribnik,F,Other ethnicity/nationality,8
2013,Number,Rogatica,Total,Other ethnicity/nationality,41
2013,Number,Rogatica,M,Other ethnicity/nationality,20
2013,Number,Rogatica,F,Other ethnicity/nationality,21
2013,Number,Rudo,Total,Other ethnicity/nationality,26
2013,Number,Rudo,M,Other ethnicity/nationality,14
2013,Number,Rudo,F,Other ethnicity/nationality,12
2013,Number,Sokolac,Total,Other ethnicity/nationality,38
2013,Number,Sokolac,M,Other ethnicity/nationality,19
2013,Number,Sokolac,F,Other ethnicity/nationality,19
2013,Number,Srbac,Total,Other ethnicity/nationality,280
2013,Number,Srbac,M,Other ethnicity/nationality,146
2013,Number,Srbac,F,Other ethnicity/nationality,134
2013,Number,Srebrenica,Total,Other ethnicity/nationality,59
2013,Number,Srebrenica,M,Other ethnicity/nationality,34
2013,Number,Srebrenica,F,Other ethnicity/nationality,25
2013,Number,Teslic,Total,Other ethnicity/nationality,454
2013,Number,Teslic,M,Other ethnicity/nationality,222
2013,Number,Teslic,F,Other ethnicity/nationality,232
2013,Number,City of Trebinje,Total,Other ethnicity/nationality,398
2013,Number,City of Trebinje,M,Other ethnicity/nationality,204
2013,Number,City of Trebinje,F,Other ethnicity/nationality,194
2013,Number,Trnovo,Total,Other ethnicity/nationality,10
2013,Number,Trnovo,M,Other ethnicity/nationality,7
2013,Number,Trnovo,F,Other ethnicity/nationality,3
2013,Number,Ugljevik,Total,Other ethnicity/nationality,36
2013,Number,Ugljevik,M,Other ethnicity/nationality,17
2013,Number,Ugljevik,F,Other ethnicity/nationality,19
2013,Number,Foca,Total,Other ethnicity/nationality,160
2013,Number,Foca,M,Other ethnicity/nationality,90
2013,Number,Foca,F,Other ethnicity/nationality,70
2013,Number,Han Pijesak,Total,Other ethnicity/nationality,21
2013,Number,Han Pijesak,M,Other ethnicity/nationality,14
2013,Number,Han Pijesak,F,Other ethnicity/nationality,7
2013,Number,Cajnice,Total,Other ethnicity/nationality,24
2013,Number,Cajnice,M,Other ethnicity/nationality,13
2013,Number,Cajnice,F,Other ethnicity/nationality,11
2013,Number,Celinac,Total,Other ethnicity/nationality,122
2013,Number,Celinac,M,Other ethnicity/nationality,55
2013,Number,Celinac,F,Other ethnicity/nationality,67
2013,Number,Samac,Total,Other ethnicity/nationality,135
2013,Number,Samac,M,Other ethnicity/nationality,67
2013,Number,Samac,F,Other ethnicity/nationality,68
2013,Number,Sekovici,Total,Other ethnicity/nationality,12
2013,Number,Sekovici,M,Other ethnicity/nationality,7
2013,Number,Sekovici,F,Other ethnicity/nationality,5
2013,Number,Sipovo,Total,Other ethnicity/nationality,34
2013,Number,Sipovo,M,Other ethnicity/nationality,14
2013,Number,Sipovo,F,Other ethnicity/nationality,20
2013,Number,Republika Srpska,Total,Does not declare ethnicity/nationality,7861
2013,Number,Republika Srpska,M,Does not declare ethnicity/nationality,3202
2013,Number,Republika Srpska,F,Does not declare ethnicity/nationality,4659
2013,Number,City of Banja Luka,Total,Does not declare ethnicity/nationality,2641
2013,Number,City of Banja Luka,M,Does not declare ethnicity/nationality,1044
2013,Number,City of Banja Luka,F,Does not declare ethnicity/nationality,1597
2013,Number,Berkovici,Total,Does not declare ethnicity/nationality,0
2013,Number,Berkovici,M,Does not declare ethnicity/nationality,0
2013,Number,Berkovici,F,Does not declare ethnicity/nationality,0
2013,Number,City of Bijeljina,Total,Does not declare ethnicity/nationality,654
2013,Number,City of Bijeljina,M,Does not declare ethnicity/nationality,272
2013,Number,City of Bijeljina,F,Does not declare ethnicity/nationality,382
2013,Number,Bileca,Total,Does not declare ethnicity/nationality,30
2013,Number,Bileca,M,Does not declare ethnicity/nationality,10
2013,Number,Bileca,F,Does not declare ethnicity/nationality,20
2013,Number,Bratunac,Total,Does not declare ethnicity/nationality,22
2013,Number,Bratunac,M,Does not declare ethnicity/nationality,11
2013,Number,Bratunac,F,Does not declare ethnicity/nationality,11
2013,Number,Brod,Total,Does not declare ethnicity/nationality,142
2013,Number,Brod,M,Does not declare ethnicity/nationality,50
2013,Number,Brod,F,Does not declare ethnicity/nationality,92
2013,Number,Visegrad,Total,Does not declare ethnicity/nationality,19
2013,Number,Visegrad,M,Does not declare ethnicity/nationality,10
2013,Number,Visegrad,F,Does not declare ethnicity/nationality,9
2013,Number,Vlasenica,Total,Does not declare ethnicity/nationality,20
2013,Number,Vlasenica,M,Does not declare ethnicity/nationality,11
2013,Number,Vlasenica,F,Does not declare ethnicity/nationality,9
2013,Number,Vukosavlje,Total,Does not declare ethnicity/nationality,32
2013,Number,Vukosavlje,M,Does not declare ethnicity/nationality,15
2013,Number,Vukosavlje,F,Does not declare ethnicity/nationality,17
2013,Number,Gacko,Total,Does not declare ethnicity/nationality,3
2013,Number,Gacko,M,Does not declare ethnicity/nationality,0
2013,Number,Gacko,F,Does not declare ethnicity/nationality,3
2013,Number,City of Gradiska,Total,Does not declare ethnicity/nationality,411
2013,Number,City of Gradiska,M,Does not declare ethnicity/nationality,174
2013,Number,City of Gradiska,F,Does not declare ethnicity/nationality,237
2013,Number,City of Derventa,Total,Does not declare ethnicity/nationality,242
2013,Number,City of Derventa,M,Does not declare ethnicity/nationality,113
2013,Number,City of Derventa,F,Does not declare ethnicity/nationality,129
2013,Number,City of Doboj,Total,Does not declare ethnicity/nationality,467
2013,Number,City of Doboj,M,Does not declare ethnicity/nationality,198
2013,Number,City of Doboj,F,Does not declare ethnicity/nationality,269
2013,Number,Donji Zabar,Total,Does not declare ethnicity/nationality,5
2013,Number,Donji Zabar,M,Does not declare ethnicity/nationality,2
2013,Number,Donji Zabar,F,Does not declare ethnicity/nationality,3
2013,Number,City of Zvornik,Total,Does not declare ethnicity/nationality,70
2013,Number,City of Zvornik,M,Does not declare ethnicity/nationality,31
2013,Number,City of Zvornik,F,Does not declare ethnicity/nationality,39
2013,Number,East Ilidza,Total,Does not declare ethnicity/nationality,96
2013,Number,East Ilidza,M,Does not declare ethnicity/nationality,38
2013,Number,East Ilidza,F,Does not declare ethnicity/nationality,58
2013,Number,East Drvar,Total,Does not declare ethnicity/nationality,0
2013,Number,East Drvar,M,Does not declare ethnicity/nationality,0
2013,Number,East Drvar,F,Does not declare ethnicity/nationality,0
2013,Number,East Mostar,Total,Does not declare ethnicity/nationality,0
2013,Number,East Mostar,M,Does not declare ethnicity/nationality,0
2013,Number,East Mostar,F,Does not declare ethnicity/nationality,0
2013,Number,East Stari Grad,Total,Does not declare ethnicity/nationality,2
2013,Number,East Stari Grad,M,Does not declare ethnicity/nationality,0
2013,Number,East Stari Grad,F,Does not declare ethnicity/nationality,2
2013,Number,East Novo Sarajevo,Total,Does not declare ethnicity/nationality,61
2013,Number,East Novo Sarajevo,M,Does not declare ethnicity/nationality,26
2013,Number,East Novo Sarajevo,F,Does not declare ethnicity/nationality,35
2013,Number,Jezero,Total,Does not declare ethnicity/nationality,1
2013,Number,Jezero,M,Does not declare ethnicity/nationality,0
2013,Number,Jezero,F,Does not declare ethnicity/nationality,1
2013,Number,Kalinovik,Total,Does not declare ethnicity/nationality,1
2013,Number,Kalinovik,M,Does not declare ethnicity/nationality,1
2013,Number,Kalinovik,F,Does not declare ethnicity/nationality,0
2013,Number,Knezevo,Total,Does not declare ethnicity/nationality,4
2013,Number,Knezevo,M,Does not declare ethnicity/nationality,3
2013,Number,Knezevo,F,Does not declare ethnicity/nationality,1
2013,Number,Kozarska Dubica,Total,Does not declare ethnicity/nationality,162
2013,Number,Kozarska Dubica,M,Does not declare ethnicity/nationality,63
2013,Number,Kozarska Dubica,F,Does not declare ethnicity/nationality,99
2013,Number,Kostajnica,Total,Does not declare ethnicity/nationality,66
2013,Number,Kostajnica,M,Does not declare ethnicity/nationality,28
2013,Number,Kostajnica,F,Does not declare ethnicity/nationality,38
2013,Number,Kotor Varos,Total,Does not declare ethnicity/nationality,115
2013,Number,Kotor Varos,M,Does not declare ethnicity/nationality,42
2013,Number,Kotor Varos,F,Does not declare ethnicity/nationality,73
2013,Number,Krupa Na Uni,Total,Does not declare ethnicity/nationality,0
2013,Number,Krupa Na Uni,M,Does not declare ethnicity/nationality,0
2013,Number,Krupa Na Uni,F,Does not declare ethnicity/nationality,0
2013,Number,Kupres,Total,Does not declare ethnicity/nationality,1
2013,Number,Kupres,M,Does not declare ethnicity/nationality,1
2013,Number,Kupres,F,Does not declare ethnicity/nationality,0
2013,Number,Laktasi,Total,Does not declare ethnicity/nationality,237
2013,Number,Laktasi,M,Does not declare ethnicity/nationality,103
2013,Number,Laktasi,F,Does not declare ethnicity/nationality,134
2013,Number,Lopare,Total,Does not declare ethnicity/nationality,23
2013,Number,Lopare,M,Does not declare ethnicity/nationality,5
2013,Number,Lopare,F,Does not declare ethnicity/nationality,18
2013,Number,Ljubinje,Total,Does not declare ethnicity/nationality,5
2013,Number,Ljubinje,M,Does not declare ethnicity/nationality,2
2013,Number,Ljubinje,F,Does not declare ethnicity/nationality,3
2013,Number,Milici,Total,Does not declare ethnicity/nationality,7
2013,Number,Milici,M,Does not declare ethnicity/nationality,3
2013,Number,Milici,F,Does not declare ethnicity/nationality,4
2013,Number,Modrica,Total,Does not declare ethnicity/nationality,156
2013,Number,Modrica,M,Does not declare ethnicity/nationality,63
2013,Number,Modrica,F,Does not declare ethnicity/nationality,93
2013,Number,Mrkonjic Grad,Total,Does not declare ethnicity/nationality,35
2013,Number,Mrkonjic Grad,M,Does not declare ethnicity/nationality,19
2013,Number,Mrkonjic Grad,F,Does not declare ethnicity/nationality,16
2013,Number,Nevesinje,Total,Does not declare ethnicity/nationality,18
2013,Number,Nevesinje,M,Does not declare ethnicity/nationality,8
2013,Number,Nevesinje,F,Does not declare ethnicity/nationality,10
2013,Number,Novi Grad,Total,Does not declare ethnicity/nationality,137
2013,Number,Novi Grad,M,Does not declare ethnicity/nationality,56
2013,Number,Novi Grad,F,Does not declare ethnicity/nationality,81
2013,Number,Novo Gorazde,Total,Does not declare ethnicity/nationality,6
2013,Number,Novo Gorazde,M,Does not declare ethnicity/nationality,3
2013,Number,Novo Gorazde,F,Does not declare ethnicity/nationality,3
2013,Number,Osmaci,Total,Does not declare ethnicity/nationality,5
2013,Number,Osmaci,M,Does not declare ethnicity/nationality,3
2013,Number,Osmaci,F,Does not declare ethnicity/nationality,2
2013,Number,Ostra Luka,Total,Does not declare ethnicity/nationality,12
2013,Number,Ostra Luka,M,Does not declare ethnicity/nationality,4
2013,Number,Ostra Luka,F,Does not declare ethnicity/nationality,8
2013,Number,Pale,Total,Does not declare ethnicity/nationality,53
2013,Number,Pale,M,Does not declare ethnicity/nationality,20
2013,Number,Pale,F,Does not declare ethnicity/nationality,33
2013,Number,Pelagicevo,Total,Does not declare ethnicity/nationality,3
2013,Number,Pelagicevo,M,Does not declare ethnicity/nationality,1
2013,Number,Pelagicevo,F,Does not declare ethnicity/nationality,2
2013,Number,Petrovac,Total,Does not declare ethnicity/nationality,0
2013,Number,Petrovac,M,Does not declare ethnicity/nationality,0
2013,Number,Petrovac,F,Does not declare ethnicity/nationality,0
2013,Number,Petrovo,Total,Does not declare ethnicity/nationality,21
2013,Number,Petrovo,M,Does not declare ethnicity/nationality,10
2013,Number,Petrovo,F,Does not declare ethnicity/nationality,11
2013,Number,City of Prijedor,Total,Does not declare ethnicity/nationality,718
2013,Number,City of Prijedor,M,Does not declare ethnicity/nationality,267
2013,Number,City of Prijedor,F,Does not declare ethnicity/nationality,451
2013,Number,Prnjavor,Total,Does not declare ethnicity/nationality,225
2013,Number,Prnjavor,M,Does not declare ethnicity/nationality,96
2013,Number,Prnjavor,F,Does not declare ethnicity/nationality,129
2013,Number,Ribnik,Total,Does not declare ethnicity/nationality,2
2013,Number,Ribnik,M,Does not declare ethnicity/nationality,0
2013,Number,Ribnik,F,Does not declare ethnicity/nationality,2
2013,Number,Rogatica,Total,Does not declare ethnicity/nationality,12
2013,Number,Rogatica,M,Does not declare ethnicity/nationality,7
2013,Number,Rogatica,F,Does not declare ethnicity/nationality,5
2013,Number,Rudo,Total,Does not declare ethnicity/nationality,5
2013,Number,Rudo,M,Does not declare ethnicity/nationality,3
2013,Number,Rudo,F,Does not declare ethnicity/nationality,2
2013,Number,Sokolac,Total,Does not declare ethnicity/nationality,13
2013,Number,Sokolac,M,Does not declare ethnicity/nationality,5
2013,Number,Sokolac,F,Does not declare ethnicity/nationality,8
2013,Number,Srbac,Total,Does not declare ethnicity/nationality,89
2013,Number,Srbac,M,Does not declare ethnicity/nationality,45
2013,Number,Srbac,F,Does not declare ethnicity/nationality,44
2013,Number,Srebrenica,Total,Does not declare ethnicity/nationality,22
2013,Number,Srebrenica,M,Does not declare ethnicity/nationality,10
2013,Number,Srebrenica,F,Does not declare ethnicity/nationality,12
2013,Number,Teslic,Total,Does not declare ethnicity/nationality,339
2013,Number,Teslic,M,Does not declare ethnicity/nationality,136
2013,Number,Teslic,F,Does not declare ethnicity/nationality,203
2013,Number,City of Trebinje,Total,Does not declare ethnicity/nationality,180
2013,Number,City of Trebinje,M,Does not declare ethnicity/nationality,77
2013,Number,City of Trebinje,F,Does not declare ethnicity/nationality,103
2013,Number,Trnovo,Total,Does not declare ethnicity/nationality,9
2013,Number,Trnovo,M,Does not declare ethnicity/nationality,4
2013,Number,Trnovo,F,Does not declare ethnicity/nationality,5
2013,Number,Ugljevik,Total,Does not declare ethnicity/nationality,21
2013,Number,Ugljevik,M,Does not declare ethnicity/nationality,10
2013,Number,Ugljevik,F,Does not declare ethnicity/nationality,11
2013,Number,Foca,Total,Does not declare ethnicity/nationality,30
2013,Number,Foca,M,Does not declare ethnicity/nationality,10
2013,Number,Foca,F,Does not declare ethnicity/nationality,20
2013,Number,Han Pijesak,Total,Does not declare ethnicity/nationality,3
2013,Number,Han Pijesak,M,Does not declare ethnicity/nationality,1
2013,Number,Han Pijesak,F,Does not declare ethnicity/nationality,2
2013,Number,Cajnice,Total,Does not declare ethnicity/nationality,3
2013,Number,Cajnice,M,Does not declare ethnicity/nationality,1
2013,Number,Cajnice,F,Does not declare ethnicity/nationality,2
2013,Number,Celinac,Total,Does not declare ethnicity/nationality,35
2013,Number,Celinac,M,Does not declare ethnicity/nationality,16
