Year,UNIT_MEASURE,Administrative area,Sex,Ethnicity/nationality,Value
2013,Number,Petrovo,M,Total,3043
2013,Number,Petrovo,F,Total,3274
2013,Number,City of Prijedor,Total,Total,80916
2013,Number,City of Prijedor,M,Total,39418
2013,Number,City of Prijedor,F,Total,41498
2013,Number,Prnjavor,Total,Total,34357
2013,Number,Prnjavor,M,Total,16675
2013,Number,Prnjavor,F,Total,17682
2013,Number,Ribnik,Total,Total,5851
2013,Number,Ribnik,M,Total,2900
2013,Number,Ribnik,F,Total,2951
2013,Number,Rogatica,Total,Total,10302
2013,Number,Rogatica,M,Total,5053
2013,Number,Rogatica,F,Total,5249
2013,Number,Rudo,Total,Total,7578
2013,Number,Rudo,M,Total,3840
2013,Number,Rudo,F,Total,3738
2013,Number,Sokolac,Total,Total,11620
2013,Number,Sokolac,M,Total,5723
2013,Number,Sokolac,F,Total,5897
2013,Number,Srbac,Total,Total,16933
2013,Number,Srbac,M,Total,8295
2013,Number,Srbac,F,Total,8638
2013,Number,Srebrenica,Total,Total,11698
2013,Number,Srebrenica,M,Total,5714
2013,Number,Srebrenica,F,Total,5984
2013,Number,Teslic,Total,Total,37236
2013,Number,Teslic,M,Total,17894
2013,Number,Teslic,F,Total,19342
2013,Number,City of Trebinje,Total,Total,28239
2013,Number,City of Trebinje,M,Total,13760
2013,Number,City of Trebinje,F,Total,14479
2013,Number,Trnovo,Total,Total,1983
2013,Number,Trnovo,M,Total,953
2013,Number,Trnovo,F,Total,1030
2013,Number,Ugljevik,Total,Total,15118
2013,Number,Ugljevik,M,Total,7626
2013,Number,Ugljevik,F,Total,7492
2013,Number,Foca,Total,Total,17580
2013,Number,Foca,M,Total,8880
2013,Number,Foca,F,Total,8700
2013,Number,Han Pijesak,Total,Total,3445
2013,Number,Han Pijesak,M,Total,1632
2013,Number,Han Pijesak,F,Total,1813
2013,Number,Cajnice,Total,Total,4679
2013,Number,Cajnice,M,Total,2347
2013,Number,Cajnice,F,Total,2332
2013,Number,Celinac,Total,Total,15117
2013,Number,Celinac,M,Total,7477
2013,Number,Celinac,F,Total,7640
2013,Number,Samac,Total,Total,16308
2013,Number,Samac,M,Total,7908
2013,Number,Samac,F,Total,8400
2013,Number,Sekovici,Total,Total,6323
2013,Number,Sekovici,M,Total,3103
2013,Number,Sekovici,F,Total,3220
2013,Number,Sipovo,Total,Total,9969
2013,Number,Sipovo,M,Total,5046
2013,Number,Sipovo,F,Total,4923
2013,Number,Republika Srpska,Total,Bosniak,148477
2013,Number,Republika Srpska,M,Bosniak,72148
2013,Number,Republika Srpska,F,Bosniak,76329
2013,Number,City of Banja Luka,Total,Bosniak,6816
2013,Number,City of Banja Luka,M,Bosniak,3108
2013,Number,City of Banja Luka,F,Bosniak,3708
2013,Number,Berkovici,Total,Bosniak,155
2013,Number,Berkovici,M,Bosniak,87
2013,Number,Berkovici,F,Bosniak,68
2013,Number,City of Bijeljina,Total,Bosniak,11680
2013,Number,City of Bijeljina,M,Bosniak,5733
2013,Number,City of Bijeljina,F,Bosniak,5947
2013,Number,Bileca,Total,Bosniak,26
2013,Number,Bileca,M,Bosniak,16
2013,Number,Bileca,F,Bosniak,10
2013,Number,Bratunac,Total,Bosniak,6588
2013,Number,Bratunac,M,Bosniak,3218
2013,Number,Bratunac,F,Bosniak,3370
2013,Number,Brod,Total,Bosniak,1312
2013,Number,Brod,M,Bosniak,640
2013,Number,Brod,F,Bosniak,672
2013,Number,Visegrad,Total,Bosniak,895
2013,Number,Visegrad,M,Bosniak,454
2013,Number,Visegrad,F,Bosniak,441
2013,Number,Vlasenica,Total,Bosniak,3360
