Year,UNIT_MEASURE,Administrative area,Household size,Value
2013,Number,Pelagicevo,2 members,516
2013,Number,Petrovac,2 members,35
2013,Number,Petrovo,2 members,760
2013,Number,City of Prijedor,2 members,7125
2013,Number,Prnjavor,2 members,3253
2013,Number,Ribnik,2 members,673
2013,Number,Rogatica,2 members,1120
2013,Number,Rudo,2 members,851
2013,Number,Sokolac,2 members,1227
2013,Number,Srbac,2 members,1729
2013,Number,Srebrenica,2 members,858
2013,Number,Teslic,2 members,3602
2013,Number,City of Trebinje,2 members,2317
2013,Number,Trnovo,2 members,250
2013,Number,Ugljevik,2 members,1118
2013,Number,Foca,2 members,1877
2013,Number,Han Pijesak,2 members,439
2013,Number,Cajnice,2 members,442
2013,Number,Celinac,2 members,1260
2013,Number,Samac,2 members,1408
2013,Number,Sekovici,2 members,783
2013,Number,Sipovo,2 members,1059
2013,Number,Republika Srpska,3 members,79155
2013,Number,City of Banja Luka,3 members,14267
2013,Number,Berkovici,3 members,92
2013,Number,City of Bijeljina,3 members,6586
2013,Number,Bileca,3 members,620
2013,Number,Bratunac,3 members,1137
2013,Number,Brod,3 members,1107
2013,Number,Visegrad,3 members,724
2013,Number,Vlasenica,3 members,747
2013,Number,Vukosavlje,3 members,280
2013,Number,Gacko,3 members,561
2013,Number,City of Gradiska,3 members,3140
2013,Number,City of Derventa,3 members,1688
2013,Number,City of Doboj,3 members,4956
2013,Number,Donji Zabar,3 members,178
2013,Number,City of Zvornik,3 members,3400
2013,Number,East Ilidza,3 members,1075
2013,Number,East Drvar,3 members,6
2013,Number,East Mostar,3 members,12
2013,Number,East Stari Grad,3 members,75
2013,Number,East Novo Sarajevo,3 members,813
2013,Number,Jezero,3 members,75
2013,Number,Kalinovik,3 members,136
2013,Number,Knezevo,3 members,554
2013,Number,Kozarska Dubica,3 members,1351
2013,Number,Kostajnica,3 members,384
2013,Number,Kotor Varos,3 members,1079
2013,Number,Krupa Na Uni,3 members,84
2013,Number,Kupres,3 members,16
2013,Number,Laktasi,3 members,2241
2013,Number,Lopare,3 members,908
2013,Number,Ljubinje,3 members,234
2013,Number,Milici,3 members,709
2013,Number,Modrica,3 members,1567
2013,Number,Mrkonjic Grad,3 members,1218
2013,Number,Nevesinje,3 members,701
2013,Number,Novi Grad,3 members,1669
2013,Number,Novo Gorazde,3 members,193
2013,Number,Osmaci,3 members,317
2013,Number,Ostra Luka,3 members,151
2013,Number,Pale,3 members,1438
2013,Number,Pelagicevo,3 members,225
2013,Number,Petrovac,3 members,22
2013,Number,Petrovo,3 members,448
2013,Number,City of Prijedor,3 members,5351
2013,Number,Prnjavor,3 members,2183
2013,Number,Ribnik,3 members,356
2013,Number,Rogatica,3 members,709
2013,Number,Rudo,3 members,523
2013,Number,Sokolac,3 members,808
2013,Number,Srbac,3 members,1106
2013,Number,Srebrenica,3 members,656
2013,Number,Teslic,3 members,2559
2013,Number,City of Trebinje,3 members,1871
2013,Number,Trnovo,3 members,143
2013,Number,Ugljevik,3 members,821
2013,Number,Foca,3 members,1263
2013,Number,Han Pijesak,3 members,249
2013,Number,Cajnice,3 members,303
2013,Number,Celinac,3 members,985
2013,Number,Samac,3 members,971
2013,Number,Sekovici,3 members,418
2013,Number,Sipovo,3 members,696
2013,Number,Republika Srpska,4 members,72771
2013,Number,City of Banja Luka,4 members,12952
2013,Number,Berkovici,4 members,84
2013,Number,City of Bijeljina,4 members,6377
2013,Number,Bileca,4 members,616
2013,Number,Bratunac,4 members,1161
2013,Number,Brod,4 members,928
2013,Number,Visegrad,4 members,582
2013,Number,Vlasenica,4 members,687
2013,Number,Vukosavlje,4 members,249
2013,Number,Gacko,4 members,480
2013,Number,City of Gradiska,4 members,2878
2013,Number,City of Derventa,4 members,1520
2013,Number,City of Doboj,4 members,4148
2013,Number,Donji Zabar,4 members,184
2013,Number,City of Zvornik,4 members,3448
2013,Number,East Ilidza,4 members,1028
2013,Number,East Drvar,4 members,0
2013,Number,East Mostar,4 members,10
2013,Number,East Stari Grad,4 members,43
2013,Number,East Novo Sarajevo,4 members,702
2013,Number,Jezero,4 members,58
2013,Number,Kalinovik,4 members,109
2013,Number,Knezevo,4 members,551
2013,Number,Kozarska Dubica,4 members,1175
2013,Number,Kostajnica,4 members,311
2013,Number,Kotor Varos,4 members,1206
2013,Number,Krupa Na Uni,4 members,72
2013,Number,Kupres,4 members,6
2013,Number,Laktasi,4 members,2345
2013,Number,Lopare,4 members,805
2013,Number,Ljubinje,4 members,194
2013,Number,Milici,4 members,714
2013,Number,Modrica,4 members,1422
2013,Number,Mrkonjic Grad,4 members,939
2013,Number,Nevesinje,4 members,736
2013,Number,Novi Grad,4 members,1422
2013,Number,Novo Gorazde,4 members,204
2013,Number,Osmaci,4 members,358
2013,Number,Ostra Luka,4 members,131
2013,Number,Pale,4 members,1418
2013,Number,Pelagicevo,4 members,191
2013,Number,Petrovac,4 members,19
2013,Number,Petrovo,4 members,370
2013,Number,City of Prijedor,4 members,4862
2013,Number,Prnjavor,4 members,1953
2013,Number,Ribnik,4 members,308
2013,Number,Rogatica,4 members,630
2013,Number,Rudo,4 members,467
2013,Number,Sokolac,4 members,728
2013,Number,Srbac,4 members,1011
2013,Number,Srebrenica,4 members,652
2013,Number,Teslic,4 members,2147
2013,Number,City of Trebinje,4 members,1765
2013,Number,Trnovo,4 members,110
2013,Number,Ugljevik,4 members,932
2013,Number,Foca,4 members,1115
2013,Number,Han Pijesak,4 members,194
2013,Number,Cajnice,4 members,278
2013,Number,Celinac,4 members,964
2013,Number,Samac,4 members,823
2013,Number,Sekovici,4 members,379
2013,Number,Sipovo,4 members,620
2013,Number,Republika Srpska,5+ members,58469
2013,Number,City of Banja Luka,5+ members,6564
2013,Number,Berkovici,5+ members,165
2013,Number,City of Bijeljina,5+ members,6090
2013,Number,Bileca,5+ members,723
2013,Number,Bratunac,5+ members,1147
2013,Number,Brod,5+ members,765
2013,Number,Visegrad,5+ members,356
2013,Number,Vlasenica,5+ members,509
2013,Number,Vukosavlje,5+ members,235
2013,Number,Gacko,5+ members,581
2013,Number,City of Gradiska,5+ members,2701
2013,Number,City of Derventa,5+ members,1269
2013,Number,City of Doboj,5+ members,2871
2013,Number,Donji Zabar,5+ members,268
2013,Number,City of Zvornik,5+ members,3231
2013,Number,East Ilidza,5+ members,613
2013,Number,East Drvar,5+ members,1
2013,Number,East Mostar,5+ members,17
2013,Number,East Stari Grad,5+ members,51
2013,Number,East Novo Sarajevo,5+ members,389
2013,Number,Jezero,5+ members,57
2013,Number,Kalinovik,5+ members,80
2013,Number,Knezevo,5+ members,515
2013,Number,Kozarska Dubica,5+ members,1047
2013,Number,Kostajnica,5+ members,340
2013,Number,Kotor Varos,5+ members,1131
2013,Number,Krupa Na Uni,5+ members,100
2013,Number,Kupres,5+ members,14
2013,Number,Laktasi,5+ members,1846
2013,Number,Lopare,5+ members,851
2013,Number,Ljubinje,5+ members,199
2013,Number,Milici,5+ members,508
2013,Number,Modrica,5+ members,1249
2013,Number,Mrkonjic Grad,5+ members,603
2013,Number,Nevesinje,5+ members,843
2013,Number,Novi Grad,5+ members,1346
2013,Number,Novo Gorazde,5+ members,123
2013,Number,Osmaci,5+ members,374
2013,Number,Ostra Luka,5+ members,169
2013,Number,Pale,5+ members,897
2013,Number,Pelagicevo,5+ members,215
2013,Number,Petrovac,5+ members,20
2013,Number,Petrovo,5+ members,228
2013,Number,City of Prijedor,5+ members,4200
2013,Number,Prnjavor,5+ members,1834
2013,Number,Ribnik,5+ members,273
2013,Number,Rogatica,5+ members,426
2013,Number,Rudo,5+ members,310
