Year,Value,UNIT_MEASURE
2005,421.0,Broj
2006,409.0,Broj
2007,,Broj
2008,417.0,Broj
2009,406.0,Broj
2010,395.0,Broj
2011,390.0,Broj
2012,397.0,Broj
2013,377.0,Broj
2014,379.0,Broj
2015,371.0,Broj
2016,371.0,Broj
2017,363.0,Broj
2018,371.0,Broj
