Year,Value,UNIT_MEASURE
2005,19.1,Broj
2006,18.8,Broj
2007,24.9,Broj
2008,26.4,Broj
2009,26.1,Broj
2010,37.1,Broj
2011,24.0,Broj
2016,32.4,Broj
