Year,Value,UNIT_MEASURE
2003,0.6,Број на 1000 бракова
2004,0.5,Број на 1000 бракова
2005,0.6,Број на 1000 бракова
2006,0.4,Број на 1000 бракова
2007,0.5,Број на 1000 бракова
2008,0.3,Број на 1000 бракова
2009,0.4,Број на 1000 бракова
2010,0.4,Број на 1000 бракова
2011,0.8,Број на 1000 бракова
2012,0.7,Број на 1000 бракова
2013,0.9,Број на 1000 бракова
2014,0.9,Број на 1000 бракова
2015,1.0,Број на 1000 бракова
2016,0.9,Број на 1000 бракова
2017,0.9,Број на 1000 бракова
2018,0.8,Број на 1000 бракова
2019,0.8,Број на 1000 бракова
2020,0.8,Број на 1000 бракова
