Year,Value,UNIT_MEASURE
1996,108.0,Број дјечака на 100 ђевојчица
1997,109.0,Број дјечака на 100 ђевојчица
1998,109.9,Број дјечака на 100 ђевојчица
1999,104.1,Број дјечака на 100 ђевојчица
2000,106.5,Број дјечака на 100 ђевојчица
2001,106.1,Број дјечака на 100 ђевојчица
2002,106.6,Број дјечака на 100 ђевојчица
2003,107.1,Број дјечака на 100 ђевојчица
2004,107.9,Број дјечака на 100 ђевојчица
2005,105.6,Број дјечака на 100 ђевојчица
2006,103.4,Број дјечака на 100 ђевојчица
2007,106.0,Број дјечака на 100 ђевојчица
2008,106.6,Број дјечака на 100 ђевојчица
2009,111.0,Број дјечака на 100 ђевојчица
2010,104.5,Број дјечака на 100 ђевојчица
2011,110.0,Број дјечака на 100 ђевојчица
2012,104.1,Број дјечака на 100 ђевојчица
2013,106.6,Број дјечака на 100 ђевојчица
2014,108.0,Број дјечака на 100 ђевојчица
2015,107.2,Број дјечака на 100 ђевојчица
2016,109.1,Број дјечака на 100 ђевојчица
2017,109.7,Број дјечака на 100 ђевојчица
2018,109.5,Број дјечака на 100 ђевојчица
2019,112.4,Број дјечака на 100 ђевојчица
