Year,Value,UNIT_MEASURE
2003,8.8,Број на 1.000 становника
2004,8.9,Број на 1.000 становника
2005,8.7,Број на 1.000 становника
2006,8.9,Број на 1.000 становника
2007,8.6,Број на 1.000 становника
2008,8.6,Број на 1.000 становника
2009,9.0,Број на 1.000 становника
2010,8.6,Број на 1.000 становника
2011,8.1,Број на 1.000 становника
2012,8.5,Број на 1.000 становника
2013,8.1,Број на 1.000 становника
2014,8.0,Број на 1.000 становника
2015,8.1,Број на 1.000 становника
2016,8.2,Број на 1.000 становника
2017,8.1,Број на 1.000 становника
2018,8.3,Број на 1.000 становника
2019,8.1,Број на 1.000 становника
2020,8.1,Број на 1.000 становника
