Year,Value,UNIT_MEASURE
2003,3.5,NO_PER_1000_LIVE_BIRTHS
2004,3.3,NO_PER_1000_LIVE_BIRTHS
2005,3.9,NO_PER_1000_LIVE_BIRTHS
2006,2.6,NO_PER_1000_LIVE_BIRTHS
2007,3.9,NO_PER_1000_LIVE_BIRTHS
2008,3.3,NO_PER_1000_LIVE_BIRTHS
2009,3.0,NO_PER_1000_LIVE_BIRTHS
2010,4.0,NO_PER_1000_LIVE_BIRTHS
2011,3.0,NO_PER_1000_LIVE_BIRTHS
2012,3.8,NO_PER_1000_LIVE_BIRTHS
2013,3.9,NO_PER_1000_LIVE_BIRTHS
2014,2.4,NO_PER_1000_LIVE_BIRTHS
2015,1.8,NO_PER_1000_LIVE_BIRTHS
2016,1.6,NO_PER_1000_LIVE_BIRTHS
2017,1.8,NO_PER_1000_LIVE_BIRTHS
2018,1.9,NO_PER_1000_LIVE_BIRTHS
2019,1.4,NO_PER_1000_LIVE_BIRTHS
2020,1.6,NO_PER_1000_LIVE_BIRTHS
