Year,Value,UNIT_MEASURE
2000,3390,BAM
2001,3683,BAM
2002,4226,BAM
2003,4592,BAM
2004,5141,BAM
2005,5713,BAM
2006,6560,BAM
2007,7378,BAM
2008,8524,BAM
2009,8273,BAM
2010,8357,BAM
2011,8720,BAM
2012,8638,BAM
2013,8814,BAM
2014,8910,BAM
2015,9224,BAM
2016,9651,BAM
2017,10099,BAM
2018,10701,BAM
2019,11251,BAM
2020,11132,BAM
2000,1733,EUR
2001,1883,EUR
2002,2161,EUR
2003,2348,EUR
2004,2629,EUR
2005,2921,EUR
2006,3354,EUR
2007,3772,EUR
2008,4359,EUR
2009,4230,EUR
2010,4273,EUR
2011,4459,EUR
2012,4417,EUR
2013,4507,EUR
2014,4556,EUR
2015,4716,EUR
2016,4935,EUR
2017,5164,EUR
2018,5471,EUR
2019,5753,EUR
2020,5692,EUR
2000,1600,УСД
2001,1685,УСД
2002,2035,УСД
2003,2649,УСД
2004,3263,УСД
2005,3632,УСД
2006,4207,УСД
2007,5161,УСД
2008,6378,УСД
2009,5881,УСД
2010,5659,УСД
2011,6202,УСД
2012,5673,УСД
2013,5982,УСД
2014,6045,УСД
2015,5233,УСД
2016,5459,УСД
2017,5819,УСД
2018,6456,УСД
2019,6440,УСД
2020,6485,УСД
