Year,Value,UNIT_MEASURE
2003,1.33,Број дјеце по жени 15-49
2004,1.35,Број дјеце по жени 15-49
2005,1.31,Број дјеце по жени 15-49
2006,1.34,Број дјеце по жени 15-49
2007,1.3,Број дјеце по жени 15-49
2008,1.32,Број дјеце по жени 15-49
2009,1.39,Број дјеце по жени 15-49
2010,1.33,Број дјеце по жени 15-49
2011,1.27,Број дјеце по жени 15-49
2012,1.35,Број дјеце по жени 15-49
2013,1.3,Број дјеце по жени 15-49
2014,1.28,Број дјеце по жени 15-49
2015,1.3,Број дјеце по жени 15-49
2016,1.32,Број дјеце по жени 15-49
2017,1.31,Број дјеце по жени 15-49
2018,1.36,Број дјеце по жени 15-49
2019,1.34,Број дјеце по жени 15-49
2020,1.38,Број дјеце по жени 15-49
