Year,UNIT_MEASURE,Sex,Vital statistics,Value
2003,Number,Total,Live births,10537
2004,Number,Total,Live births,10628
2005,Number,Total,Live births,10322
2006,Number,Total,Live births,10524
2007,Number,Total,Live births,10110
2008,Number,Total,Live births,10198
2009,Number,Total,Live births,10603
2010,Number,Total,Live births,10147
2011,Number,Total,Live births,9561
2012,Number,Total,Live births,9978
2013,Number,Total,Live births,9510
2014,Number,Total,Live births,9335
2015,Number,Total,Live births,9357
2016,Number,Total,Live births,9452
2017,Number,Total,Live births,9339
2018,Number,Total,Live births,9568
2019,Number,Total,Live births,9274
2020,Number,Total,Live births,9161
2003,Number,M,Live births,5450
2004,Number,M,Live births,5515
2005,Number,M,Live births,5302
2006,Number,M,Live births,5351
2007,Number,M,Live births,5203
2008,Number,M,Live births,5262
2009,Number,M,Live births,5577
2010,Number,M,Live births,5184
2011,Number,M,Live births,5008
2012,Number,M,Live births,5089
2013,Number,M,Live births,4907
2014,Number,M,Live births,4846
2015,Number,M,Live births,4842
2016,Number,M,Live births,4931
2017,Number,M,Live births,4886
2018,Number,M,Live births,5001
2019,Number,M,Live births,4907
2020,Number,M,Live births,4792
2003,Number,F,Live births,5087
2004,Number,F,Live births,5113
2005,Number,F,Live births,5020
2006,Number,F,Live births,5173
2007,Number,F,Live births,4907
2008,Number,F,Live births,4936
2009,Number,F,Live births,5026
2010,Number,F,Live births,4963
2011,Number,F,Live births,4553
2012,Number,F,Live births,4889
2013,Number,F,Live births,4603
2014,Number,F,Live births,4489
2015,Number,F,Live births,4515
2016,Number,F,Live births,4521
2017,Number,F,Live births,4453
2018,Number,F,Live births,4567
2019,Number,F,Live births,4367
2020,Number,F,Live births,4369
2003,Number,Total,Deaths,12988
2004,Number,Total,Deaths,13082
2005,Number,Total,Deaths,13802
2006,Number,Total,Deaths,13232
2007,Number,Total,Deaths,14146
2008,Number,Total,Deaths,13501
2009,Number,Total,Deaths,13775
2010,Number,Total,Deaths,13517
2011,Number,Total,Deaths,13658
2012,Number,Total,Deaths,13796
2013,Number,Total,Deaths,13978
2014,Number,Total,Deaths,14409
2015,Number,Total,Deaths,15059
2016,Number,Total,Deaths,13970
2017,Number,Total,Deaths,14663
2018,Number,Total,Deaths,14763
2019,Number,Total,Deaths,15081
2020,Number,Total,Deaths,16582
2003,Number,M,Deaths,6804
2004,Number,M,Deaths,6735
2005,Number,M,Deaths,7239
2006,Number,M,Deaths,6904
2007,Number,M,Deaths,7302
2008,Number,M,Deaths,7058
2009,Number,M,Deaths,7099
2010,Number,M,Deaths,6935
2011,Number,M,Deaths,7001
2012,Number,M,Deaths,7064
2013,Number,M,Deaths,7237
2014,Number,M,Deaths,7386
2015,Number,M,Deaths,7640
2016,Number,M,Deaths,7198
2017,Number,M,Deaths,7363
2018,Number,M,Deaths,7449
2019,Number,M,Deaths,7753
2020,Number,M,Deaths,8613
2003,Number,F,Deaths,6184
2004,Number,F,Deaths,6347
2005,Number,F,Deaths,6563
2006,Number,F,Deaths,6328
2007,Number,F,Deaths,6844
2008,Number,F,Deaths,6443
2009,Number,F,Deaths,6676
2010,Number,F,Deaths,6582
2011,Number,F,Deaths,6657
2012,Number,F,Deaths,6732
2013,Number,F,Deaths,6741
2014,Number,F,Deaths,7023
2015,Number,F,Deaths,7419
2016,Number,F,Deaths,6772
2017,Number,F,Deaths,7300
2018,Number,F,Deaths,7314
2019,Number,F,Deaths,7328
2020,Number,F,Deaths,7969
2003,Number,Total,Natural increase,-2451
2004,Number,Total,Natural increase,-2454
2005,Number,Total,Natural increase,-3480
2006,Number,Total,Natural increase,-2708
2007,Number,Total,Natural increase,-4036
2008,Number,Total,Natural increase,-3303
2009,Number,Total,Natural increase,-3172
2010,Number,Total,Natural increase,-3370
2011,Number,Total,Natural increase,-4097
2012,Number,Total,Natural increase,-3818
2013,Number,Total,Natural increase,-4468
2014,Number,Total,Natural increase,-5074
2015,Number,Total,Natural increase,-5702
2016,Number,Total,Natural increase,-4518
2017,Number,Total,Natural increase,-5324
2018,Number,Total,Natural increase,-5195
2019,Number,Total,Natural increase,-5807
2020,Number,Total,Natural increase,-7421
