Year,UNIT_MEASURE,Teritory,Agricultural households,Value
2013,Broj,BERKOVICI,agricultural_selling,234
2013,Broj,BIJELJINA,agricultural_selling,4977
2013,Broj,BILECA,agricultural_selling,213
2013,Broj,BRATUNAC,agricultural_selling,704
2013,Broj,BROD,agricultural_selling,134
2013,Broj,VISEGRAD,agricultural_selling,97
2013,Broj,VLASENICA,agricultural_selling,241
2013,Broj,VUKOSAVLJE,agricultural_selling,74
2013,Broj,GACKO,agricultural_selling,437
2013,Broj,GRADISKA,agricultural_selling,2285
2013,Broj,DERVENTA,agricultural_selling,455
2013,Broj,DOBOJ,agricultural_selling,515
2013,Broj,DONJI ZABAR,agricultural_selling,219
2013,Broj,ZVORNIK,agricultural_selling,770
2013,Broj,ISTOCNA ILIDZA,agricultural_selling,51
2013,Broj,ISTOCNI DRVAR,agricultural_selling,1
2013,Broj,ISTOCNI MOSTAR,agricultural_selling,9
2013,Broj,ISTOCNI STARI GRAD,agricultural_selling,35
2013,Broj,ISTOCNO NOVO SARAJEVO,agricultural_selling,43
2013,Broj,JEZERO,agricultural_selling,9
2013,Broj,KALINOVIK,agricultural_selling,93
2013,Broj,KNEZEVO,agricultural_selling,305
2013,Broj,KOZARSKA DUBICA,agricultural_selling,860
2013,Broj,KOSTAJNICA,agricultural_selling,193
2013,Broj,KOTOR VAROS,agricultural_selling,139
2013,Broj,KRUPA NA UNI,agricultural_selling,288
2013,Broj,KUPRES,agricultural_selling,72
2013,Broj,LAKTASI,agricultural_selling,662
2013,Broj,LOPARE,agricultural_selling,668
2013,Broj,LJUBINJE,agricultural_selling,269
2013,Broj,MILICI,agricultural_selling,185
2013,Broj,MODRICA,agricultural_selling,420
2013,Broj,MRKONJIC GRAD,agricultural_selling,257
2013,Broj,NEVESINJE,agricultural_selling,702
2013,Broj,NOVI GRAD,agricultural_selling,499
2013,Broj,NOVO GORAZDE,agricultural_selling,87
2013,Broj,OSMACI,agricultural_selling,159
2013,Broj,OSTRA LUKA,agricultural_selling,57
2013,Broj,PALE,agricultural_selling,99
2013,Broj,PELAGICEVO,agricultural_selling,256
2013,Broj,PETROVAC,agricultural_selling,12
2013,Broj,PETROVO,agricultural_selling,61
2013,Broj,PRIJEDOR,agricultural_selling,798
2013,Broj,PRNJAVOR,agricultural_selling,986
2013,Broj,RIBNIK,agricultural_selling,93
2013,Broj,ROGATICA,agricultural_selling,265
2013,Broj,RUDO,agricultural_selling,244
2013,Broj,SOKOLAC,agricultural_selling,292
2013,Broj,SRBAC,agricultural_selling,594
2013,Broj,SREBRENICA,agricultural_selling,469
2013,Broj,TESLIC,agricultural_selling,576
2013,Broj,TREBINJE,agricultural_selling,327
2013,Broj,TRNOVO,agricultural_selling,17
2013,Broj,UGLJEVIK,agricultural_selling,632
2013,Broj,FOCA,agricultural_selling,262
2013,Broj,HAN PIJESAK,agricultural_selling,75
2013,Broj,CAJNICE,agricultural_selling,131
2013,Broj,CELINAC,agricultural_selling,191
2013,Broj,SAMAC,agricultural_selling,616
2013,Broj,SEKOVICI,agricultural_selling,81
2013,Broj,SIPOVO,agricultural_selling,247
