Year,UNIT_MEASURE,Врста корисника,Value
2016,Број,Укупно,114991
2017,Број,Укупно,113231
2018,Број,Укупно,113895
2019,Број,Укупно,111620
2020,Број,Укупно,107536
2016,Број,Малољетни корисници,23870
2017,Број,Малољетни корисници,20700
2018,Број,Малољетни корисници,18358
2019,Број,Малољетни корисници,19180
2020,Број,Малољетни корисници,17486
2016,Број,Пунољетни корисници,91121
2017,Број,Пунољетни корисници,92531
2018,Број,Пунољетни корисници,95537
2019,Број,Пунољетни корисници,92440
2020,Број,Пунољетни корисници,90050
