Year,UNIT_MEASURE,City/minicipality,Sex,Highest educational attainment,Value
2013,Number,Teslić,F,No education,2828
2013,Number,Grad Trebinje,Total,No education,382
2013,Number,Grad Trebinje,M,No education,44
2013,Number,Grad Trebinje,F,No education,338
2013,Number,Trnovo,Total,No education,143
2013,Number,Trnovo,M,No education,14
2013,Number,Trnovo,F,No education,129
2013,Number,Ugljevik,Total,No education,856
2013,Number,Ugljevik,M,No education,135
2013,Number,Ugljevik,F,No education,721
2013,Number,Foča,Total,No education,775
2013,Number,Foča,M,No education,92
2013,Number,Foča,F,No education,683
2013,Number,Han Pijesak,Total,No education,198
2013,Number,Han Pijesak,M,No education,22
2013,Number,Han Pijesak,F,No education,176
2013,Number,Čajniče,Total,No education,224
2013,Number,Čajniče,M,No education,31
2013,Number,Čajniče,F,No education,193
2013,Number,Čelinac,Total,No education,832
2013,Number,Čelinac,M,No education,109
2013,Number,Čelinac,F,No education,723
2013,Number,Šamac,Total,No education,627
2013,Number,Šamac,M,No education,90
2013,Number,Šamac,F,No education,537
2013,Number,Šekovići,Total,No education,655
2013,Number,Šekovići,M,No education,120
2013,Number,Šekovići,F,No education,535
2013,Number,Šipovo,Total,No education,732
2013,Number,Šipovo,M,No education,120
2013,Number,Šipovo,F,No education,612
2013,Number,Republika Srpska,Total,Incomplete primary education,97022
2013,Number,Republika Srpska,M,Incomplete primary education,33465
2013,Number,Republika Srpska,F,Incomplete primary education,63557
2013,Number,Grad Banja Luka,Total,Incomplete primary education,6483
2013,Number,Grad Banja Luka,M,Incomplete primary education,2117
2013,Number,Grad Banja Luka,F,Incomplete primary education,4366
2013,Number,Berkovići,Total,Incomplete primary education,229
2013,Number,Berkovići,M,Incomplete primary education,74
2013,Number,Berkovići,F,Incomplete primary education,155
2013,Number,Grad Bijeljina,Total,Incomplete primary education,10740
2013,Number,Grad Bijeljina,M,Incomplete primary education,3999
2013,Number,Grad Bijeljina,F,Incomplete primary education,6741
2013,Number,Bileća,Total,Incomplete primary education,747
2013,Number,Bileća,M,Incomplete primary education,187
2013,Number,Bileća,F,Incomplete primary education,560
2013,Number,Bratunac,Total,Incomplete primary education,1364
2013,Number,Bratunac,M,Incomplete primary education,395
2013,Number,Bratunac,F,Incomplete primary education,969
2013,Number,Brod,Total,Incomplete primary education,1241
2013,Number,Brod,M,Incomplete primary education,328
2013,Number,Brod,F,Incomplete primary education,913
2013,Number,Višegrad,Total,Incomplete primary education,783
2013,Number,Višegrad,M,Incomplete primary education,203
2013,Number,Višegrad,F,Incomplete primary education,580
2013,Number,Vlasenica,Total,Incomplete primary education,758
2013,Number,Vlasenica,M,Incomplete primary education,243
2013,Number,Vlasenica,F,Incomplete primary education,515
2013,Number,Vukosavlje,Total,Incomplete primary education,719
2013,Number,Vukosavlje,M,Incomplete primary education,300
2013,Number,Vukosavlje,F,Incomplete primary education,419
2013,Number,Gacko,Total,Incomplete primary education,496
2013,Number,Gacko,M,Incomplete primary education,135
2013,Number,Gacko,F,Incomplete primary education,361
2013,Number,Grad Gradiška,Total,Incomplete primary education,4821
2013,Number,Grad Gradiška,M,Incomplete primary education,1832
2013,Number,Grad Gradiška,F,Incomplete primary education,2989
2013,Number,Grad Derventa,Total,Incomplete primary education,2759
2013,Number,Grad Derventa,M,Incomplete primary education,1030
2013,Number,Grad Derventa,F,Incomplete primary education,1729
2013,Number,Grad Doboj,Total,Incomplete primary education,6019
2013,Number,Grad Doboj,M,Incomplete primary education,1823
2013,Number,Grad Doboj,F,Incomplete primary education,4196
2013,Number,Donji Žabar,Total,Incomplete primary education,707
2013,Number,Donji Žabar,M,Incomplete primary education,304
2013,Number,Donji Žabar,F,Incomplete primary education,403
2013,Number,Grad Zvornik,Total,Incomplete primary education,4702
2013,Number,Grad Zvornik,M,Incomplete primary education,1472
2013,Number,Grad Zvornik,F,Incomplete primary education,3230
2013,Number,Istočna Ilidža,Total,Incomplete primary education,550
2013,Number,Istočna Ilidža,M,Incomplete primary education,65
2013,Number,Istočna Ilidža,F,Incomplete primary education,485
2013,Number,Istočni Drvar,Total,Incomplete primary education,6
2013,Number,Istočni Drvar,M,Incomplete primary education,4
2013,Number,Istočni Drvar,F,Incomplete primary education,2
2013,Number,Istočni Mostar,Total,Incomplete primary education,41
2013,Number,Istočni Mostar,M,Incomplete primary education,21
2013,Number,Istočni Mostar,F,Incomplete primary education,20
2013,Number,Istočni Stari Grad,Total,Incomplete primary education,133
2013,Number,Istočni Stari Grad,M,Incomplete primary education,29
2013,Number,Istočni Stari Grad,F,Incomplete primary education,104
2013,Number,Istočno Novo Sarajevo,Total,Incomplete primary education,454
2013,Number,Istočno Novo Sarajevo,M,Incomplete primary education,89
2013,Number,Istočno Novo Sarajevo,F,Incomplete primary education,365
2013,Number,Jezero,Total,Incomplete primary education,105
2013,Number,Jezero,M,Incomplete primary education,39
2013,Number,Jezero,F,Incomplete primary education,66
2013,Number,Kalinovik,Total,Incomplete primary education,175
2013,Number,Kalinovik,M,Incomplete primary education,48
2013,Number,Kalinovik,F,Incomplete primary education,127
2013,Number,Kneževo,Total,Incomplete primary education,752
2013,Number,Kneževo,M,Incomplete primary education,318
2013,Number,Kneževo,F,Incomplete primary education,434
2013,Number,Kozarska Dubica,Total,Incomplete primary education,1894
2013,Number,Kozarska Dubica,M,Incomplete primary education,683
2013,Number,Kozarska Dubica,F,Incomplete primary education,1211
2013,Number,Kostajnica,Total,Incomplete primary education,387
2013,Number,Kostajnica,M,Incomplete primary education,132
2013,Number,Kostajnica,F,Incomplete primary education,255
2013,Number,Kotor Varoš,Total,Incomplete primary education,1183
2013,Number,Kotor Varoš,M,Incomplete primary education,391
2013,Number,Kotor Varoš,F,Incomplete primary education,792
2013,Number,Krupa Na Uni,Total,Incomplete primary education,316
2013,Number,Krupa Na Uni,M,Incomplete primary education,165
2013,Number,Krupa Na Uni,F,Incomplete primary education,151
2013,Number,Kupres,Total,Incomplete primary education,19
2013,Number,Kupres,M,Incomplete primary education,9
2013,Number,Kupres,F,Incomplete primary education,10
2013,Number,Laktaši,Total,Incomplete primary education,2504
2013,Number,Laktaši,M,Incomplete primary education,946
2013,Number,Laktaši,F,Incomplete primary education,1558
2013,Number,Lopare,Total,Incomplete primary education,2118
2013,Number,Lopare,M,Incomplete primary education,943
2013,Number,Lopare,F,Incomplete primary education,1175
2013,Number,Ljubinje,Total,Incomplete primary education,275
2013,Number,Ljubinje,M,Incomplete primary education,64
2013,Number,Ljubinje,F,Incomplete primary education,211
2013,Number,Milići,Total,Incomplete primary education,729
2013,Number,Milići,M,Incomplete primary education,217
2013,Number,Milići,F,Incomplete primary education,512
2013,Number,Modriča,Total,Incomplete primary education,2912
2013,Number,Modriča,M,Incomplete primary education,1049
2013,Number,Modriča,F,Incomplete primary education,1863
2013,Number,Mrkonjić Grad,Total,Incomplete primary education,1769
2013,Number,Mrkonjić Grad,M,Incomplete primary education,777
2013,Number,Mrkonjić Grad,F,Incomplete primary education,992
2013,Number,Nevesinje,Total,Incomplete primary education,1048
2013,Number,Nevesinje,M,Incomplete primary education,265
2013,Number,Nevesinje,F,Incomplete primary education,783
2013,Number,Novi Grad,Total,Incomplete primary education,2172
2013,Number,Novi Grad,M,Incomplete primary education,757
2013,Number,Novi Grad,F,Incomplete primary education,1415
2013,Number,Novo Goražde,Total,Incomplete primary education,162
2013,Number,Novo Goražde,M,Incomplete primary education,52
2013,Number,Novo Goražde,F,Incomplete primary education,110
2013,Number,Osmaci,Total,Incomplete primary education,552
2013,Number,Osmaci,M,Incomplete primary education,172
2013,Number,Osmaci,F,Incomplete primary education,380
2013,Number,Oštra Luka,Total,Incomplete primary education,352
2013,Number,Oštra Luka,M,Incomplete primary education,154
2013,Number,Oštra Luka,F,Incomplete primary education,198
2013,Number,Pale,Total,Incomplete primary education,986
2013,Number,Pale,M,Incomplete primary education,214
2013,Number,Pale,F,Incomplete primary education,772
2013,Number,Pelagićevo,Total,Incomplete primary education,1081
2013,Number,Pelagićevo,M,Incomplete primary education,459
2013,Number,Pelagićevo,F,Incomplete primary education,622
2013,Number,Petrovac,Total,Incomplete primary education,28
2013,Number,Petrovac,M,Incomplete primary education,4
2013,Number,Petrovac,F,Incomplete primary education,24
2013,Number,Petrovo,Total,Incomplete primary education,733
2013,Number,Petrovo,M,Incomplete primary education,180
2013,Number,Petrovo,F,Incomplete primary education,553
2013,Number,Grad Prijedor,Total,Incomplete primary education,6219
2013,Number,Grad Prijedor,M,Incomplete primary education,1948
2013,Number,Grad Prijedor,F,Incomplete primary education,4271
2013,Number,Prnjavor,Total,Incomplete primary education,4458
2013,Number,Prnjavor,M,Incomplete primary education,1948
2013,Number,Prnjavor,F,Incomplete primary education,2510
2013,Number,Ribnik,Total,Incomplete primary education,641
2013,Number,Ribnik,M,Incomplete primary education,249
2013,Number,Ribnik,F,Incomplete primary education,392
2013,Number,Rogatica,Total,Incomplete primary education,799
2013,Number,Rogatica,M,Incomplete primary education,239
2013,Number,Rogatica,F,Incomplete primary education,560
2013,Number,Rudo,Total,Incomplete primary education,719
2013,Number,Rudo,M,Incomplete primary education,197
2013,Number,Rudo,F,Incomplete primary education,522
2013,Number,Sokolac,Total,Incomplete primary education,747
2013,Number,Sokolac,M,Incomplete primary education,207
2013,Number,Sokolac,F,Incomplete primary education,540
2013,Number,Srbac,Total,Incomplete primary education,2023
2013,Number,Srbac,M,Incomplete primary education,857
2013,Number,Srbac,F,Incomplete primary education,1166
2013,Number,Srebrenica,Total,Incomplete primary education,1086
2013,Number,Srebrenica,M,Incomplete primary education,308
2013,Number,Srebrenica,F,Incomplete primary education,778
2013,Number,Teslić,Total,Incomplete primary education,4433
2013,Number,Teslić,M,Incomplete primary education,1551
2013,Number,Teslić,F,Incomplete primary education,2882
2013,Number,Grad Trebinje,Total,Incomplete primary education,1156
2013,Number,Grad Trebinje,M,Incomplete primary education,210
2013,Number,Grad Trebinje,F,Incomplete primary education,946
2013,Number,Trnovo,Total,Incomplete primary education,151
2013,Number,Trnovo,M,Incomplete primary education,36
2013,Number,Trnovo,F,Incomplete primary education,115
2013,Number,Ugljevik,Total,Incomplete primary education,1829
2013,Number,Ugljevik,M,Incomplete primary education,734
2013,Number,Ugljevik,F,Incomplete primary education,1095
2013,Number,Foča,Total,Incomplete primary education,1301
2013,Number,Foča,M,Incomplete primary education,346
2013,Number,Foča,F,Incomplete primary education,955
2013,Number,Han Pijesak,Total,Incomplete primary education,258
2013,Number,Han Pijesak,M,Incomplete primary education,61
2013,Number,Han Pijesak,F,Incomplete primary education,197
2013,Number,Čajniče,Total,Incomplete primary education,474
2013,Number,Čajniče,M,Incomplete primary education,149
2013,Number,Čajniče,F,Incomplete primary education,325
2013,Number,Čelinac,Total,Incomplete primary education,1317
2013,Number,Čelinac,M,Incomplete primary education,474
2013,Number,Čelinac,F,Incomplete primary education,843
2013,Number,Šamac,Total,Incomplete primary education,2046
2013,Number,Šamac,M,Incomplete primary education,731
2013,Number,Šamac,F,Incomplete primary education,1315
2013,Number,Šekovići,Total,Incomplete primary education,453
2013,Number,Šekovići,M,Incomplete primary education,181
2013,Number,Šekovići,F,Incomplete primary education,272
2013,Number,Šipovo,Total,Incomplete primary education,908
2013,Number,Šipovo,M,Incomplete primary education,351
2013,Number,Šipovo,F,Incomplete primary education,557
2013,Number,Republika Srpska,Total,Primary school,212834
2013,Number,Republika Srpska,M,Primary school,95682
2013,Number,Republika Srpska,F,Primary school,117152
2013,Number,Grad Banja Luka,Total,Primary school,23011
2013,Number,Grad Banja Luka,M,Primary school,9927
2013,Number,Grad Banja Luka,F,Primary school,13084
2013,Number,Berkovići,Total,Primary school,430
2013,Number,Berkovići,M,Primary school,221
2013,Number,Berkovići,F,Primary school,209
2013,Number,Grad Bijeljina,Total,Primary school,18771
2013,Number,Grad Bijeljina,M,Primary school,8590
2013,Number,Grad Bijeljina,F,Primary school,10181
2013,Number,Bileća,Total,Primary school,1951
2013,Number,Bileća,M,Primary school,867
2013,Number,Bileća,F,Primary school,1084
2013,Number,Bratunac,Total,Primary school,3893
2013,Number,Bratunac,M,Primary school,1769
2013,Number,Bratunac,F,Primary school,2124
2013,Number,Brod,Total,Primary school,2986
2013,Number,Brod,M,Primary school,1248
2013,Number,Brod,F,Primary school,1738
2013,Number,Višegrad,Total,Primary school,1626
2013,Number,Višegrad,M,Primary school,593
2013,Number,Višegrad,F,Primary school,1033
2013,Number,Vlasenica,Total,Primary school,2268
2013,Number,Vlasenica,M,Primary school,993
2013,Number,Vlasenica,F,Primary school,1275
2013,Number,Vukosavlje,Total,Primary school,999
2013,Number,Vukosavlje,M,Primary school,472
2013,Number,Vukosavlje,F,Primary school,527
2013,Number,Gacko,Total,Primary school,1356
2013,Number,Gacko,M,Primary school,530
2013,Number,Gacko,F,Primary school,826
2013,Number,Grad Gradiška,Total,Primary school,9626
2013,Number,Grad Gradiška,M,Primary school,4493
2013,Number,Grad Gradiška,F,Primary school,5133
2013,Number,Grad Derventa,Total,Primary school,5260
2013,Number,Grad Derventa,M,Primary school,2463
2013,Number,Grad Derventa,F,Primary school,2797
2013,Number,Grad Doboj,Total,Primary school,13403
2013,Number,Grad Doboj,M,Primary school,5750
2013,Number,Grad Doboj,F,Primary school,7653
2013,Number,Donji Žabar,Total,Primary school,815
2013,Number,Donji Žabar,M,Primary school,408
2013,Number,Donji Žabar,F,Primary school,407
2013,Number,Grad Zvornik,Total,Primary school,11440
2013,Number,Grad Zvornik,M,Primary school,5163
2013,Number,Grad Zvornik,F,Primary school,6277
2013,Number,Istočna Ilidža,Total,Primary school,1676
2013,Number,Istočna Ilidža,M,Primary school,519
2013,Number,Istočna Ilidža,F,Primary school,1157
2013,Number,Istočni Drvar,Total,Primary school,9
2013,Number,Istočni Drvar,M,Primary school,2
2013,Number,Istočni Drvar,F,Primary school,7
2013,Number,Istočni Mostar,Total,Primary school,38
2013,Number,Istočni Mostar,M,Primary school,24
2013,Number,Istočni Mostar,F,Primary school,14
2013,Number,Istočni Stari Grad,Total,Primary school,166
2013,Number,Istočni Stari Grad,M,Primary school,75
2013,Number,Istočni Stari Grad,F,Primary school,91
2013,Number,Istočno Novo Sarajevo,Total,Primary school,1087
2013,Number,Istočno Novo Sarajevo,M,Primary school,356
2013,Number,Istočno Novo Sarajevo,F,Primary school,731
2013,Number,Jezero,Total,Primary school,236
2013,Number,Jezero,M,Primary school,109
2013,Number,Jezero,F,Primary school,127
2013,Number,Kalinovik,Total,Primary school,334
2013,Number,Kalinovik,M,Primary school,122
2013,Number,Kalinovik,F,Primary school,212
2013,Number,Kneževo,Total,Primary school,1918
2013,Number,Kneževo,M,Primary school,990
2013,Number,Kneževo,F,Primary school,928
2013,Number,Kozarska Dubica,Total,Primary school,3921
2013,Number,Kozarska Dubica,M,Primary school,1839
2013,Number,Kozarska Dubica,F,Primary school,2082
2013,Number,Kostajnica,Total,Primary school,1117
2013,Number,Kostajnica,M,Primary school,486
2013,Number,Kostajnica,F,Primary school,631
2013,Number,Kotor Varoš,Total,Primary school,3809
2013,Number,Kotor Varoš,M,Primary school,1797
2013,Number,Kotor Varoš,F,Primary school,2012
2013,Number,Krupa Na Uni,Total,Primary school,524
2013,Number,Krupa Na Uni,M,Primary school,317
2013,Number,Krupa Na Uni,F,Primary school,207
2013,Number,Kupres,Total,Primary school,53
2013,Number,Kupres,M,Primary school,33
2013,Number,Kupres,F,Primary school,20
2013,Number,Laktaši,Total,Primary school,6602
2013,Number,Laktaši,M,Primary school,3078
2013,Number,Laktaši,F,Primary school,3524
2013,Number,Lopare,Total,Primary school,3267
2013,Number,Lopare,M,Primary school,1670
2013,Number,Lopare,F,Primary school,1597
2013,Number,Ljubinje,Total,Primary school,619
2013,Number,Ljubinje,M,Primary school,261
2013,Number,Ljubinje,F,Primary school,358
2013,Number,Milići,Total,Primary school,2387
2013,Number,Milići,M,Primary school,1038
2013,Number,Milići,F,Primary school,1349
2013,Number,Modriča,Total,Primary school,5255
2013,Number,Modriča,M,Primary school,2469
2013,Number,Modriča,F,Primary school,2786
2013,Number,Mrkonjić Grad,Total,Primary school,2720
2013,Number,Mrkonjić Grad,M,Primary school,1373
2013,Number,Mrkonjić Grad,F,Primary school,1347
2013,Number,Nevesinje,Total,Primary school,2193
2013,Number,Nevesinje,M,Primary school,961
2013,Number,Nevesinje,F,Primary school,1232
2013,Number,Novi Grad,Total,Primary school,5660
2013,Number,Novi Grad,M,Primary school,2691
2013,Number,Novi Grad,F,Primary school,2969
2013,Number,Novo Goražde,Total,Primary school,612
2013,Number,Novo Goražde,M,Primary school,229
2013,Number,Novo Goražde,F,Primary school,383
2013,Number,Osmaci,Total,Primary school,1146
2013,Number,Osmaci,M,Primary school,495
2013,Number,Osmaci,F,Primary school,651
2013,Number,Oštra Luka,Total,Primary school,648
2013,Number,Oštra Luka,M,Primary school,348
2013,Number,Oštra Luka,F,Primary school,300
2013,Number,Pale,Total,Primary school,2570
2013,Number,Pale,M,Primary school,935
2013,Number,Pale,F,Primary school,1635
2013,Number,Pelagićevo,Total,Primary school,1081
2013,Number,Pelagićevo,M,Primary school,586
2013,Number,Pelagićevo,F,Primary school,495
2013,Number,Petrovac,Total,Primary school,57
2013,Number,Petrovac,M,Primary school,23
2013,Number,Petrovac,F,Primary school,34
2013,Number,Petrovo,Total,Primary school,1114
2013,Number,Petrovo,M,Primary school,464
2013,Number,Petrovo,F,Primary school,650
2013,Number,Grad Prijedor,Total,Primary school,15121
2013,Number,Grad Prijedor,M,Primary school,6682
2013,Number,Grad Prijedor,F,Primary school,8439
2013,Number,Prnjavor,Total,Primary school,7504
2013,Number,Prnjavor,M,Primary school,3697
2013,Number,Prnjavor,F,Primary school,3807
2013,Number,Ribnik,Total,Primary school,1275
2013,Number,Ribnik,M,Primary school,651
2013,Number,Ribnik,F,Primary school,624
2013,Number,Rogatica,Total,Primary school,1761
2013,Number,Rogatica,M,Primary school,717
2013,Number,Rogatica,F,Primary school,1044
2013,Number,Rudo,Total,Primary school,1332
2013,Number,Rudo,M,Primary school,514
2013,Number,Rudo,F,Primary school,818
2013,Number,Sokolac,Total,Primary school,1790
2013,Number,Sokolac,M,Primary school,720
2013,Number,Sokolac,F,Primary school,1070
2013,Number,Srbac,Total,Primary school,3740
2013,Number,Srbac,M,Primary school,1843
2013,Number,Srbac,F,Primary school,1897
2013,Number,Srebrenica,Total,Primary school,2494
2013,Number,Srebrenica,M,Primary school,1115
2013,Number,Srebrenica,F,Primary school,1379
2013,Number,Teslić,Total,Primary school,7412
2013,Number,Teslić,M,Primary school,3540
2013,Number,Teslić,F,Primary school,3872
2013,Number,Grad Trebinje,Total,Primary school,3757
2013,Number,Grad Trebinje,M,Primary school,1267
2013,Number,Grad Trebinje,F,Primary school,2490
2013,Number,Trnovo,Total,Primary school,342
2013,Number,Trnovo,M,Primary school,106
2013,Number,Trnovo,F,Primary school,236
2013,Number,Ugljevik,Total,Primary school,2942
2013,Number,Ugljevik,M,Primary school,1398
2013,Number,Ugljevik,F,Primary school,1544
2013,Number,Foča,Total,Primary school,2975
2013,Number,Foča,M,Primary school,1305
2013,Number,Foča,F,Primary school,1670
2013,Number,Han Pijesak,Total,Primary school,686
2013,Number,Han Pijesak,M,Primary school,275
2013,Number,Han Pijesak,F,Primary school,411
2013,Number,Čajniče,Total,Primary school,981
2013,Number,Čajniče,M,Primary school,436
2013,Number,Čajniče,F,Primary school,545
2013,Number,Čelinac,Total,Primary school,3312
2013,Number,Čelinac,M,Primary school,1626
2013,Number,Čelinac,F,Primary school,1686
2013,Number,Šamac,Total,Primary school,3511
2013,Number,Šamac,M,Primary school,1521
2013,Number,Šamac,F,Primary school,1990
2013,Number,Šekovići,Total,Primary school,1397
2013,Number,Šekovići,M,Primary school,610
2013,Number,Šekovići,F,Primary school,787
2013,Number,Šipovo,Total,Primary school,1848
2013,Number,Šipovo,M,Primary school,882
2013,Number,Šipovo,F,Primary school,966
2013,Number,Republika Srpska,Total,Secondary school,508414
2013,Number,Republika Srpska,M,Secondary school,280747
2013,Number,Republika Srpska,F,Secondary school,227667
2013,Number,Grad Banja Luka,Total,Secondary school,83044
2013,Number,Grad Banja Luka,M,Secondary school,42327
2013,Number,Grad Banja Luka,F,Secondary school,40717
2013,Number,Berkovići,Total,Secondary school,771
2013,Number,Berkovići,M,Secondary school,446
2013,Number,Berkovići,F,Secondary school,325
2013,Number,Grad Bijeljina,Total,Secondary school,43231
2013,Number,Grad Bijeljina,M,Secondary school,23560
2013,Number,Grad Bijeljina,F,Secondary school,19671
2013,Number,Bileća,Total,Secondary school,4799
2013,Number,Bileća,M,Secondary school,2692
2013,Number,Bileća,F,Secondary school,2107
2013,Number,Bratunac,Total,Secondary school,7868
2013,Number,Bratunac,M,Secondary school,4649
2013,Number,Bratunac,F,Secondary school,3219
2013,Number,Brod,Total,Secondary school,7331
2013,Number,Brod,M,Secondary school,4080
2013,Number,Brod,F,Secondary school,3251
2013,Number,Višegrad,Total,Secondary school,4635
2013,Number,Višegrad,M,Secondary school,2672
2013,Number,Višegrad,F,Secondary school,1963
2013,Number,Vlasenica,Total,Secondary school,4607
2013,Number,Vlasenica,M,Secondary school,2596
