Year,UNIT_MEASURE,City/minicipality,Sex,Highest educational attainment,Value
2013,Number,Republika Srpska,Total,No education,58651
2013,Number,Republika Srpska,M,No education,9370
2013,Number,Republika Srpska,F,No education,49281
2013,Number,Grad Banja Luka,Total,No education,5673
2013,Number,Grad Banja Luka,M,No education,921
2013,Number,Grad Banja Luka,F,No education,4752
2013,Number,Berkovići,Total,No education,104
2013,Number,Berkovići,M,No education,8
2013,Number,Berkovići,F,No education,96
2013,Number,Grad Bijeljina,Total,No education,3916
2013,Number,Grad Bijeljina,M,No education,650
2013,Number,Grad Bijeljina,F,No education,3266
2013,Number,Bileća,Total,No education,246
2013,Number,Bileća,M,No education,42
2013,Number,Bileća,F,No education,204
2013,Number,Bratunac,Total,No education,1297
2013,Number,Bratunac,M,No education,166
2013,Number,Bratunac,F,No education,1131
2013,Number,Brod,Total,No education,586
2013,Number,Brod,M,No education,90
2013,Number,Brod,F,No education,496
2013,Number,Višegrad,Total,No education,576
2013,Number,Višegrad,M,No education,65
2013,Number,Višegrad,F,No education,511
2013,Number,Vlasenica,Total,No education,629
2013,Number,Vlasenica,M,No education,101
2013,Number,Vlasenica,F,No education,528
2013,Number,Vukosavlje,Total,No education,329
2013,Number,Vukosavlje,M,No education,69
2013,Number,Vukosavlje,F,No education,260
2013,Number,Gacko,Total,No education,268
2013,Number,Gacko,M,No education,22
2013,Number,Gacko,F,No education,246
2013,Number,Grad Gradiška,Total,No education,2608
2013,Number,Grad Gradiška,M,No education,425
2013,Number,Grad Gradiška,F,No education,2183
2013,Number,Grad Derventa,Total,No education,1538
2013,Number,Grad Derventa,M,No education,281
2013,Number,Grad Derventa,F,No education,1257
2013,Number,Grad Doboj,Total,No education,3364
2013,Number,Grad Doboj,M,No education,496
2013,Number,Grad Doboj,F,No education,2868
2013,Number,Donji Žabar,Total,No education,209
2013,Number,Donji Žabar,M,No education,37
2013,Number,Donji Žabar,F,No education,172
2013,Number,Grad Zvornik,Total,No education,3216
2013,Number,Grad Zvornik,M,No education,484
2013,Number,Grad Zvornik,F,No education,2732
2013,Number,Istočna Ilidža,Total,No education,280
2013,Number,Istočna Ilidža,M,No education,33
2013,Number,Istočna Ilidža,F,No education,247
2013,Number,Istočni Drvar,Total,No education,5
2013,Number,Istočni Drvar,M,No education,0
2013,Number,Istočni Drvar,F,No education,5
2013,Number,Istočni Mostar,Total,No education,19
2013,Number,Istočni Mostar,M,No education,1
2013,Number,Istočni Mostar,F,No education,18
2013,Number,Istočni Stari Grad,Total,No education,61
2013,Number,Istočni Stari Grad,M,No education,5
2013,Number,Istočni Stari Grad,F,No education,56
2013,Number,Istočno Novo Sarajevo,Total,No education,191
2013,Number,Istočno Novo Sarajevo,M,No education,25
2013,Number,Istočno Novo Sarajevo,F,No education,166
2013,Number,Jezero,Total,No education,79
2013,Number,Jezero,M,No education,14
2013,Number,Jezero,F,No education,65
2013,Number,Kalinovik,Total,No education,158
2013,Number,Kalinovik,M,No education,11
2013,Number,Kalinovik,F,No education,147
2013,Number,Kneževo,Total,No education,1390
2013,Number,Kneževo,M,No education,311
2013,Number,Kneževo,F,No education,1079
2013,Number,Kozarska Dubica,Total,No education,984
2013,Number,Kozarska Dubica,M,No education,154
2013,Number,Kozarska Dubica,F,No education,830
2013,Number,Kostajnica,Total,No education,163
2013,Number,Kostajnica,M,No education,28
2013,Number,Kostajnica,F,No education,135
2013,Number,Kotor Varoš,Total,No education,1503
2013,Number,Kotor Varoš,M,No education,282
2013,Number,Kotor Varoš,F,No education,1221
2013,Number,Krupa Na Uni,Total,No education,157
2013,Number,Krupa Na Uni,M,No education,19
2013,Number,Krupa Na Uni,F,No education,138
2013,Number,Kupres,Total,No education,103
2013,Number,Kupres,M,No education,33
2013,Number,Kupres,F,No education,70
2013,Number,Laktaši,Total,No education,1363
2013,Number,Laktaši,M,No education,229
2013,Number,Laktaši,F,No education,1134
2013,Number,Lopare,Total,No education,1235
2013,Number,Lopare,M,No education,243
2013,Number,Lopare,F,No education,992
2013,Number,Ljubinje,Total,No education,110
2013,Number,Ljubinje,M,No education,12
2013,Number,Ljubinje,F,No education,98
2013,Number,Milići,Total,No education,643
2013,Number,Milići,M,No education,96
2013,Number,Milići,F,No education,547
2013,Number,Modriča,Total,No education,1278
2013,Number,Modriča,M,No education,241
2013,Number,Modriča,F,No education,1037
2013,Number,Mrkonjić Grad,Total,No education,1462
2013,Number,Mrkonjić Grad,M,No education,213
2013,Number,Mrkonjić Grad,F,No education,1249
2013,Number,Nevesinje,Total,No education,545
2013,Number,Nevesinje,M,No education,56
2013,Number,Nevesinje,F,No education,489
2013,Number,Novi Grad,Total,No education,1036
2013,Number,Novi Grad,M,No education,171
2013,Number,Novi Grad,F,No education,865
2013,Number,Novo Goražde,Total,No education,127
2013,Number,Novo Goražde,M,No education,21
2013,Number,Novo Goražde,F,No education,106
2013,Number,Osmaci,Total,No education,397
2013,Number,Osmaci,M,No education,62
2013,Number,Osmaci,F,No education,335
2013,Number,Oštra Luka,Total,No education,247
2013,Number,Oštra Luka,M,No education,43
2013,Number,Oštra Luka,F,No education,204
2013,Number,Pale,Total,No education,606
2013,Number,Pale,M,No education,80
2013,Number,Pale,F,No education,526
2013,Number,Pelagićevo,Total,No education,290
2013,Number,Pelagićevo,M,No education,46
2013,Number,Pelagićevo,F,No education,244
2013,Number,Petrovac,Total,No education,11
2013,Number,Petrovac,M,No education,0
2013,Number,Petrovac,F,No education,11
2013,Number,Petrovo,Total,No education,403
2013,Number,Petrovo,M,No education,48
2013,Number,Petrovo,F,No education,355
2013,Number,Grad Prijedor,Total,No education,3918
2013,Number,Grad Prijedor,M,No education,760
2013,Number,Grad Prijedor,F,No education,3158
2013,Number,Prnjavor,Total,No education,2654
2013,Number,Prnjavor,M,No education,391
2013,Number,Prnjavor,F,No education,2263
2013,Number,Ribnik,Total,No education,680
2013,Number,Ribnik,M,No education,118
2013,Number,Ribnik,F,No education,562
2013,Number,Rogatica,Total,No education,633
2013,Number,Rogatica,M,No education,89
2013,Number,Rogatica,F,No education,544
2013,Number,Rudo,Total,No education,279
2013,Number,Rudo,M,No education,38
2013,Number,Rudo,F,No education,241
2013,Number,Sokolac,Total,No education,392
2013,Number,Sokolac,M,No education,52
2013,Number,Sokolac,F,No education,340
2013,Number,Srbac,Total,No education,1115
2013,Number,Srbac,M,No education,235
2013,Number,Srbac,F,No education,880
2013,Number,Srebrenica,Total,No education,852
2013,Number,Srebrenica,M,No education,105
2013,Number,Srebrenica,F,No education,747
2013,Number,Teslić,Total,No education,3299
2013,Number,Teslić,M,No education,471
