Year,UNIT_MEASURE,Пол,Value
2003,Број,Оба пола,37
2004,Број,Оба пола,35
2005,Број,Оба пола,40
2006,Број,Оба пола,27
2007,Број,Оба пола,39
2008,Број,Оба пола,34
2009,Број,Оба пола,32
2010,Број,Оба пола,41
2011,Број,Оба пола,29
2012,Број,Оба пола,38
2013,Број,Оба пола,37
2014,Број,Оба пола,22
2015,Број,Оба пола,17
2016,Број,Оба пола,15
2017,Број,Оба пола,17
2018,Број,Оба пола,18
2019,Број,Оба пола,13
2020,Број,Оба пола,15
2003,Број,M,17
2004,Број,M,19
2005,Број,M,20
2006,Број,M,20
2007,Број,M,23
2008,Број,M,20
2009,Број,M,21
2010,Број,M,23
2011,Број,M,12
2012,Број,M,24
2013,Број,M,17
2014,Број,M,13
2015,Број,M,8
2016,Број,M,5
2017,Број,M,10
2018,Број,M,11
2019,Број,M,4
2020,Број,M,11
2003,Број,Ж,20
2004,Број,Ж,16
2005,Број,Ж,20
2006,Број,Ж,7
2007,Број,Ж,16
2008,Број,Ж,14
2009,Број,Ж,11
2010,Број,Ж,18
2011,Број,Ж,17
2012,Број,Ж,14
2013,Број,Ж,20
2014,Број,Ж,9
2015,Број,Ж,9
2016,Број,Ж,10
2017,Број,Ж,7
2018,Број,Ж,7
2019,Број,Ж,9
2020,Број,Ж,4
