Year,UNIT_MEASURE,Teritory,Пол,Literacy,Value
2013,Број,KOZARSKA DUBICA,Оба пола,illiterate,590
2013,Број,KOZARSKA DUBICA,M,illiterate,77
2013,Број,KOZARSKA DUBICA,Ж,illiterate,513
2013,Број,KOSTAJNICA,Оба пола,illiterate,115
2013,Број,KOSTAJNICA,M,illiterate,14
2013,Број,KOSTAJNICA,Ж,illiterate,101
2013,Број,KOTOR VAROS,Оба пола,illiterate,1042
2013,Број,KOTOR VAROS,M,illiterate,148
2013,Број,KOTOR VAROS,Ж,illiterate,894
2013,Број,KRUPA NA UNI,Оба пола,illiterate,145
2013,Број,KRUPA NA UNI,M,illiterate,21
2013,Број,KRUPA NA UNI,Ж,illiterate,124
2013,Број,KUPRES,Оба пола,illiterate,81
2013,Број,KUPRES,M,illiterate,27
2013,Број,KUPRES,Ж,illiterate,54
2013,Број,LAKTASI,Оба пола,illiterate,752
2013,Број,LAKTASI,M,illiterate,117
2013,Број,LAKTASI,Ж,illiterate,635
2013,Број,LOPARE,Оба пола,illiterate,680
2013,Број,LOPARE,M,illiterate,123
2013,Број,LOPARE,Ж,illiterate,557
2013,Број,LJUBINJE,Оба пола,illiterate,49
2013,Број,LJUBINJE,M,illiterate,5
2013,Број,LJUBINJE,Ж,illiterate,44
2013,Број,MILICI,Оба пола,illiterate,399
2013,Број,MILICI,M,illiterate,51
2013,Број,MILICI,Ж,illiterate,348
2013,Број,MODRICA,Оба пола,illiterate,736
2013,Број,MODRICA,M,illiterate,119
2013,Број,MODRICA,Ж,illiterate,617
2013,Број,MRKONJIC GRAD,Оба пола,illiterate,821
2013,Број,MRKONJIC GRAD,M,illiterate,95
2013,Број,MRKONJIC GRAD,Ж,illiterate,726
2013,Број,NEVESINJE,Оба пола,illiterate,305
2013,Број,NEVESINJE,M,illiterate,32
2013,Број,NEVESINJE,Ж,illiterate,273
2013,Број,NOVI GRAD,Оба пола,illiterate,666
2013,Број,NOVI GRAD,M,illiterate,106
2013,Број,NOVI GRAD,Ж,illiterate,560
2013,Број,NOVO GORAZDE,Оба пола,illiterate,76
2013,Број,NOVO GORAZDE,M,illiterate,5
2013,Број,NOVO GORAZDE,Ж,illiterate,71
2013,Број,OSMACI,Оба пола,illiterate,264
2013,Број,OSMACI,M,illiterate,29
2013,Број,OSMACI,Ж,illiterate,235
2013,Број,OSTRA LUKA,Оба пола,illiterate,196
2013,Број,OSTRA LUKA,M,illiterate,32
2013,Број,OSTRA LUKA,Ж,illiterate,164
2013,Број,PALE,Оба пола,illiterate,293
2013,Број,PALE,M,illiterate,40
2013,Број,PALE,Ж,illiterate,253
2013,Број,PELAGICEVO,Оба пола,illiterate,179
2013,Број,PELAGICEVO,M,illiterate,29
2013,Број,PELAGICEVO,Ж,illiterate,150
2013,Број,PETROVAC,Оба пола,illiterate,6
2013,Број,PETROVAC,M,illiterate,-
2013,Број,PETROVAC,Ж,illiterate,6
2013,Број,PETROVO,Оба пола,illiterate,245
2013,Број,PETROVO,M,illiterate,28
2013,Број,PETROVO,Ж,illiterate,217
2013,Број,PRIJEDOR,Оба пола,illiterate,2172
2013,Број,PRIJEDOR,M,illiterate,422
2013,Број,PRIJEDOR,Ж,illiterate,1750
2013,Број,PRNJAVOR,Оба пола,illiterate,1408
2013,Број,PRNJAVOR,M,illiterate,203
2013,Број,PRNJAVOR,Ж,illiterate,1205
2013,Број,RIBNIK,Оба пола,illiterate,456
2013,Број,RIBNIK,M,illiterate,69
2013,Број,RIBNIK,Ж,illiterate,387
2013,Број,ROGATICA,Оба пола,illiterate,351
2013,Број,ROGATICA,M,illiterate,38
2013,Број,ROGATICA,Ж,illiterate,313
2013,Број,RUDO,Оба пола,illiterate,155
2013,Број,RUDO,M,illiterate,27
2013,Број,RUDO,Ж,illiterate,128
2013,Број,SOKOLAC,Оба пола,illiterate,231
2013,Број,SOKOLAC,M,illiterate,25
2013,Број,SOKOLAC,Ж,illiterate,206
2013,Број,SRBAC,Оба пола,illiterate,539
2013,Број,SRBAC,M,illiterate,102
2013,Број,SRBAC,Ж,illiterate,437
2013,Број,SREBRENICA,Оба пола,illiterate,627
2013,Број,SREBRENICA,M,illiterate,64
2013,Број,SREBRENICA,Ж,illiterate,563
2013,Број,TESLIC,Оба пола,illiterate,1980
2013,Број,TESLIC,M,illiterate,227
2013,Број,TESLIC,Ж,illiterate,1753
2013,Број,TREBINJE,Оба пола,illiterate,237
2013,Број,TREBINJE,M,illiterate,31
2013,Број,TREBINJE,Ж,illiterate,206
2013,Број,TRNOVO,Оба пола,illiterate,76
2013,Број,TRNOVO,M,illiterate,10
2013,Број,TRNOVO,Ж,illiterate,66
2013,Број,UGLJEVIK,Оба пола,illiterate,451
2013,Број,UGLJEVIK,M,illiterate,68
2013,Број,UGLJEVIK,Ж,illiterate,383
2013,Број,FOCA,Оба пола,illiterate,391
2013,Број,FOCA,M,illiterate,51
2013,Број,FOCA,Ж,illiterate,340
2013,Број,HAN PIJESAK,Оба пола,illiterate,88
2013,Број,HAN PIJESAK,M,illiterate,10
2013,Број,HAN PIJESAK,Ж,illiterate,78
2013,Број,CAJNICE,Оба пола,illiterate,140
2013,Број,CAJNICE,M,illiterate,22
2013,Број,CAJNICE,Ж,illiterate,118
2013,Број,CELINAC,Оба пола,illiterate,472
2013,Број,CELINAC,M,illiterate,56
2013,Број,CELINAC,Ж,illiterate,416
2013,Број,SAMAC,Оба пола,illiterate,300
2013,Број,SAMAC,M,illiterate,55
2013,Број,SAMAC,Ж,illiterate,245
2013,Број,SEKOVICI,Оба пола,illiterate,427
2013,Број,SEKOVICI,M,illiterate,83
2013,Број,SEKOVICI,Ж,illiterate,344
2013,Број,SIPOVO,Оба пола,illiterate,431
2013,Број,SIPOVO,M,illiterate,49
2013,Број,SIPOVO,Ж,illiterate,382
2013,Број,REPUBLIKA SRPSKA,Оба пола,illiterates_percentage,3.29
2013,Број,REPUBLIKA SRPSKA,M,illiterates_percentage,0.97
2013,Број,REPUBLIKA SRPSKA,Ж,illiterates_percentage,5.48
2013,Број,BANJA LUKA,Оба пола,illiterates_percentage,2.16
2013,Број,BANJA LUKA,M,illiterates_percentage,0.66
2013,Број,BANJA LUKA,Ж,illiterates_percentage,3.53
2013,Број,BERKOVICI,Оба пола,illiterates_percentage,2.58
2013,Број,BERKOVICI,M,illiterates_percentage,0.11
2013,Број,BERKOVICI,Ж,illiterates_percentage,5.07
2013,Број,BIJELJINA,Оба пола,illiterates_percentage,2.70
2013,Број,BIJELJINA,M,illiterates_percentage,0.90
2013,Број,BIJELJINA,Ж,illiterates_percentage,4.40
2013,Број,BILECA,Оба пола,illiterates_percentage,1.49
2013,Број,BILECA,M,illiterates_percentage,0.64
2013,Број,BILECA,Ж,illiterates_percentage,2.35
2013,Број,BRATUNAC,Оба пола,illiterates_percentage,5.16
2013,Број,BRATUNAC,M,illiterates_percentage,1.00
2013,Број,BRATUNAC,Ж,illiterates_percentage,9.17
2013,Број,BROD,Оба пола,illiterates_percentage,2.31
2013,Број,BROD,M,illiterates_percentage,0.77
2013,Број,BROD,Ж,illiterates_percentage,3.76
2013,Број,VISEGRAD,Оба пола,illiterates_percentage,3.82
2013,Број,VISEGRAD,M,illiterates_percentage,0.78
2013,Број,VISEGRAD,Ж,illiterates_percentage,6.59
2013,Број,VLASENICA,Оба пола,illiterates_percentage,3.63
2013,Број,VLASENICA,M,illiterates_percentage,1.05
2013,Број,VLASENICA,Ж,illiterates_percentage,6.04
2013,Број,VUKOSAVLJE,Оба пола,illiterates_percentage,4.96
2013,Број,VUKOSAVLJE,M,illiterates_percentage,1.57
2013,Број,VUKOSAVLJE,Ж,illiterates_percentage,8.35
2013,Број,GACKO,Оба пола,illiterates_percentage,1.40
2013,Број,GACKO,M,illiterates_percentage,0.25
2013,Број,GACKO,Ж,illiterates_percentage,2.58
2013,Број,GRADISKA,Оба пола,illiterates_percentage,3.39
2013,Број,GRADISKA,M,illiterates_percentage,0.94
2013,Број,GRADISKA,Ж,illiterates_percentage,5.71
2013,Број,DERVENTA,Оба пола,illiterates_percentage,3.44
2013,Број,DERVENTA,M,illiterates_percentage,1.05
2013,Број,DERVENTA,Ж,illiterates_percentage,5.69
2013,Број,DOBOJ,Оба пола,illiterates_percentage,3.19
2013,Број,DOBOJ,M,illiterates_percentage,0.90
2013,Број,DOBOJ,Ж,illiterates_percentage,5.33
2013,Број,DONJI ZABAR,Оба пола,illiterates_percentage,3.82
2013,Број,DONJI ZABAR,M,illiterates_percentage,1.54
2013,Број,DONJI ZABAR,Ж,illiterates_percentage,6.12
2013,Број,ZVORNIK,Оба пола,illiterates_percentage,4.23
2013,Број,ZVORNIK,M,illiterates_percentage,1.03
2013,Број,ZVORNIK,Ж,illiterates_percentage,7.32
2013,Број,ISTOCNA ILIDZA,Оба пола,illiterates_percentage,1.30
2013,Број,ISTOCNA ILIDZA,M,illiterates_percentage,0.35
2013,Број,ISTOCNA ILIDZA,Ж,illiterates_percentage,2.17
2013,Број,ISTOCNI DRVAR,Оба пола,illiterates_percentage,3.08
2013,Број,ISTOCNI DRVAR,Ж,illiterates_percentage,9.09
2013,Број,ISTOCNI MOSTAR,Оба пола,illiterates_percentage,8.41
2013,Број,ISTOCNI MOSTAR,M,illiterates_percentage,0.78
2013,Број,ISTOCNI MOSTAR,Ж,illiterates_percentage,18.37
2013,Број,ISTOCNI STARI GRAD,Оба пола,illiterates_percentage,3.87
2013,Број,ISTOCNI STARI GRAD,M,illiterates_percentage,0.59
2013,Број,ISTOCNI STARI GRAD,Ж,illiterates_percentage,7.01
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,illiterates_percentage,0.86
2013,Број,ISTOCNO NOVO SARAJEVO,M,illiterates_percentage,0.32
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,illiterates_percentage,1.35
2013,Број,JEZERO,Оба пола,illiterates_percentage,4.52
2013,Број,JEZERO,M,illiterates_percentage,1.42
2013,Број,JEZERO,Ж,illiterates_percentage,7.84
2013,Број,KALINOVIK,Оба пола,illiterates_percentage,4.66
2013,Број,KALINOVIK,M,illiterates_percentage,0.56
2013,Број,KALINOVIK,Ж,illiterates_percentage,8.53
2013,Број,KNEZEVO,Оба пола,illiterates_percentage,11.35
2013,Број,KNEZEVO,M,illiterates_percentage,3.47
2013,Број,KNEZEVO,Ж,illiterates_percentage,18.97
2013,Број,KOZARSKA DUBICA,Оба пола,illiterates_percentage,3.09
2013,Број,KOZARSKA DUBICA,M,illiterates_percentage,0.83
2013,Број,KOZARSKA DUBICA,Ж,illiterates_percentage,5.24
2013,Број,KOSTAJNICA,Оба пола,illiterates_percentage,2.21
2013,Број,KOSTAJNICA,M,illiterates_percentage,0.55
2013,Број,KOSTAJNICA,Ж,illiterates_percentage,3.81
