Year,UNIT_MEASURE,SEX,Value
2015,NUMBER,_T,37390
2015,NUMBER,M,16408
2015,NUMBER,F,20982
2016,NUMBER,_T,34792
2016,NUMBER,M,15115
2016,NUMBER,F,19677
2017,NUMBER,_T,31850
2017,NUMBER,M,13740
2017,NUMBER,F,18110
2018,NUMBER,_T,29006
2018,NUMBER,M,12235
2018,NUMBER,F,16771
2019,NUMBER,_T,26980
2019,NUMBER,M,11102
2019,NUMBER,F,15878
2020,NUMBER,_T,25735
2020,NUMBER,M,10677
2020,NUMBER,F,15058
2021,NUMBER,_T,24807
2021,NUMBER,M,9952
2021,NUMBER,F,14855
2022,NUMBER,_T,24267
2022,NUMBER,M,9478
2022,NUMBER,F,14789
2023,NUMBER,_T,23709
2023,NUMBER,M,9055
2023,NUMBER,F,14654
2024,NUMBER,_T,24051
2024,NUMBER,M,9314
2024,NUMBER,F,14737
