Year,UNIT_MEASURE,type_of_institution,Value
2011,Број,_T,227
2012,Број,_T,246
2013,Број,_T,261
2014,Број,_T,292
2015,Број,_T,320
2016,Број,_T,335
2017,Број,_T,335
2018,Број,_T,362
2019,Број,_T,390
2020,Број,_T,399
2011,Број,public,176
2012,Број,public,180
2013,Број,public,180
2014,Број,public,181
2015,Број,public,192
2016,Број,public,198
2017,Број,public,200
2018,Број,public,205
2019,Број,public,209
2020,Број,public,215
2011,Број,private,51
2012,Број,private,66
2013,Број,private,81
2014,Број,private,111
2015,Број,private,128
2016,Број,private,137
2017,Број,private,135
2018,Број,private,157
2019,Број,private,181
2020,Број,private,184
