Year,UNIT_MEASURE,Administrativna oblast,NO_OF_CHILDREN,Value
2013,Broj,Višegrad,1 dijete,536
2013,Broj,Vlasenica,1 dijete,547
2013,Broj,Vukosavlje,1 dijete,236
2013,Broj,Gacko,1 dijete,325
2013,Broj,Grad Gradiška,1 dijete,3293
2013,Broj,Grad Derventa,1 dijete,1633
2013,Broj,Grad Doboj,1 dijete,4512
2013,Broj,Donji Žabar,1 dijete,205
2013,Broj,Grad Zvornik,1 dijete,2647
2013,Broj,Istočna Ilidža,1 dijete,1017
2013,Broj,Istočni Drvar,1 dijete,4
2013,Broj,Istočni Mostar,1 dijete,8
2013,Broj,Istočni Stari Grad,1 dijete,53
2013,Broj,Istočno Novo Sarajevo,1 dijete,832
2013,Broj,Jezero,1 dijete,41
2013,Broj,Kalinovik,1 dijete,62
2013,Broj,Kneževo,1 dijete,329
2013,Broj,Kozarska Dubica,1 dijete,1478
2013,Broj,Kostajnica,1 dijete,460
2013,Broj,Kotor Varoš,1 dijete,706
2013,Broj,Krupa Na Uni,1 dijete,58
2013,Broj,Kupres,1 dijete,13
2013,Broj,Laktaši,1 dijete,2036
2013,Broj,Lopare,1 dijete,737
2013,Broj,Ljubinje,1 dijete,102
2013,Broj,Milići,1 dijete,405
2013,Broj,Modriča,1 dijete,1389
2013,Broj,Mrkonjić Grad,1 dijete,720
2013,Broj,Nevesinje,1 dijete,478
2013,Broj,Novi Grad,1 dijete,1568
2013,Broj,Novo Goražde,1 dijete,147
2013,Broj,Osmaci,1 dijete,227
2013,Broj,Oštra Luka,1 dijete,79
2013,Broj,Pale,1 dijete,1269
2013,Broj,Pelagićevo,1 dijete,240
2013,Broj,Petrovac,1 dijete,23
2013,Broj,Petrovo,1 dijete,407
2013,Broj,Grad Prijedor,1 dijete,5181
2013,Broj,Prnjavor,1 dijete,1922
2013,Broj,Ribnik,1 dijete,226
2013,Broj,Rogatica,1 dijete,505
2013,Broj,Rudo,1 dijete,299
2013,Broj,Sokolac,1 dijete,646
2013,Broj,Srbac,1 dijete,1066
2013,Broj,Srebrenica,1 dijete,519
2013,Broj,Teslić,1 dijete,1963
2013,Broj,Grad Trebinje,1 dijete,1415
2013,Broj,Trnovo,1 dijete,114
2013,Broj,Ugljevik,1 dijete,797
2013,Broj,Foča,1 dijete,829
2013,Broj,Han Pijesak,1 dijete,200
2013,Broj,Čajniče,1 dijete,203
2013,Broj,Čelinac,1 dijete,640
2013,Broj,Šamac,1 dijete,1094
2013,Broj,Šekovići,1 dijete,241
2013,Broj,Šipovo,1 dijete,367
2013,Broj,Republika Srpska,2 djece,201271
2013,Broj,Grad Banja Luka,2 djece,32459
2013,Broj,Berkovići,2 djece,239
2013,Broj,Grad Bijeljina,2 djece,19232
2013,Broj,Bileća,2 djece,1326
2013,Broj,Bratunac,2 djece,2792
2013,Broj,Brod,2 djece,2580
2013,Broj,Višegrad,2 djece,1848
2013,Broj,Vlasenica,2 djece,1665
2013,Broj,Vukosavlje,2 djece,559
2013,Broj,Gacko,2 djece,1059
2013,Broj,Grad Gradiška,2 djece,8900
2013,Broj,Grad Derventa,2 djece,4439
2013,Broj,Grad Doboj,2 djece,12173
2013,Broj,Donji Žabar,2 djece,593
2013,Broj,Grad Zvornik,2 djece,8830
2013,Broj,Istočna Ilidža,2 djece,2779
2013,Broj,Istočni Drvar,2 djece,10
2013,Broj,Istočni Mostar,2 djece,33
2013,Broj,Istočni Stari Grad,2 djece,228
2013,Broj,Istočno Novo Sarajevo,2 djece,1900
2013,Broj,Jezero,2 djece,148
2013,Broj,Kalinovik,2 djece,319
2013,Broj,Kneževo,2 djece,1392
2013,Broj,Kozarska Dubica,2 djece,4143
2013,Broj,Kostajnica,2 djece,1052
2013,Broj,Kotor Varoš,2 djece,2402
2013,Broj,Krupa Na Uni,2 djece,192
2013,Broj,Kupres,2 djece,40
2013,Broj,Laktaši,2 djece,6184
2013,Broj,Lopare,2 djece,2505
2013,Broj,Ljubinje,2 djece,553
2013,Broj,Milići,2 djece,1495
2013,Broj,Modriča,2 djece,4165
2013,Broj,Mrkonjić Grad,2 djece,2860
2013,Broj,Nevesinje,2 djece,1754
2013,Broj,Novi Grad,2 djece,4409
2013,Broj,Novo Goražde,2 djece,422
2013,Broj,Osmaci,2 djece,797
2013,Broj,Oštra Luka,2 djece,344
2013,Broj,Pale,2 djece,3827
2013,Broj,Pelagićevo,2 djece,665
2013,Broj,Petrovac,2 djece,82
2013,Broj,Petrovo,2 djece,1379
2013,Broj,Grad Prijedor,2 djece,13567
2013,Broj,Prnjavor,2 djece,6044
2013,Broj,Ribnik,2 djece,909
2013,Broj,Rogatica,2 djece,1710
2013,Broj,Rudo,2 djece,1350
2013,Broj,Sokolac,2 djece,2140
2013,Broj,Srbac,2 djece,3026
2013,Broj,Srebrenica,2 djece,1722
2013,Broj,Teslić,2 djece,5747
2013,Broj,Grad Trebinje,2 djece,4888
2013,Broj,Trnovo,2 djece,376
2013,Broj,Ugljevik,2 djece,2613
2013,Broj,Foča,2 djece,2985
2013,Broj,Han Pijesak,2 djece,636
2013,Broj,Čajniče,2 djece,677
2013,Broj,Čelinac,2 djece,2447
2013,Broj,Šamac,2 djece,3141
2013,Broj,Šekovići,2 djece,982
2013,Broj,Šipovo,2 djece,1538
2013,Broj,Republika Srpska,3 djece,75481
2013,Broj,Grad Banja Luka,3 djece,8070
2013,Broj,Berkovići,3 djece,217
2013,Broj,Grad Bijeljina,3 djece,5831
2013,Broj,Bileća,3 djece,977
2013,Broj,Bratunac,3 djece,1431
2013,Broj,Brod,3 djece,1080
2013,Broj,Višegrad,3 djece,712
2013,Broj,Vlasenica,3 djece,713
2013,Broj,Vukosavlje,3 djece,347
2013,Broj,Gacko,3 djece,776
2013,Broj,Grad Gradiška,3 djece,3006
2013,Broj,Grad Derventa,3 djece,1724
2013,Broj,Grad Doboj,3 djece,4326
2013,Broj,Donji Žabar,3 djece,250
2013,Broj,Grad Zvornik,3 djece,4031
2013,Broj,Istočna Ilidža,3 djece,680
2013,Broj,Istočni Drvar,3 djece,3
2013,Broj,Istočni Mostar,3 djece,15
2013,Broj,Istočni Stari Grad,3 djece,83
2013,Broj,Istočno Novo Sarajevo,3 djece,443
2013,Broj,Jezero,3 djece,77
2013,Broj,Kalinovik,3 djece,171
2013,Broj,Kneževo,3 djece,808
2013,Broj,Kozarska Dubica,3 djece,1200
2013,Broj,Kostajnica,3 djece,277
2013,Broj,Kotor Varoš,3 djece,1502
2013,Broj,Krupa Na Uni,3 djece,142
2013,Broj,Kupres,3 djece,27
2013,Broj,Laktaši,3 djece,2018
2013,Broj,Lopare,3 djece,1040
2013,Broj,Ljubinje,3 djece,328
2013,Broj,Milići,3 djece,838
2013,Broj,Modriča,3 djece,1652
2013,Broj,Mrkonjić Grad,3 djece,1314
2013,Broj,Nevesinje,3 djece,1064
2013,Broj,Novi Grad,3 djece,1483
2013,Broj,Novo Goražde,3 djece,192
2013,Broj,Osmaci,3 djece,427
2013,Broj,Oštra Luka,3 djece,266
2013,Broj,Pale,3 djece,1048
2013,Broj,Pelagićevo,3 djece,364
2013,Broj,Petrovac,3 djece,19
2013,Broj,Petrovo,3 djece,379
2013,Broj,Grad Prijedor,3 djece,5168
2013,Broj,Prnjavor,3 djece,2451
2013,Broj,Ribnik,3 djece,572
2013,Broj,Rogatica,3 djece,824
2013,Broj,Rudo,3 djece,604
2013,Broj,Sokolac,3 djece,768
2013,Broj,Srbac,3 djece,1137
2013,Broj,Srebrenica,3 djece,914
2013,Broj,Teslić,3 djece,2955
2013,Broj,Grad Trebinje,3 djece,2131
2013,Broj,Trnovo,3 djece,136
2013,Broj,Ugljevik,3 djece,1018
2013,Broj,Foča,3 djece,1283
