Year,UNIT_MEASURE,Value
2019,Стопа наталитета на 1.000 становника,8.22
2020,Стопа наталитета на 1.000 становника,8.16
2025,Стопа наталитета на 1.000 становника,7.87
2030,Стопа наталитета на 1.000 становника,7.63
2035,Стопа наталитета на 1.000 становника,7.41
2040,Стопа наталитета на 1.000 становника,7.27
2045,Стопа наталитета на 1.000 становника,7.16
2050,Стопа наталитета на 1.000 становника,7.11
2055,Стопа наталитета на 1.000 становника,7.09
2060,Стопа наталитета на 1.000 становника,7.07
2065,Стопа наталитета на 1.000 становника,7.03
2070,Стопа наталитета на 1.000 становника,7.01
