Year,Value,UNIT_MEASURE
2003,5.7,number_birth_rate
2004,6.0,number_birth_rate
2005,5.7,number_birth_rate
2006,5.8,number_birth_rate
2007,6.0,number_birth_rate
2008,5.4,number_birth_rate
2009,5.2,number_birth_rate
2010,4.9,number_birth_rate
2011,4.9,number_birth_rate
2012,4.5,number_birth_rate
2013,4.7,number_birth_rate
2014,5.0,number_birth_rate
2015,5.1,number_birth_rate
2016,4.8,number_birth_rate
2017,5.2,number_birth_rate
2018,5.2,number_birth_rate
2019,5.1,number_birth_rate
2020,3.7,number_birth_rate
2021,4.9,number_birth_rate
2022,4.9,number_birth_rate
2023,4.9,number_birth_rate
