Year,Value,UNIT_MEASURE
2003,6.1,NO_PER_1000_LIVE_BIRTHS
2004,5.7,NO_PER_1000_LIVE_BIRTHS
2005,3.6,NO_PER_1000_LIVE_BIRTHS
2006,4.8,NO_PER_1000_LIVE_BIRTHS
2007,3.8,NO_PER_1000_LIVE_BIRTHS
2008,3.9,NO_PER_1000_LIVE_BIRTHS
2009,4.8,NO_PER_1000_LIVE_BIRTHS
2010,4.3,NO_PER_1000_LIVE_BIRTHS
2011,4.5,NO_PER_1000_LIVE_BIRTHS
2012,3.7,NO_PER_1000_LIVE_BIRTHS
2013,3.5,NO_PER_1000_LIVE_BIRTHS
2014,3.1,NO_PER_1000_LIVE_BIRTHS
2015,2.8,NO_PER_1000_LIVE_BIRTHS
2016,2.4,NO_PER_1000_LIVE_BIRTHS
2017,2.8,NO_PER_1000_LIVE_BIRTHS
2018,1.8,NO_PER_1000_LIVE_BIRTHS
2019,1.6,NO_PER_1000_LIVE_BIRTHS
2020,4.7,NO_PER_1000_LIVE_BIRTHS
2021,1.8,NO_PER_1000_LIVE_BIRTHS
2022,4.4,NO_PER_1000_LIVE_BIRTHS
2023,2.9,NO_PER_1000_LIVE_BIRTHS
2024,3.7,NO_PER_1000_LIVE_BIRTHS
