Year,Value,UNIT_MEASURE
2003,10.9,crude_death_rate_1000
2004,11.0,crude_death_rate_1000
2005,11.6,crude_death_rate_1000
2006,11.2,crude_death_rate_1000
2007,12.0,crude_death_rate_1000
2008,11.4,crude_death_rate_1000
2009,11.7,crude_death_rate_1000
2010,11.5,crude_death_rate_1000
2011,11.6,crude_death_rate_1000
2012,11.8,crude_death_rate_1000
2013,11.9,crude_death_rate_1000
2014,12.3,crude_death_rate_1000
2015,13.0,crude_death_rate_1000
2016,12.1,crude_death_rate_1000
2017,12.7,crude_death_rate_1000
2018,12.9,crude_death_rate_1000
2019,13.2,crude_death_rate_1000
2020,14.6,crude_death_rate_1000
2021,16.8,crude_death_rate_1000
2022,14.5,crude_death_rate_1000
2023,12.1,crude_death_rate_1000
2024,12.7,crude_death_rate_1000
