Year,Value,UNIT_MEASURE
1996,108.0,boys_to_girls
1997,109.0,boys_to_girls
1998,109.9,boys_to_girls
1999,104.1,boys_to_girls
2000,106.5,boys_to_girls
2001,106.1,boys_to_girls
2002,106.6,boys_to_girls
2003,107.1,boys_to_girls
2004,107.9,boys_to_girls
2005,105.6,boys_to_girls
2006,103.4,boys_to_girls
2007,106.0,boys_to_girls
2008,106.6,boys_to_girls
2009,111.0,boys_to_girls
2010,104.5,boys_to_girls
2011,110.0,boys_to_girls
2012,104.1,boys_to_girls
2013,106.6,boys_to_girls
2014,108.0,boys_to_girls
2015,107.2,boys_to_girls
2016,109.1,boys_to_girls
2017,109.7,boys_to_girls
2018,109.5,boys_to_girls
2019,112.4,boys_to_girls
