Year,Value,UNIT_MEASURE
2003,1.33,children_pre_woman
2004,1.35,children_pre_woman
2005,1.31,children_pre_woman
2006,1.34,children_pre_woman
2007,1.3,children_pre_woman
2008,1.32,children_pre_woman
2009,1.39,children_pre_woman
2010,1.33,children_pre_woman
2011,1.27,children_pre_woman
2012,1.35,children_pre_woman
2013,1.3,children_pre_woman
2014,1.28,children_pre_woman
2015,1.3,children_pre_woman
2016,1.32,children_pre_woman
2017,1.31,children_pre_woman
2018,1.36,children_pre_woman
2019,1.34,children_pre_woman
2020,1.38,children_pre_woman
2020,1.41,children_pre_woman
