Year,Pol,UNIT_MEASURE,Value
2003,M,Starost,67.7
2004,M,Starost,67.1
2005,M,Starost,67.0
2006,M,Starost,67.0
2007,M,Starost,67.7
2008,M,Starost,68.3
2009,M,Starost,69.0
2010,M,Starost,69.4
2011,M,Starost,69.6
2012,M,Starost,70.1
2013,M,Starost,70.1
2014,M,Starost,70.5
2015,M,Starost,71.0
2016,M,Starost,71.0
2017,M,Starost,71.6
2018,M,Starost,71.6
2019,M,Starost,71.7
2020,M,Starost,72.0
2021,M,Starost,72.2
2022,M,Starost,72.1
2003,Ž,Starost,72.8
2004,Ž,Starost,72.5
2005,Ž,Starost,73.0
2006,Ž,Starost,73.4
2007,Ž,Starost,74.4
2008,Ž,Starost,74.3
2009,Ž,Starost,74.4
2010,Ž,Starost,75.0
2011,Ž,Starost,75.5
2012,Ž,Starost,76.1
2013,Ž,Starost,76.0
2014,Ž,Starost,76.1
2015,Ž,Starost,76.5
2016,Ž,Starost,76.9
2017,Ž,Starost,77.4
2018,Ž,Starost,77.4
2019,Ž,Starost,77.5
2020,Ž,Starost,77.9
2021,Ž,Starost,77.7
2022,Ž,Starost,77.8
