Year,UNIT_MEASURE,TYPE_OF_USERS,Value
2016,NUMBER,total,191604
2017,NUMBER,total,184830
2018,NUMBER,total,179164
2019,NUMBER,total,171280
2020,NUMBER,total,167786
2016,NUMBER,underage_users,53648
2017,NUMBER,underage_users,49035
2018,NUMBER,underage_users,48462
2019,NUMBER,underage_users,47135
2020,NUMBER,underage_users,41066
2016,NUMBER,adult_users,137956
2017,NUMBER,adult_users,135795
2018,NUMBER,adult_users,130702
2019,NUMBER,adult_users,124145
2020,NUMBER,adult_users,126720
2021,NUMBER,total,147055
2021,NUMBER,underage_users,35089
2021,NUMBER,adult_users,111966
2022,NUMBER,total,136613
2022,NUMBER,underage_users,31661
2022,NUMBER,adult_users,104952
2023,NUMBER,total,129326
2023,NUMBER,underage_users,31632
2023,NUMBER,adult_users,97694
2024,NUMBER,total,122274
2024,NUMBER,underage_users,28936
2024,NUMBER,adult_users,93338
