Year,UNIT_MEASURE,Value
2003,NO_PER_1000_LIVE_BIRTHS,6.1
2004,NO_PER_1000_LIVE_BIRTHS,5.7
2005,NO_PER_1000_LIVE_BIRTHS,3.6
2006,NO_PER_1000_LIVE_BIRTHS,4.8
2007,NO_PER_1000_LIVE_BIRTHS,3.8
2008,NO_PER_1000_LIVE_BIRTHS,3.9
2009,NO_PER_1000_LIVE_BIRTHS,4.8
2010,NO_PER_1000_LIVE_BIRTHS,4.3
2011,NO_PER_1000_LIVE_BIRTHS,4.5
2012,NO_PER_1000_LIVE_BIRTHS,3.7
2013,NO_PER_1000_LIVE_BIRTHS,3.5
2014,NO_PER_1000_LIVE_BIRTHS,3.1
2015,NO_PER_1000_LIVE_BIRTHS,2.8
2016,NO_PER_1000_LIVE_BIRTHS,2.4
2017,NO_PER_1000_LIVE_BIRTHS,2.8
2018,NO_PER_1000_LIVE_BIRTHS,1.8
2019,NO_PER_1000_LIVE_BIRTHS,1.6
2020,NO_PER_1000_LIVE_BIRTHS,4.7
2021,NO_PER_1000_LIVE_BIRTHS,1.8
2022,NO_PER_1000_LIVE_BIRTHS,4.4
