Year,UNIT_MEASURE,Value
2003,children_pre_woman,1.33
2004,children_pre_woman,1.35
2005,children_pre_woman,1.31
2006,children_pre_woman,1.34
2007,children_pre_woman,1.3
2008,children_pre_woman,1.32
2009,children_pre_woman,1.39
2010,children_pre_woman,1.33
2011,children_pre_woman,1.27
2012,children_pre_woman,1.35
2013,children_pre_woman,1.3
2014,children_pre_woman,1.28
2015,children_pre_woman,1.3
2016,children_pre_woman,1.32
2017,children_pre_woman,1.31
2018,children_pre_woman,1.36
2019,children_pre_woman,1.34
2020,children_pre_woman,1.38
2021,children_pre_woman,1.41
2022,children_pre_woman,1.41
2023,children_pre_woman,1.45
2024,children_pre_woman,1.47
