Year,UNIT_MEASURE,Value
2003,crude_death_rate_1000,10.9
2004,crude_death_rate_1000,11.0
2005,crude_death_rate_1000,11.6
2006,crude_death_rate_1000,11.2
2007,crude_death_rate_1000,12.0
2008,crude_death_rate_1000,11.4
2009,crude_death_rate_1000,11.7
2010,crude_death_rate_1000,11.5
2011,crude_death_rate_1000,11.6
2012,crude_death_rate_1000,11.8
2013,crude_death_rate_1000,11.9
2014,crude_death_rate_1000,12.3
2015,crude_death_rate_1000,13.0
2016,crude_death_rate_1000,12.1
2017,crude_death_rate_1000,12.7
2018,crude_death_rate_1000,12.9
2019,crude_death_rate_1000,13.2
2020,crude_death_rate_1000,14.6
