Year,UNIT_MEASURE,ADMIN_AREA,SEX,NUMBER_OF_HOUSEHOLDS_BY_HOUSEHOLD_SIZE,Value
2013,NUMBER,celinac,F,single_household,951.0
2013,NUMBER,samac,_T,single_household,1406.0
2013,NUMBER,sekovici,M,single_household,708.0
2013,NUMBER,sipovo,F,single_household,839.0
2013,NUMBER,republika_srpska,_T,2_members,107130.0
2013,NUMBER,grad_banja_luka,M,2_members,17243.0
2013,NUMBER,berkovici,F,2_members,166.0
2013,NUMBER,grad_bijeljina,_T,2_members,8272.0
2013,NUMBER,bileca,M,2_members,719.0
2013,NUMBER,bratunac,F,2_members,1345.0
2013,NUMBER,brod,_T,2_members,1439.0
2013,NUMBER,visegrad,M,2_members,1172.0
2013,NUMBER,vlasenica,F,2_members,1001.0
2013,NUMBER,vukosavlje,_T,2_members,425.0
2013,NUMBER,gacko,M,2_members,622.0
2013,NUMBER,grad_gradiska,F,2_members,4438.0
2013,NUMBER,grad_derventa,_T,2_members,2598.0
2013,NUMBER,grad_doboj,M,2_members,7242.0
2013,NUMBER,donji_zabar,F,2_members,290.0
2013,NUMBER,grad_zvornik,_T,2_members,4288.0
2013,NUMBER,istocna_ilidza,M,2_members,1316.0
2013,NUMBER,istocni_drvar,F,2_members,7.0
2013,NUMBER,istocni_mostar,_T,2_members,15.0
2013,NUMBER,istocni_stari_grad,M,2_members,146.0
2013,NUMBER,istocno_novo_sarajevo,F,2_members,1011.0
2013,NUMBER,jezero,_T,2_members,89.0
2013,NUMBER,kalinovik,M,2_members,213.0
2013,NUMBER,knezevo,F,2_members,937.0
2013,NUMBER,kozarska_dubica,_T,2_members,2021.0
2013,NUMBER,kostajnica,M,2_members,477.0
2013,NUMBER,kotor_varos,F,2_members,1358.0
2013,NUMBER,krupa_na_uni,_T,2_members,128.0
2013,NUMBER,kupres,M,2_members,48.0
2013,NUMBER,laktasi,F,2_members,2768.0
2013,NUMBER,lopare,_T,2_members,1261.0
2013,NUMBER,ljubinje,M,2_members,254.0
2013,NUMBER,milici,F,2_members,859.0
2013,NUMBER,modrica,_T,2_members,2332.0
2013,NUMBER,mrkonjic_grad,M,2_members,1806.0
2013,NUMBER,nevesinje,F,2_members,939.0
2013,NUMBER,novi_grad,_T,2_members,2390.0
2013,NUMBER,novo_gorazde,M,2_members,288.0
2013,NUMBER,osmaci,F,2_members,372.0
2013,NUMBER,ostra_luka,_T,2_members,243.0
2013,NUMBER,pale,M,2_members,1890.0
2013,NUMBER,pelagicevo,F,2_members,516.0
2013,NUMBER,petrovac,_T,2_members,35.0
2013,NUMBER,petrovo,M,2_members,760.0
2013,NUMBER,grad_prijedor,F,2_members,7125.0
2013,NUMBER,prnjavor,_T,2_members,3253.0
2013,NUMBER,ribnik,M,2_members,673.0
2013,NUMBER,rogatica,F,2_members,1120.0
2013,NUMBER,rudo,_T,2_members,851.0
2013,NUMBER,sokolac,M,2_members,1227.0
2013,NUMBER,srbac,F,2_members,1729.0
2013,NUMBER,srebrenica,_T,2_members,858.0
2013,NUMBER,teslic,M,2_members,3602.0
2013,NUMBER,grad_trebinje,F,2_members,2317.0
2013,NUMBER,trnovo,_T,2_members,250.0
2013,NUMBER,ugljevik,M,2_members,1118.0
2013,NUMBER,foca,F,2_members,1877.0
2013,NUMBER,han_pijesak,_T,2_members,439.0
2013,NUMBER,cajnice,M,2_members,442.0
2013,NUMBER,celinac,F,2_members,1260.0
2013,NUMBER,samac,_T,2_members,1408.0
2013,NUMBER,sekovici,M,2_members,783.0
2013,NUMBER,sipovo,F,2_members,1059.0
2013,NUMBER,republika_srpska,_T,3_members,79155.0
2013,NUMBER,grad_banja_luka,M,3_members,14267.0
2013,NUMBER,berkovici,F,3_members,92.0
2013,NUMBER,grad_bijeljina,_T,3_members,6586.0
2013,NUMBER,bileca,M,3_members,620.0
2013,NUMBER,bratunac,F,3_members,1137.0
2013,NUMBER,brod,_T,3_members,1107.0
2013,NUMBER,visegrad,M,3_members,724.0
2013,NUMBER,vlasenica,F,3_members,747.0
2013,NUMBER,vukosavlje,_T,3_members,280.0
2013,NUMBER,gacko,M,3_members,561.0
2013,NUMBER,grad_gradiska,F,3_members,3140.0
2013,NUMBER,grad_derventa,_T,3_members,1688.0
2013,NUMBER,grad_doboj,M,3_members,4956.0
2013,NUMBER,donji_zabar,F,3_members,178.0
2013,NUMBER,grad_zvornik,_T,3_members,3400.0
2013,NUMBER,istocna_ilidza,M,3_members,1075.0
2013,NUMBER,istocni_drvar,F,3_members,6.0
2013,NUMBER,istocni_mostar,_T,3_members,12.0
2013,NUMBER,istocni_stari_grad,M,3_members,75.0
2013,NUMBER,istocno_novo_sarajevo,F,3_members,813.0
2013,NUMBER,jezero,_T,3_members,75.0
2013,NUMBER,kalinovik,M,3_members,136.0
2013,NUMBER,knezevo,F,3_members,554.0
2013,NUMBER,kozarska_dubica,_T,3_members,1351.0
2013,NUMBER,kostajnica,M,3_members,384.0
2013,NUMBER,kotor_varos,F,3_members,1079.0
2013,NUMBER,krupa_na_uni,_T,3_members,84.0
2013,NUMBER,kupres,M,3_members,16.0
2013,NUMBER,laktasi,F,3_members,2241.0
2013,NUMBER,lopare,_T,3_members,908.0
2013,NUMBER,ljubinje,M,3_members,234.0
2013,NUMBER,milici,F,3_members,709.0
2013,NUMBER,modrica,_T,3_members,1567.0
2013,NUMBER,mrkonjic_grad,M,3_members,1218.0
2013,NUMBER,nevesinje,F,3_members,701.0
