Year,UNIT_MEASURE,Teritory,SEX,Education,Value
2013,NUMBER,REPUBLIKA SRPSKA,_T,_T,1005535
2013,NUMBER,REPUBLIKA SRPSKA,M,_T,487292
2013,NUMBER,REPUBLIKA SRPSKA,F,_T,518243
2013,NUMBER,BANJA LUKA,_T,_T,153659
2013,NUMBER,BANJA LUKA,M,_T,73026
2013,NUMBER,BANJA LUKA,F,_T,80633
2013,NUMBER,BERKOVICI,_T,_T,1684
2013,NUMBER,BERKOVICI,M,_T,845
2013,NUMBER,BERKOVICI,F,_T,839
2013,NUMBER,BIJELJINA,_T,_T,88664
2013,NUMBER,BIJELJINA,M,_T,42935
2013,NUMBER,BIJELJINA,F,_T,45729
2013,NUMBER,BILECA,_T,_T,9036
2013,NUMBER,BILECA,M,_T,4536
2013,NUMBER,BILECA,F,_T,4500
2013,NUMBER,BRATUNAC,_T,_T,15912
2013,NUMBER,BRATUNAC,M,_T,7785
2013,NUMBER,BRATUNAC,F,_T,8127
2013,NUMBER,BROD,_T,_T,13506
2013,NUMBER,BROD,M,_T,6510
2013,NUMBER,BROD,F,_T,6996
2013,NUMBER,VISEGRAD,_T,_T,8950
2013,NUMBER,VISEGRAD,M,_T,4259
2013,NUMBER,VISEGRAD,F,_T,4691
2013,NUMBER,VLASENICA,_T,_T,9131
2013,NUMBER,VLASENICA,M,_T,4393
2013,NUMBER,VLASENICA,F,_T,4738
2013,NUMBER,VUKOSAVLJE,_T,_T,3701
2013,NUMBER,VUKOSAVLJE,M,_T,1852
2013,NUMBER,VUKOSAVLJE,F,_T,1849
2013,NUMBER,GACKO,_T,_T,7337
2013,NUMBER,GACKO,M,_T,3691
2013,NUMBER,GACKO,F,_T,3646
2013,NUMBER,GRADISKA,_T,_T,42640
2013,NUMBER,GRADISKA,M,_T,20635
2013,NUMBER,GRADISKA,F,_T,22005
2013,NUMBER,DERVENTA,_T,_T,22345
2013,NUMBER,DERVENTA,M,_T,10830
2013,NUMBER,DERVENTA,F,_T,11515
2013,NUMBER,DOBOJ,_T,_T,58805
2013,NUMBER,DOBOJ,M,_T,28207
2013,NUMBER,DOBOJ,F,_T,30598
2013,NUMBER,DONJI ZABAR,_T,_T,3139
2013,NUMBER,DONJI ZABAR,M,_T,1578
2013,NUMBER,DONJI ZABAR,F,_T,1561
2013,NUMBER,ZVORNIK,_T,_T,45697
2013,NUMBER,ZVORNIK,M,_T,22384
2013,NUMBER,ZVORNIK,F,_T,23313
2013,NUMBER,ISTOCNA ILIDZA,_T,_T,12477
2013,NUMBER,ISTOCNA ILIDZA,M,_T,5939
2013,NUMBER,ISTOCNA ILIDZA,F,_T,6538
2013,NUMBER,ISTOCNI DRVAR,_T,_T,65
2013,NUMBER,ISTOCNI DRVAR,M,_T,43
2013,NUMBER,ISTOCNI DRVAR,F,_T,22
2013,NUMBER,ISTOCNI MOSTAR,_T,_T,213
2013,NUMBER,ISTOCNI MOSTAR,M,_T,120
2013,NUMBER,ISTOCNI MOSTAR,F,_T,93
2013,NUMBER,ISTOCNI STARI GRAD,_T,_T,1004
2013,NUMBER,ISTOCNI STARI GRAD,M,_T,488
2013,NUMBER,ISTOCNI STARI GRAD,F,_T,516
2013,NUMBER,ISTOCNO NOVO SARAJEVO,_T,_T,8824
2013,NUMBER,ISTOCNO NOVO SARAJEVO,M,_T,4165
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,_T,4659
2013,NUMBER,JEZERO,_T,_T,902
2013,NUMBER,JEZERO,M,_T,465
2013,NUMBER,JEZERO,F,_T,437
2013,NUMBER,KALINOVIK,_T,_T,1769
2013,NUMBER,KALINOVIK,M,_T,871
2013,NUMBER,KALINOVIK,F,_T,898
2013,NUMBER,KNEZEVO,_T,_T,8016
2013,NUMBER,KNEZEVO,M,_T,3937
2013,NUMBER,KNEZEVO,F,_T,4079
2013,NUMBER,KOZARSKA DUBICA,_T,_T,18231
2013,NUMBER,KOZARSKA DUBICA,M,_T,8845
2013,NUMBER,KOZARSKA DUBICA,F,_T,9386
2013,NUMBER,KOSTAJNICA,_T,_T,4975
2013,NUMBER,KOSTAJNICA,M,_T,2437
2013,NUMBER,KOSTAJNICA,F,_T,2538
2013,NUMBER,KOTOR VAROS,_T,_T,15368
2013,NUMBER,KOTOR VAROS,M,_T,7454
2013,NUMBER,KOTOR VAROS,F,_T,7914
2013,NUMBER,KRUPA NA UNI,_T,_T,1381
2013,NUMBER,KRUPA NA UNI,M,_T,753
2013,NUMBER,KRUPA NA UNI,F,_T,628
2013,NUMBER,KUPRES,_T,_T,266
2013,NUMBER,KUPRES,M,_T,139
2013,NUMBER,KUPRES,F,_T,127
2013,NUMBER,LAKTASI,_T,_T,28847
2013,NUMBER,LAKTASI,M,_T,14165
2013,NUMBER,LAKTASI,F,_T,14682
2013,NUMBER,LOPARE,_T,_T,12938
2013,NUMBER,LOPARE,M,_T,6467
2013,NUMBER,LOPARE,F,_T,6471
2013,NUMBER,LJUBINJE,_T,_T,2898
2013,NUMBER,LJUBINJE,M,_T,1423
2013,NUMBER,LJUBINJE,F,_T,1475
2013,NUMBER,MILICI,_T,_T,9001
2013,NUMBER,MILICI,M,_T,4512
2013,NUMBER,MILICI,F,_T,4489
2013,NUMBER,MODRICA,_T,_T,21096
2013,NUMBER,MODRICA,M,_T,10240
2013,NUMBER,MODRICA,F,_T,10856
2013,NUMBER,MRKONJIC GRAD,_T,_T,13701
2013,NUMBER,MRKONJIC GRAD,M,_T,6548
2013,NUMBER,MRKONJIC GRAD,F,_T,7153
2013,NUMBER,NEVESINJE,_T,_T,10674
2013,NUMBER,NEVESINJE,M,_T,5289
2013,NUMBER,NEVESINJE,F,_T,5385
2013,NUMBER,NOVI GRAD,_T,_T,22126
2013,NUMBER,NOVI GRAD,M,_T,10935
2013,NUMBER,NOVI GRAD,F,_T,11191
2013,NUMBER,NOVO GORAZDE,_T,_T,2637
2013,NUMBER,NOVO GORAZDE,M,_T,1374
2013,NUMBER,NOVO GORAZDE,F,_T,1263
2013,NUMBER,OSMACI,_T,_T,4710
2013,NUMBER,OSMACI,M,_T,2343
2013,NUMBER,OSMACI,F,_T,2367
2013,NUMBER,OSTRA LUKA,_T,_T,2305
2013,NUMBER,OSTRA LUKA,M,_T,1174
2013,NUMBER,OSTRA LUKA,F,_T,1131
2013,NUMBER,PALE,_T,_T,17661
2013,NUMBER,PALE,M,_T,8344
2013,NUMBER,PALE,F,_T,9317
2013,NUMBER,PELAGICEVO,_T,_T,3895
2013,NUMBER,PELAGICEVO,M,_T,1917
2013,NUMBER,PELAGICEVO,F,_T,1978
2013,NUMBER,PETROVAC,_T,_T,302
2013,NUMBER,PETROVAC,M,_T,142
2013,NUMBER,PETROVAC,F,_T,160
2013,NUMBER,PETROVO,_T,_T,5575
2013,NUMBER,PETROVO,M,_T,2673
2013,NUMBER,PETROVO,F,_T,2902
2013,NUMBER,PRIJEDOR,_T,_T,70732
2013,NUMBER,PRIJEDOR,M,_T,34162
2013,NUMBER,PRIJEDOR,F,_T,36570
2013,NUMBER,PRNJAVOR,_T,_T,29403
2013,NUMBER,PRNJAVOR,M,_T,14149
2013,NUMBER,PRNJAVOR,F,_T,15254
2013,NUMBER,RIBNIK,_T,_T,5058
2013,NUMBER,RIBNIK,M,_T,2498
2013,NUMBER,RIBNIK,F,_T,2560
2013,NUMBER,ROGATICA,_T,_T,8918
2013,NUMBER,ROGATICA,M,_T,4351
2013,NUMBER,ROGATICA,F,_T,4567
2013,NUMBER,RUDO,_T,_T,6682
2013,NUMBER,RUDO,M,_T,3367
2013,NUMBER,RUDO,F,_T,3315
2013,NUMBER,SOKOLAC,_T,_T,10049
2013,NUMBER,SOKOLAC,M,_T,4907
2013,NUMBER,SOKOLAC,F,_T,5142
2013,NUMBER,SRBAC,_T,_T,14551
2013,NUMBER,SRBAC,M,_T,7089
2013,NUMBER,SRBAC,F,_T,7462
2013,NUMBER,SREBRENICA,_T,_T,10212
2013,NUMBER,SREBRENICA,M,_T,4952
2013,NUMBER,SREBRENICA,F,_T,5260
2013,NUMBER,TESLIC,_T,_T,31305
2013,NUMBER,TESLIC,M,_T,14814
2013,NUMBER,TESLIC,F,_T,16491
2013,NUMBER,TREBINJE,_T,_T,23982
2013,NUMBER,TREBINJE,M,_T,11546
2013,NUMBER,TREBINJE,F,_T,12436
2013,NUMBER,TRNOVO,_T,_T,1784
2013,NUMBER,TRNOVO,M,_T,848
2013,NUMBER,TRNOVO,F,_T,936
2013,NUMBER,UGLJEVIK,_T,_T,12964
2013,NUMBER,UGLJEVIK,M,_T,6513
2013,NUMBER,UGLJEVIK,F,_T,6451
2013,NUMBER,FOCA,_T,_T,15468
2013,NUMBER,FOCA,M,_T,7768
2013,NUMBER,FOCA,F,_T,7700
2013,NUMBER,HAN PIJESAK,_T,_T,3060
2013,NUMBER,HAN PIJESAK,M,_T,1429
2013,NUMBER,HAN PIJESAK,F,_T,1631
2013,NUMBER,CAJNICE,_T,_T,4065
2013,NUMBER,CAJNICE,M,_T,2040
2013,NUMBER,CAJNICE,F,_T,2025
2013,NUMBER,CELINAC,_T,_T,12852
2013,NUMBER,CELINAC,M,_T,6297
2013,NUMBER,CELINAC,F,_T,6555
2013,NUMBER,SAMAC,_T,_T,14308
2013,NUMBER,SAMAC,M,_T,6877
2013,NUMBER,SAMAC,F,_T,7431
2013,NUMBER,SEKOVICI,_T,_T,5525
2013,NUMBER,SEKOVICI,M,_T,2710
2013,NUMBER,SEKOVICI,F,_T,2815
2013,NUMBER,SIPOVO,_T,_T,8554
2013,NUMBER,SIPOVO,M,_T,4307
2013,NUMBER,SIPOVO,F,_T,4247
2013,NUMBER,REPUBLIKA SRPSKA,_T,no_education,58651
2013,NUMBER,REPUBLIKA SRPSKA,M,no_education,9370
2013,NUMBER,REPUBLIKA SRPSKA,F,no_education,49281
2013,NUMBER,BANJA LUKA,_T,no_education,5673
2013,NUMBER,BANJA LUKA,M,no_education,921
2013,NUMBER,BANJA LUKA,F,no_education,4752
