Year,SEX,UNIT_MEASURE,Value
2003,M,Age,39.4
2004,M,Age,39.4
2005,M,Age,40.1
2006,M,Age,41.1
2007,M,Age,40.6
2008,M,Age,39.3
2009,M,Age,39.4
2010,M,Age,40.4
2011,M,Age,40.6
2012,M,Age,41.8
2013,M,Age,42.2
2014,M,Age,42.1
2015,M,Age,42.4
2016,M,Age,41.7
2017,M,Age,42.7
2018,M,Age,42.9
2019,M,Age,42.9
2020,M,Age,43.3
2021,M,Age,42.5
2003,F,Age,36.3
2004,F,Age,36.1
2005,F,Age,37.1
2006,F,Age,37.0
2007,F,Age,37.0
2008,F,Age,35.7
2009,F,Age,35.9
2010,F,Age,36.7
2011,F,Age,36.6
2012,F,Age,37.9
2013,F,Age,38.3
2014,F,Age,38.3
2015,F,Age,39.9
2016,F,Age,38.0
2017,F,Age,39.2
2018,F,Age,39.5
2019,F,Age,38.9
2020,F,Age,39.5
2021,F,Age,39.2
