Year,UNIT_MEASURE,Teritory,SEX,BIRTHS,Value
2013,NUMBER,samac,F,did_not_give_birth,1848
2013,NUMBER,sekovici,F,did_not_give_birth,667
2013,NUMBER,sipovo,F,did_not_give_birth,974
2013,NUMBER,republika_srpska,F,one_child,69805
2013,NUMBER,grad_banja_luka,F,one_child,13545
2013,NUMBER,berkovici,F,one_child,72
2013,NUMBER,grad_bijeljina,F,one_child,6922
2013,NUMBER,bileca,F,one_child,374
2013,NUMBER,bratunac,F,one_child,856
2013,NUMBER,brod,F,one_child,987
2013,NUMBER,visegrad,F,one_child,536
2013,NUMBER,vlasenica,F,one_child,547
2013,NUMBER,vukosavlje,F,one_child,236
2013,NUMBER,gacko,F,one_child,325
2013,NUMBER,grad_gradiska,F,one_child,3293
2013,NUMBER,grad_derventa,F,one_child,1633
2013,NUMBER,grad_doboj,F,one_child,4512
2013,NUMBER,donji_zabar,F,one_child,205
2013,NUMBER,grad_zvornik,F,one_child,2647
2013,NUMBER,istocna_ilidza,F,one_child,1017
2013,NUMBER,istocni_drvar,F,one_child,4
2013,NUMBER,istocni_mostar,F,one_child,8
2013,NUMBER,istocni_stari_grad,F,one_child,53
2013,NUMBER,istocno_novo_sarajevo,F,one_child,832
2013,NUMBER,jezero,F,one_child,41
2013,NUMBER,kalinovik,F,one_child,62
2013,NUMBER,knezevo,F,one_child,329
2013,NUMBER,kozarska_dubica,F,one_child,1478
2013,NUMBER,kostajnica,F,one_child,460
2013,NUMBER,kotor_varos,F,one_child,706
2013,NUMBER,krupa_na_uni,F,one_child,58
2013,NUMBER,kupres,F,one_child,13
2013,NUMBER,laktasi,F,one_child,2036
2013,NUMBER,lopare,F,one_child,737
2013,NUMBER,ljubinje,F,one_child,102
2013,NUMBER,milici,F,one_child,405
2013,NUMBER,modrica,F,one_child,1389
2013,NUMBER,mrkonjic_grad,F,one_child,720
2013,NUMBER,nevesinje,F,one_child,478
2013,NUMBER,novi_grad,F,one_child,1568
2013,NUMBER,novo_gorazde,F,one_child,147
2013,NUMBER,osmaci,F,one_child,227
2013,NUMBER,ostra_luka,F,one_child,79
2013,NUMBER,pale,F,one_child,1269
2013,NUMBER,pelagicevo,F,one_child,240
2013,NUMBER,petrovac,F,one_child,23
2013,NUMBER,petrovo,F,one_child,407
2013,NUMBER,grad_prijedor,F,one_child,5181
2013,NUMBER,prnjavor,F,one_child,1922
2013,NUMBER,ribnik,F,one_child,226
2013,NUMBER,rogatica,F,one_child,505
2013,NUMBER,rudo,F,one_child,299
2013,NUMBER,sokolac,F,one_child,646
2013,NUMBER,srbac,F,one_child,1066
2013,NUMBER,srebrenica,F,one_child,519
2013,NUMBER,teslic,F,one_child,1963
2013,NUMBER,grad_trebinje,F,one_child,1415
2013,NUMBER,trnovo,F,one_child,114
