Year,UNIT_MEASURE,Administrativna oblast,Spol,Literacy,Value
2013,Broj,Nevesinje,Ž,Ukupno,5731.0
2013,Broj,Novi Grad,Oba spola,Ukupno,23292.0
2013,Broj,Novi Grad,M,Ukupno,11576.0
2013,Broj,Novi Grad,Ž,Ukupno,11716.0
2013,Broj,Novo Goražde,Oba spola,Ukupno,2718.0
2013,Broj,Novo Goražde,M,Ukupno,1408.0
2013,Broj,Novo Goražde,Ž,Ukupno,1310.0
2013,Broj,Osmaci,Oba spola,Ukupno,5021.0
2013,Broj,Osmaci,M,Ukupno,2498.0
2013,Broj,Osmaci,Ž,Ukupno,2523.0
2013,Broj,Oštra Luka,Oba spola,Ukupno,2468.0
2013,Broj,Oštra Luka,M,Ukupno,1264.0
2013,Broj,Oštra Luka,Ž,Ukupno,1204.0
2013,Broj,Pale,Oba spola,Ukupno,18603.0
2013,Broj,Pale,M,Ukupno,8848.0
2013,Broj,Pale,Ž,Ukupno,9755.0
2013,Broj,Pelagićevo,Oba spola,Ukupno,4076.0
2013,Broj,Pelagićevo,M,Ukupno,2009.0
2013,Broj,Pelagićevo,Ž,Ukupno,2067.0
2013,Broj,Petrovac,Oba spola,Ukupno,323.0
2013,Broj,Petrovac,M,Ukupno,151.0
2013,Broj,Petrovac,Ž,Ukupno,172.0
2013,Broj,Petrovo,Oba spola,Ukupno,5831.0
2013,Broj,Petrovo,M,Ukupno,2793.0
2013,Broj,Petrovo,Ž,Ukupno,3038.0
2013,Broj,Grad Prijedor,Oba spola,Ukupno,74375.0
2013,Broj,Grad Prijedor,M,Ukupno,36023.0
2013,Broj,Grad Prijedor,Ž,Ukupno,38352.0
2013,Broj,Prnjavor,Oba spola,Ukupno,31231.0
2013,Broj,Prnjavor,M,Ukupno,15075.0
2013,Broj,Prnjavor,Ž,Ukupno,16156.0
2013,Broj,Ribnik,Oba spola,Ukupno,5365.0
2013,Broj,Ribnik,M,Ukupno,2649.0
2013,Broj,Ribnik,Ž,Ukupno,2716.0
2013,Broj,Rogatica,Oba spola,Ukupno,9327.0
2013,Broj,Rogatica,M,Ukupno,4558.0
2013,Broj,Rogatica,Ž,Ukupno,4769.0
2013,Broj,Rudo,Oba spola,Ukupno,6979.0
2013,Broj,Rudo,M,Ukupno,3524.0
2013,Broj,Rudo,Ž,Ukupno,3455.0
2013,Broj,Sokolac,Oba spola,Ukupno,10588.0
2013,Broj,Sokolac,M,Ukupno,5194.0
2013,Broj,Sokolac,Ž,Ukupno,5394.0
2013,Broj,Srbac,Oba spola,Ukupno,15404.0
2013,Broj,Srbac,M,Ukupno,7537.0
2013,Broj,Srbac,Ž,Ukupno,7867.0
2013,Broj,Srebrenica,Oba spola,Ukupno,10715.0
2013,Broj,Srebrenica,M,Ukupno,5225.0
2013,Broj,Srebrenica,Ž,Ukupno,5490.0
2013,Broj,Teslić,Oba spola,Ukupno,33369.0
2013,Broj,Teslić,M,Ukupno,15840.0
