Year,UNIT_MEASURE,Teritory,Spol,Starosna dob,Value
2013,Broj,NEVESINJE,Oba spola,0-4,559
2013,Broj,NEVESINJE,M,0-4,299
2013,Broj,NEVESINJE,Ž,0-4,260
2013,Broj,NOVI GRAD,Oba spola,0-4,935
2013,Broj,NOVI GRAD,M,0-4,476
2013,Broj,NOVI GRAD,Ž,0-4,459
2013,Broj,NOVO GORAZDE,Oba spola,0-4,95
2013,Broj,NOVO GORAZDE,M,0-4,50
2013,Broj,NOVO GORAZDE,Ž,0-4,45
2013,Broj,OSMACI,Oba spola,0-4,261
2013,Broj,OSMACI,M,0-4,139
2013,Broj,OSMACI,Ž,0-4,122
2013,Broj,OSTRA LUKA,Oba spola,0-4,100
2013,Broj,OSTRA LUKA,M,0-4,53
2013,Broj,OSTRA LUKA,Ž,0-4,47
2013,Broj,PELAGICEVO,Oba spola,0-4,116
2013,Broj,PELAGICEVO,M,0-4,57
2013,Broj,PELAGICEVO,Ž,0-4,59
2013,Broj,PETROVAC,Oba spola,0-4,17
2013,Broj,PETROVAC,M,0-4,10
2013,Broj,PETROVAC,Ž,0-4,7
2013,Broj,PETROVO,Oba spola,0-4,258
2013,Broj,PETROVO,M,0-4,143
2013,Broj,PETROVO,Ž,0-4,115
2013,Broj,GRAD PRIJEDOR,Oba spola,0-4,3194
2013,Broj,GRAD PRIJEDOR,M,0-4,1659
2013,Broj,GRAD PRIJEDOR,Ž,0-4,1535
2013,Broj,PRNJAVOR,Oba spola,0-4,1564
2013,Broj,PRNJAVOR,M,0-4,809
2013,Broj,PRNJAVOR,Ž,0-4,755
2013,Broj,RIBNIK,Oba spola,0-4,232
2013,Broj,RIBNIK,M,0-4,114
2013,Broj,RIBNIK,Ž,0-4,118
2013,Broj,ROGATICA,Oba spola,0-4,501
2013,Broj,ROGATICA,M,0-4,252
2013,Broj,ROGATICA,Ž,0-4,249
2013,Broj,RUDO,Oba spola,0-4,281
2013,Broj,RUDO,M,0-4,146
2013,Broj,RUDO,Ž,0-4,135
2013,Broj,SRBAC,Oba spola,0-4,802
2013,Broj,SRBAC,M,0-4,389
2013,Broj,SRBAC,Ž,0-4,413
2013,Broj,SREBRENICA,Oba spola,0-4,474
2013,Broj,SREBRENICA,M,0-4,235
2013,Broj,SREBRENICA,Ž,0-4,239
2013,Broj,STANARI,Oba spola,0-4,294
2013,Broj,STANARI,M,0-4,150
2013,Broj,STANARI,Ž,0-4,144
2013,Broj,TESLIC,Oba spola,0-4,1953
2013,Broj,TESLIC,M,0-4,1039
2013,Broj,TESLIC,Ž,0-4,914
2013,Broj,GRAD TREBINJE,Oba spola,0-4,1394
2013,Broj,GRAD TREBINJE,M,0-4,749
2013,Broj,GRAD TREBINJE,Ž,0-4,645
2013,Broj,UGLJEVIK,Oba spola,0-4,664
2013,Broj,UGLJEVIK,M,0-4,361
2013,Broj,UGLJEVIK,Ž,0-4,303
2013,Broj,FOCA,Oba spola,0-4,625
2013,Broj,FOCA,M,0-4,355
2013,Broj,FOCA,Ž,0-4,270
2013,Broj,HAN PIJESAK,Oba spola,0-4,135
2013,Broj,HAN PIJESAK,M,0-4,69
2013,Broj,HAN PIJESAK,Ž,0-4,66
2013,Broj,CAJNICE,Oba spola,0-4,184
2013,Broj,CAJNICE,M,0-4,86
2013,Broj,CAJNICE,Ž,0-4,98
2013,Broj,CELINAC,Oba spola,0-4,753
2013,Broj,CELINAC,M,0-4,389
2013,Broj,CELINAC,Ž,0-4,364
2013,Broj,SAMAC,Oba spola,0-4,557
2013,Broj,SAMAC,M,0-4,282
2013,Broj,SAMAC,Ž,0-4,275
2013,Broj,SEKOVICI,Oba spola,0-4,246
2013,Broj,SEKOVICI,M,0-4,124
2013,Broj,SEKOVICI,Ž,0-4,122
2013,Broj,SIPOVO,Oba spola,0-4,432
2013,Broj,SIPOVO,M,0-4,234
2013,Broj,SIPOVO,Ž,0-4,198
2013,Broj,REPUBLIKA SRPSKA,Oba spola,5-9,54042
2013,Broj,REPUBLIKA SRPSKA,M,5-9,27681
2013,Broj,REPUBLIKA SRPSKA,Ž,5-9,26361
2013,Broj,GRAD BANJA LUKA,Oba spola,5-9,8447
2013,Broj,GRAD BANJA LUKA,M,5-9,4315
2013,Broj,GRAD BANJA LUKA,Ž,5-9,4132
2013,Broj,BERKOVICI,Oba spola,5-9,129
2013,Broj,BERKOVICI,M,5-9,69
2013,Broj,BERKOVICI,Ž,5-9,60
2013,Broj,GRAD BIJELJINA,Oba spola,5-9,4964
2013,Broj,GRAD BIJELJINA,M,5-9,2576
2013,Broj,GRAD BIJELJINA,Ž,5-9,2388
2013,Broj,BILECA,Oba spola,5-9,471
2013,Broj,BILECA,M,5-9,259
2013,Broj,BILECA,Ž,5-9,212
2013,Broj,BRATUNAC,Oba spola,5-9,985
2013,Broj,BRATUNAC,M,5-9,496
2013,Broj,BRATUNAC,Ž,5-9,489
2013,Broj,BROD,Oba spola,5-9,708
2013,Broj,BROD,M,5-9,377
2013,Broj,BROD,Ž,5-9,331
2013,Broj,VISEGRAD,Oba spola,5-9,404
2013,Broj,VISEGRAD,M,5-9,197
2013,Broj,VISEGRAD,Ž,5-9,207
2013,Broj,VLASENICA,Oba spola,5-9,523
2013,Broj,VLASENICA,M,5-9,267
2013,Broj,VLASENICA,Ž,5-9,256
2013,Broj,VUKOSAVLJE,Oba spola,5-9,217
2013,Broj,VUKOSAVLJE,M,5-9,113
2013,Broj,VUKOSAVLJE,Ž,5-9,104
2013,Broj,GACKO,Oba spola,5-9,436
2013,Broj,GACKO,M,5-9,236
2013,Broj,GACKO,Ž,5-9,200
