Year,UNIT_MEASURE,Administrativna oblast,Vitalna statistika,Value
2013,Broj,Kupres,one_child,13
2013,Broj,Laktaši,one_child,2036
2013,Broj,Lopare,one_child,737
2013,Broj,Ljubinje,one_child,102
2013,Broj,Milići,one_child,405
2013,Broj,Modriča,one_child,1389
2013,Broj,Mrkonjić Grad,one_child,720
2013,Broj,Nevesinje,one_child,478
2013,Broj,Novi Grad,one_child,1568
2013,Broj,Novo Goražde,one_child,147
2013,Broj,Osmaci,one_child,227
2013,Broj,Oštra Luka,one_child,79
2013,Broj,Pale,one_child,1269
2013,Broj,Pelagićevo,one_child,240
2013,Broj,Petrovac,one_child,23
2013,Broj,Petrovo,one_child,407
2013,Broj,Grad Prijedor,one_child,5181
2013,Broj,Prnjavor,one_child,1922
2013,Broj,Ribnik,one_child,226
2013,Broj,Rogatica,one_child,505
2013,Broj,Rudo,one_child,299
2013,Broj,Sokolac,one_child,646
2013,Broj,Srbac,one_child,1066
2013,Broj,Srebrenica,one_child,519
2013,Broj,Teslić,one_child,1963
2013,Broj,Grad Trebinje,one_child,1415
2013,Broj,Trnovo,one_child,114
2013,Broj,Ugljevik,one_child,797
2013,Broj,Foča,one_child,829
2013,Broj,Han Pijesak,one_child,200
2013,Broj,Čajniče,one_child,203
2013,Broj,Čelinac,one_child,640
2013,Broj,Šamac,one_child,1094
2013,Broj,Šekovići,one_child,241
2013,Broj,Šipovo,one_child,367
2013,Broj,Republika Srpska,two_children,201271
2013,Broj,Grad Banja Luka,two_children,32459
2013,Broj,Berkovići,two_children,239
2013,Broj,Grad Bijeljina,two_children,19232
2013,Broj,Bileća,two_children,1326
2013,Broj,Bratunac,two_children,2792
2013,Broj,Brod,two_children,2580
2013,Broj,Višegrad,two_children,1848
2013,Broj,Vlasenica,two_children,1665
2013,Broj,Vukosavlje,two_children,559
2013,Broj,Gacko,two_children,1059
2013,Broj,Grad Gradiška,two_children,8900
2013,Broj,Grad Derventa,two_children,4439
2013,Broj,Grad Doboj,two_children,12173
2013,Broj,Donji Žabar,two_children,593
2013,Broj,Grad Zvornik,two_children,8830
2013,Broj,Istočna Ilidža,two_children,2779
2013,Broj,Istočni Drvar,two_children,10
2013,Broj,Istočni Mostar,two_children,33
2013,Broj,Istočni Stari Grad,two_children,228
2013,Broj,Istočno Novo Sarajevo,two_children,1900
2013,Broj,Jezero,two_children,148
2013,Broj,Kalinovik,two_children,319
2013,Broj,Kneževo,two_children,1392
2013,Broj,Kozarska Dubica,two_children,4143
2013,Broj,Kostajnica,two_children,1052
2013,Broj,Kotor Varoš,two_children,2402
2013,Broj,Krupa Na Uni,two_children,192
2013,Broj,Kupres,two_children,40
2013,Broj,Laktaši,two_children,6184
2013,Broj,Lopare,two_children,2505
2013,Broj,Ljubinje,two_children,553
2013,Broj,Milići,two_children,1495
2013,Broj,Modriča,two_children,4165
2013,Broj,Mrkonjić Grad,two_children,2860
2013,Broj,Nevesinje,two_children,1754
2013,Broj,Novi Grad,two_children,4409
2013,Broj,Novo Goražde,two_children,422
2013,Broj,Osmaci,two_children,797
2013,Broj,Oštra Luka,two_children,344
2013,Broj,Pale,two_children,3827
2013,Broj,Pelagićevo,two_children,665
2013,Broj,Petrovac,two_children,82
2013,Broj,Petrovo,two_children,1379
2013,Broj,Grad Prijedor,two_children,13567
2013,Broj,Prnjavor,two_children,6044
2013,Broj,Ribnik,two_children,909
2013,Broj,Rogatica,two_children,1710
2013,Broj,Rudo,two_children,1350
2013,Broj,Sokolac,two_children,2140
2013,Broj,Srbac,two_children,3026
2013,Broj,Srebrenica,two_children,1722
2013,Broj,Teslić,two_children,5747
2013,Broj,Grad Trebinje,two_children,4888
2013,Broj,Trnovo,two_children,376
2013,Broj,Ugljevik,two_children,2613
2013,Broj,Foča,two_children,2985
2013,Broj,Han Pijesak,two_children,636
2013,Broj,Čajniče,two_children,677
2013,Broj,Čelinac,two_children,2447
2013,Broj,Šamac,two_children,3141
2013,Broj,Šekovići,two_children,982
2013,Broj,Šipovo,two_children,1538
2013,Broj,Republika Srpska,three_children,75481
2013,Broj,Grad Banja Luka,three_children,8070
2013,Broj,Berkovići,three_children,217
2013,Broj,Grad Bijeljina,three_children,5831
2013,Broj,Bileća,three_children,977
2013,Broj,Bratunac,three_children,1431
2013,Broj,Brod,three_children,1080
2013,Broj,Višegrad,three_children,712
2013,Broj,Vlasenica,three_children,713
2013,Broj,Vukosavlje,three_children,347
2013,Broj,Gacko,three_children,776
2013,Broj,Grad Gradiška,three_children,3006
2013,Broj,Grad Derventa,three_children,1724
2013,Broj,Grad Doboj,three_children,4326
2013,Broj,Donji Žabar,three_children,250
2013,Broj,Grad Zvornik,three_children,4031
2013,Broj,Istočna Ilidža,three_children,680
2013,Broj,Istočni Drvar,three_children,3
2013,Broj,Istočni Mostar,three_children,15
2013,Broj,Istočni Stari Grad,three_children,83
2013,Broj,Istočno Novo Sarajevo,three_children,443
2013,Broj,Jezero,three_children,77
2013,Broj,Kalinovik,three_children,171
2013,Broj,Kneževo,three_children,808
2013,Broj,Kozarska Dubica,three_children,1200
2013,Broj,Kostajnica,three_children,277
2013,Broj,Kotor Varoš,three_children,1502
2013,Broj,Krupa Na Uni,three_children,142
2013,Broj,Kupres,three_children,27
2013,Broj,Laktaši,three_children,2018
2013,Broj,Lopare,three_children,1040
2013,Broj,Ljubinje,three_children,328
2013,Broj,Milići,three_children,838
2013,Broj,Modriča,three_children,1652
2013,Broj,Mrkonjić Grad,three_children,1314
2013,Broj,Nevesinje,three_children,1064
2013,Broj,Novi Grad,three_children,1483
2013,Broj,Novo Goražde,three_children,192
2013,Broj,Osmaci,three_children,427
2013,Broj,Oštra Luka,three_children,266
2013,Broj,Pale,three_children,1048
2013,Broj,Pelagićevo,three_children,364
2013,Broj,Petrovac,three_children,19
2013,Broj,Petrovo,three_children,379
2013,Broj,Grad Prijedor,three_children,5168
2013,Broj,Prnjavor,three_children,2451
2013,Broj,Ribnik,three_children,572
2013,Broj,Rogatica,three_children,824
2013,Broj,Rudo,three_children,604
2013,Broj,Sokolac,three_children,768
2013,Broj,Srbac,three_children,1137
2013,Broj,Srebrenica,three_children,914
2013,Broj,Teslić,three_children,2955
2013,Broj,Grad Trebinje,three_children,2131
2013,Broj,Trnovo,three_children,136
2013,Broj,Ugljevik,three_children,1018
2013,Broj,Foča,three_children,1283
2013,Broj,Han Pijesak,three_children,282
2013,Broj,Čajniče,three_children,408
2013,Broj,Čelinac,three_children,1172
2013,Broj,Šamac,three_children,962
2013,Broj,Šekovići,three_children,558
2013,Broj,Šipovo,three_children,787
2013,Broj,Republika Srpska,four_children,22659
2013,Broj,Grad Banja Luka,four_children,2049
2013,Broj,Berkovići,four_children,76
2013,Broj,Grad Bijeljina,four_children,1410
2013,Broj,Bileća,four_children,351
2013,Broj,Bratunac,four_children,492
2013,Broj,Brod,four_children,303
2013,Broj,Višegrad,four_children,194
2013,Broj,Vlasenica,four_children,266
2013,Broj,Vukosavlje,four_children,148
2013,Broj,Gacko,four_children,273
2013,Broj,Grad Gradiška,four_children,817
2013,Broj,Grad Derventa,four_children,506
2013,Broj,Grad Doboj,four_children,1337
2013,Broj,Donji Žabar,four_children,69
2013,Broj,Grad Zvornik,four_children,1267
2013,Broj,Istočna Ilidža,four_children,111
2013,Broj,Istočni Drvar,four_children,0
2013,Broj,Istočni Mostar,four_children,5
2013,Broj,Istočni Stari Grad,four_children,23
2013,Broj,Istočno Novo Sarajevo,four_children,82
2013,Broj,Jezero,four_children,34
2013,Broj,Kalinovik,four_children,53
2013,Broj,Kneževo,four_children,317
2013,Broj,Kozarska Dubica,four_children,294
2013,Broj,Kostajnica,four_children,70
2013,Broj,Kotor Varoš,four_children,635
2013,Broj,Krupa Na Uni,four_children,61
2013,Broj,Kupres,four_children,13
2013,Broj,Laktaši,four_children,549
2013,Broj,Lopare,four_children,301
2013,Broj,Ljubinje,four_children,74
2013,Broj,Milići,four_children,277
2013,Broj,Modriča,four_children,548
2013,Broj,Mrkonjić Grad,four_children,393
2013,Broj,Nevesinje,four_children,395
2013,Broj,Novi Grad,four_children,583
2013,Broj,Novo Goražde,four_children,55
2013,Broj,Osmaci,four_children,171
2013,Broj,Oštra Luka,four_children,105
2013,Broj,Pale,four_children,235
2013,Broj,Pelagićevo,four_children,133
2013,Broj,Petrovac,four_children,2
2013,Broj,Petrovo,four_children,91
2013,Broj,Grad Prijedor,four_children,1761
2013,Broj,Prnjavor,four_children,769
2013,Broj,Ribnik,four_children,198
2013,Broj,Rogatica,four_children,259
2013,Broj,Rudo,four_children,201
2013,Broj,Sokolac,four_children,206
2013,Broj,Srbac,four_children,306
2013,Broj,Srebrenica,four_children,358
2013,Broj,Teslić,four_children,1010
2013,Broj,Grad Trebinje,four_children,463
2013,Broj,Trnovo,four_children,45
2013,Broj,Ugljevik,four_children,264
2013,Broj,Foča,four_children,348
2013,Broj,Han Pijesak,four_children,75
2013,Broj,Čajniče,four_children,140
2013,Broj,Čelinac,four_children,385
2013,Broj,Šamac,four_children,235
2013,Broj,Šekovići,four_children,193
2013,Broj,Šipovo,four_children,275
2013,Broj,Republika Srpska,5+_children,17275
2013,Broj,Grad Banja Luka,5+_children,1552
2013,Broj,Berkovići,5+_children,37
2013,Broj,Grad Bijeljina,5+_children,882
2013,Broj,Bileća,5+_children,169
2013,Broj,Bratunac,5+_children,489
2013,Broj,Brod,5+_children,224
2013,Broj,Višegrad,5+_children,123
2013,Broj,Vlasenica,5+_children,254
2013,Broj,Vukosavlje,5+_children,140
2013,Broj,Gacko,5+_children,133
2013,Broj,Grad Gradiška,5+_children,677
2013,Broj,Grad Derventa,5+_children,372
2013,Broj,Grad Doboj,5+_children,1006
2013,Broj,Donji Žabar,5+_children,50
2013,Broj,Grad Zvornik,5+_children,1008
2013,Broj,Istočna Ilidža,5+_children,54
2013,Broj,Istočni Drvar,5+_children,0
2013,Broj,Istočni Mostar,5+_children,7
2013,Broj,Istočni Stari Grad,5+_children,7
2013,Broj,Istočno Novo Sarajevo,5+_children,30
2013,Broj,Jezero,5+_children,26
2013,Broj,Kalinovik,5+_children,43
2013,Broj,Kneževo,5+_children,365
2013,Broj,Kozarska Dubica,5+_children,165
2013,Broj,Kostajnica,5+_children,47
2013,Broj,Kotor Varoš,5+_children,617
2013,Broj,Krupa Na Uni,5+_children,65
2013,Broj,Kupres,5+_children,10
2013,Broj,Laktaši,5+_children,306
2013,Broj,Lopare,5+_children,209
2013,Broj,Ljubinje,5+_children,41
2013,Broj,Milići,5+_children,239
2013,Broj,Modriča,5+_children,366
2013,Broj,Mrkonjić Grad,5+_children,295
2013,Broj,Nevesinje,5+_children,204
2013,Broj,Novi Grad,5+_children,543
2013,Broj,Novo Goražde,5+_children,42
2013,Broj,Osmaci,5+_children,175
2013,Broj,Oštra Luka,5+_children,102
2013,Broj,Pale,5+_children,95
2013,Broj,Pelagićevo,5+_children,109
2013,Broj,Petrovac,5+_children,0
2013,Broj,Petrovo,5+_children,65
2013,Broj,Grad Prijedor,5+_children,1535
2013,Broj,Prnjavor,5+_children,610
2013,Broj,Ribnik,5+_children,162
2013,Broj,Rogatica,5+_children,143
2013,Broj,Rudo,5+_children,92
2013,Broj,Sokolac,5+_children,104
2013,Broj,Srbac,5+_children,217
2013,Broj,Srebrenica,5+_children,362
2013,Broj,Teslić,5+_children,1100
2013,Broj,Grad Trebinje,5+_children,145
2013,Broj,Trnovo,5+_children,22
2013,Broj,Ugljevik,5+_children,161
2013,Broj,Foča,5+_children,218
2013,Broj,Han Pijesak,5+_children,47
2013,Broj,Čajniče,5+_children,72
2013,Broj,Čelinac,5+_children,311
2013,Broj,Šamac,5+_children,151
2013,Broj,Šekovići,5+_children,174
2013,Broj,Šipovo,5+_children,306
