Year,UNIT_MEASURE,Teritory,Spol,Education,Value
2013,Broj,NOVI GRAD,M,Ukupno,10935
2013,Broj,NOVI GRAD,Ž,Ukupno,11191
2013,Broj,NOVO GORAZDE,Oba spola,Ukupno,2637
2013,Broj,NOVO GORAZDE,M,Ukupno,1374
2013,Broj,NOVO GORAZDE,Ž,Ukupno,1263
2013,Broj,OSMACI,Oba spola,Ukupno,4710
2013,Broj,OSMACI,M,Ukupno,2343
2013,Broj,OSMACI,Ž,Ukupno,2367
2013,Broj,OSTRA LUKA,Oba spola,Ukupno,2305
2013,Broj,OSTRA LUKA,M,Ukupno,1174
2013,Broj,OSTRA LUKA,Ž,Ukupno,1131
2013,Broj,PALE,Oba spola,Ukupno,17661
2013,Broj,PALE,M,Ukupno,8344
2013,Broj,PALE,Ž,Ukupno,9317
2013,Broj,PELAGICEVO,Oba spola,Ukupno,3895
2013,Broj,PELAGICEVO,M,Ukupno,1917
2013,Broj,PELAGICEVO,Ž,Ukupno,1978
2013,Broj,PETROVAC,Oba spola,Ukupno,302
2013,Broj,PETROVAC,M,Ukupno,142
2013,Broj,PETROVAC,Ž,Ukupno,160
2013,Broj,PETROVO,Oba spola,Ukupno,5575
2013,Broj,PETROVO,M,Ukupno,2673
2013,Broj,PETROVO,Ž,Ukupno,2902
2013,Broj,PRIJEDOR,Oba spola,Ukupno,70732
2013,Broj,PRIJEDOR,M,Ukupno,34162
2013,Broj,PRIJEDOR,Ž,Ukupno,36570
2013,Broj,PRNJAVOR,Oba spola,Ukupno,29403
2013,Broj,PRNJAVOR,M,Ukupno,14149
2013,Broj,PRNJAVOR,Ž,Ukupno,15254
2013,Broj,RIBNIK,Oba spola,Ukupno,5058
2013,Broj,RIBNIK,M,Ukupno,2498
2013,Broj,RIBNIK,Ž,Ukupno,2560
2013,Broj,ROGATICA,Oba spola,Ukupno,8918
2013,Broj,ROGATICA,M,Ukupno,4351
2013,Broj,ROGATICA,Ž,Ukupno,4567
2013,Broj,RUDO,Oba spola,Ukupno,6682
2013,Broj,RUDO,M,Ukupno,3367
2013,Broj,RUDO,Ž,Ukupno,3315
2013,Broj,SOKOLAC,Oba spola,Ukupno,10049
2013,Broj,SOKOLAC,M,Ukupno,4907
2013,Broj,SOKOLAC,Ž,Ukupno,5142
2013,Broj,SRBAC,Oba spola,Ukupno,14551
2013,Broj,SRBAC,M,Ukupno,7089
2013,Broj,SRBAC,Ž,Ukupno,7462
2013,Broj,SREBRENICA,Oba spola,Ukupno,10212
2013,Broj,SREBRENICA,M,Ukupno,4952
2013,Broj,SREBRENICA,Ž,Ukupno,5260
2013,Broj,TESLIC,Oba spola,Ukupno,31305
2013,Broj,TESLIC,M,Ukupno,14814
2013,Broj,TESLIC,Ž,Ukupno,16491
2013,Broj,TREBINJE,Oba spola,Ukupno,23982
2013,Broj,TREBINJE,M,Ukupno,11546
2013,Broj,TREBINJE,Ž,Ukupno,12436
2013,Broj,TRNOVO,Oba spola,Ukupno,1784
2013,Broj,TRNOVO,M,Ukupno,848
2013,Broj,TRNOVO,Ž,Ukupno,936
2013,Broj,UGLJEVIK,Oba spola,Ukupno,12964
2013,Broj,UGLJEVIK,M,Ukupno,6513
2013,Broj,UGLJEVIK,Ž,Ukupno,6451
2013,Broj,FOCA,Oba spola,Ukupno,15468
2013,Broj,FOCA,M,Ukupno,7768
2013,Broj,FOCA,Ž,Ukupno,7700
2013,Broj,HAN PIJESAK,Oba spola,Ukupno,3060
2013,Broj,HAN PIJESAK,M,Ukupno,1429
2013,Broj,HAN PIJESAK,Ž,Ukupno,1631
2013,Broj,CAJNICE,Oba spola,Ukupno,4065
2013,Broj,CAJNICE,M,Ukupno,2040
2013,Broj,CAJNICE,Ž,Ukupno,2025
2013,Broj,CELINAC,Oba spola,Ukupno,12852
2013,Broj,CELINAC,M,Ukupno,6297
2013,Broj,CELINAC,Ž,Ukupno,6555
2013,Broj,SAMAC,Oba spola,Ukupno,14308
2013,Broj,SAMAC,M,Ukupno,6877
2013,Broj,SAMAC,Ž,Ukupno,7431
2013,Broj,SEKOVICI,Oba spola,Ukupno,5525
2013,Broj,SEKOVICI,M,Ukupno,2710
2013,Broj,SEKOVICI,Ž,Ukupno,2815
2013,Broj,SIPOVO,Oba spola,Ukupno,8554
2013,Broj,SIPOVO,M,Ukupno,4307
2013,Broj,SIPOVO,Ž,Ukupno,4247
2013,Broj,REPUBLIKA SRPSKA,Oba spola,Bez obrazovanja,58651
2013,Broj,REPUBLIKA SRPSKA,M,Bez obrazovanja,9370
2013,Broj,REPUBLIKA SRPSKA,Ž,Bez obrazovanja,49281
2013,Broj,BANJA LUKA,Oba spola,Bez obrazovanja,5673
2013,Broj,BANJA LUKA,M,Bez obrazovanja,921
2013,Broj,BANJA LUKA,Ž,Bez obrazovanja,4752
2013,Broj,BERKOVICI,Oba spola,Bez obrazovanja,104
2013,Broj,BERKOVICI,M,Bez obrazovanja,8
2013,Broj,BERKOVICI,Ž,Bez obrazovanja,96
2013,Broj,BIJELJINA,Oba spola,Bez obrazovanja,3916
2013,Broj,BIJELJINA,M,Bez obrazovanja,650
2013,Broj,BIJELJINA,Ž,Bez obrazovanja,3266
2013,Broj,BILECA,Oba spola,Bez obrazovanja,246
2013,Broj,BILECA,M,Bez obrazovanja,42
2013,Broj,BILECA,Ž,Bez obrazovanja,204
2013,Broj,BRATUNAC,Oba spola,Bez obrazovanja,1297
2013,Broj,BRATUNAC,M,Bez obrazovanja,166
2013,Broj,BRATUNAC,Ž,Bez obrazovanja,1131
2013,Broj,BROD,Oba spola,Bez obrazovanja,586
2013,Broj,BROD,M,Bez obrazovanja,90
2013,Broj,BROD,Ž,Bez obrazovanja,496
2013,Broj,VISEGRAD,Oba spola,Bez obrazovanja,576
2013,Broj,VISEGRAD,M,Bez obrazovanja,65
2013,Broj,VISEGRAD,Ž,Bez obrazovanja,511
2013,Broj,VLASENICA,Oba spola,Bez obrazovanja,629
