Year,UNIT_MEASURE,Teritory,Spol,household_members,Value
2013,Broj,PRIJEDOR,Ž,one_member,6423.0
2013,Broj,PRNJAVOR,Oba spola,one_member,2943.0
2013,Broj,RIBNIK,M,one_member,642.0
2013,Broj,ROGATICA,Ž,one_member,986.0
2013,Broj,RUDO,Oba spola,one_member,696.0
2013,Broj,SOKOLAC,M,one_member,1022.0
2013,Broj,SRBAC,Ž,one_member,1507.0
2013,Broj,SREBRENICA,Oba spola,one_member,874.0
2013,Broj,TESLIC,M,one_member,3060.0
2013,Broj,TREBINJE,Ž,one_member,1848.0
2013,Broj,TRNOVO,Oba spola,one_member,223.0
2013,Broj,UGLJEVIK,M,one_member,1019.0
2013,Broj,FOCA,Ž,one_member,1635.0
2013,Broj,HAN PIJESAK,Oba spola,one_member,389.0
2013,Broj,CAJNICE,M,one_member,395.0
2013,Broj,CELINAC,Ž,one_member,951.0
2013,Broj,SAMAC,Oba spola,one_member,1406.0
2013,Broj,SEKOVICI,M,one_member,708.0
2013,Broj,SIPOVO,Ž,one_member,839.0
2013,Broj,REPUBLIKA SRPSKA,Oba spola,two_members,107130.0
2013,Broj,BANJA LUKA,M,two_members,17243.0
2013,Broj,BERKOVICI,Ž,two_members,166.0
2013,Broj,BIJELJINA,Oba spola,two_members,8272.0
2013,Broj,BILECA,M,two_members,719.0
2013,Broj,BRATUNAC,Ž,two_members,1345.0
2013,Broj,BROD,Oba spola,two_members,1439.0
2013,Broj,VISEGRAD,M,two_members,1172.0
2013,Broj,VLASENICA,Ž,two_members,1001.0
2013,Broj,VUKOSAVLJE,Oba spola,two_members,425.0
2013,Broj,GACKO,M,two_members,622.0
2013,Broj,GRADISKA,Ž,two_members,4438.0
2013,Broj,DERVENTA,Oba spola,two_members,2598.0
2013,Broj,DOBOJ,M,two_members,7242.0
2013,Broj,DONJI ZABAR,Ž,two_members,290.0
2013,Broj,ZVORNIK,Oba spola,two_members,4288.0
2013,Broj,ISTOCNA ILIDZA,M,two_members,1316.0
2013,Broj,ISTOCNI DRVAR,Ž,two_members,7.0
2013,Broj,ISTOCNI MOSTAR,Oba spola,two_members,15.0
2013,Broj,ISTOCNI STARI GRAD,M,two_members,146.0
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,two_members,1011.0
2013,Broj,JEZERO,Oba spola,two_members,89.0
2013,Broj,KALINOVIK,M,two_members,213.0
2013,Broj,KNEZEVO,Ž,two_members,937.0
2013,Broj,KOZARSKA DUBICA,Oba spola,two_members,2021.0
2013,Broj,KOSTAJNICA,M,two_members,477.0
2013,Broj,KOTOR VAROS,Ž,two_members,1358.0
2013,Broj,KRUPA NA UNI,Oba spola,two_members,128.0
2013,Broj,KUPRES,M,two_members,48.0
2013,Broj,LAKTASI,Ž,two_members,2768.0
2013,Broj,LOPARE,Oba spola,two_members,1261.0
2013,Broj,LJUBINJE,M,two_members,254.0
2013,Broj,MILICI,Ž,two_members,859.0
2013,Broj,MODRICA,Oba spola,two_members,2332.0
2013,Broj,MRKONJIC GRAD,M,two_members,1806.0
2013,Broj,NEVESINJE,Ž,two_members,939.0
2013,Broj,NOVI GRAD,Oba spola,two_members,2390.0
2013,Broj,NOVO GORAZDE,M,two_members,288.0
2013,Broj,OSMACI,Ž,two_members,372.0
2013,Broj,OSTRA LUKA,Oba spola,two_members,243.0
2013,Broj,PALE,M,two_members,1890.0
2013,Broj,PELAGICEVO,Ž,two_members,516.0
2013,Broj,PETROVAC,Oba spola,two_members,35.0
2013,Broj,PETROVO,M,two_members,760.0
2013,Broj,PRIJEDOR,Ž,two_members,7125.0
2013,Broj,PRNJAVOR,Oba spola,two_members,3253.0
2013,Broj,RIBNIK,M,two_members,673.0
