Year,UNIT_MEASURE,Value
2005,Broj,19.1
2006,Broj,18.8
2007,Broj,24.9
2008,Broj,26.4
2009,Broj,26.1
2010,Broj,37.1
2011,Broj,24.0
2016,Broj,32.4
