Year,UNIT_MEASURE,Spol,Value
2004,% od ukupno,T,16.1
2007,% od ukupno,T,17.3
2011,% od ukupno,T,14.8
2015,% od ukupno,T,13.9
2007,% od ukupno,M,15.4
2011,% od ukupno,M,13.5
2015,% od ukupno,M,12.1
2007,% od ukupno,Ž,24.0
2011,% od ukupno,Ž,18.7
2015,% od ukupno,Ž,18.6
