Year,Value,UNIT_MEASURE
2005,421,Number
2006,409,Number
2007,405,Number
2008,417,Number
2009,406,Number
2010,395,Number
2011,390,Number
2012,397,Number
2013,377,Number
2014,379,Number
2015,371,Number
2016,371,Number
2017,363,Number
2018,371,Number
2019,358,Number
2020,354,Number
2021,351,Number
