Year,Value,UNIT_MEASURE
2003,3.5,Number per 1000 live births
2004,3.3,Number per 1000 live births
2005,3.9,Number per 1000 live births
2006,2.6,Number per 1000 live births
2007,3.9,Number per 1000 live births
2008,3.3,Number per 1000 live births
2009,3.0,Number per 1000 live births
2010,4.0,Number per 1000 live births
2011,3.0,Number per 1000 live births
2012,3.8,Number per 1000 live births
2013,3.9,Number per 1000 live births
2014,2.4,Number per 1000 live births
2015,1.8,Number per 1000 live births
2016,1.6,Number per 1000 live births
2017,1.8,Number per 1000 live births
2018,1.9,Number per 1000 live births
2019,1.4,Number per 1000 live births
2020,1.6,Number per 1000 live births
2021,1.9,Number per 1000 live births
2022,2.6,Number per 1000 live births
2023,2.1,Number per 1000 live births
2024,1.6,Number per 1000 live births
