Year,Value,UNIT_MEASURE
2003,107.1,Number of boys to 100 girls
2004,107.9,Number of boys to 100 girls
2005,105.6,Number of boys to 100 girls
2006,103.4,Number of boys to 100 girls
2007,106.0,Number of boys to 100 girls
2008,106.6,Number of boys to 100 girls
2009,111.0,Number of boys to 100 girls
2010,104.5,Number of boys to 100 girls
2011,110.0,Number of boys to 100 girls
2012,104.1,Number of boys to 100 girls
2013,106.6,Number of boys to 100 girls
2014,108.0,Number of boys to 100 girls
2015,107.2,Number of boys to 100 girls
2016,109.1,Number of boys to 100 girls
2017,109.7,Number of boys to 100 girls
2018,109.5,Number of boys to 100 girls
2019,112.4,Number of boys to 100 girls
2020,109.7,Number of boys to 100 girls
2021,105.2,Number of boys to 100 girls
2022,104.0,Number of boys to 100 girls
